primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,lead_completeness,lead_source,agent_response_ratio,attachment_shared,sale_closed
0.4,0.0,0.5,0.1,0.5,0.20743919885550785,1.0,0.0,0.0,0.0,0.7333333333333333,0.18125000000000013,1.0,0.6,0.4424999999999999,1.0,0.8203
0.1,0.0,0.0,0.6,0.25,0.4492131616595136,0.0,0.09189189189189181,0.25,1.0,0.0,1.0000000000000002,0.0,0.8,0.04249999999999998,0.0,0.2038
0.5,0.0,0.25,0.7,0.5,0.5064377682403434,1.0,0.0,0.0,0.0,0.2777777777777778,0.5249999999999999,1.0,0.8,0.18999999999999995,0.0,0.3092
1.0,1.0000000000000002,0.25,1.0,0.5,0.3834048640915594,0.0,0.9999999999999998,0.0,0.0,0.5111111111111112,0.17500000000000004,1.0,0.5,0.5325,0.0,0.2187
0.4,0.0,0.25,0.5,0.5,0.3190271816881259,1.0,0.07567567567567565,0.0,0.0,0.30000000000000004,0.9374999999999998,1.0,0.5,0.72,0.0,0.8415
0.85,0.9387755102040816,0.25,0.7,0.75,0.8140200286123034,1.0,0.9324324324324322,0.0,0.0,0.4444444444444445,0.25,1.0,0.5,0.0,0.0,0.2026
0.5,0.18367346938775508,0.25,0.3,1.0,0.8054363376251789,0.0,0.5594594594594594,0.0,0.0,0.5222222222222221,0.31562500000000004,1.0,0.6,0.0,0.0,0.3734
0.1,0.0,0.0,0.4,1.0,0.45493562231759654,1.0,0.5216216216216215,0.25,1.0,0.0,0.25,0.0,0.6,0.33000000000000007,1.0,0.4563
0.85,0.9387755102040816,0.25,0.5,0.5,0.15164520743919885,1.0,0.14054054054054052,0.0,0.0,0.5111111111111112,0.8625,0.0,0.6,0.05500000000000005,0.0,0.3523
0.65,0.40816326530612246,0.0,0.3,0.5,0.7281831187410587,1.0,0.19189189189189185,0.0,0.0,0.7444444444444445,0.734375,1.0,0.6,0.25,1.0,0.5306
0.5,0.0,0.5,0.5,0.5,0.3361945636623748,1.0,0.0,0.0,0.0,0.24444444444444446,0.8875000000000004,1.0,0.8,0.9200000000000002,1.0,0.9567
0.2,0.0,0.0,0.6,0.75,0.6566523605150215,1.0,0.0,0.0,0.0,0.488888888888889,0.653125,1.0,0.6,0.24250000000000005,0.0,0.2977
0.2,0.0,0.0,0.95,0.25,0.4034334763948498,0.0,0.9999999999999998,0.0,0.0,0.6777777777777777,0.690625,1.0,0.6,0.3274999999999999,1.0,0.5216
1.0,1.0000000000000002,0.5,0.8,1.0,0.28898426323319026,1.0,0.0,0.0,0.0,0.6111111111111112,0.4593750000000001,1.0,0.5,0.5925,1.0,0.8679
0.65,0.34693877551020424,0.0,0.5,0.5,0.4563662374821173,0.0,0.027027027027027,0.0,0.0,0.5555555555555555,0.6781250000000001,0.0,0.6,0.09750000000000003,1.0,0.5592
0.5,0.04081632653061229,0.25,0.1,0.75,0.5608011444921317,1.0,0.13243243243243238,0.0,0.0,0.4333333333333334,0.8875000000000004,1.0,0.8,0.645,0.0,0.2145
1.0,1.0000000000000002,0.5,0.8,1.0,0.9942775393419171,1.0,0.3027027027027026,0.0,0.0,0.35555555555555557,0.675,1.0,0.8,0.3274999999999999,1.0,0.847
0.5,0.0,0.0,0.2,0.75,0.6366237482117311,1.0,0.0513513513513513,0.0,0.0,0.5555555555555555,1.0000000000000002,0.0,0.8,0.0,1.0,0.4133
0.4,0.0,0.0,0.95,1.0,0.9914163090128756,1.0,0.0,0.0,0.0,0.3777777777777778,0.3875000000000002,1.0,0.6,0.98,0.0,0.7261
0.4,0.0,0.0,0.3,1.0,0.7696709585121603,1.0,0.554054054054054,0.0,0.0,0.5555555555555555,0.5812499999999998,0.0,0.5,0.0,0.0,0.3007
0.85,0.40816326530612246,0.5,0.4,0.5,0.4377682403433476,1.0,0.24864864864864858,0.0,0.0,0.33333333333333337,0.903125,1.0,0.8,1.0,0.0,0.7095
0.1,0.0,0.0,0.1,1.0,0.9070100143061517,1.0,0.021621621621621595,0.0,0.0,0.5666666666666667,0.5343749999999998,0.0,0.8,0.40000000000000013,1.0,0.5127
0.65,0.26530612244897966,0.25,0.7,1.0,0.9942775393419171,1.0,0.0,0.875,1.0,0.7666666666666667,0.9749999999999999,0.0,0.6,0.3400000000000001,0.0,0.8008
0.85,0.4693877551020409,0.5,0.6,0.75,0.48497854077253216,1.0,0.0,0.0,0.0,0.6888888888888889,0.70625,1.0,0.5,0.6949999999999998,1.0,0.7937
0.85,0.7142857142857142,0.25,0.1,1.0,0.6909871244635194,0.0,0.32432432432432423,0.0,0.0,0.23333333333333334,0.059374999999999956,0.0,0.6,0.30000000000000004,1.0,0.184
0.1,0.0,0.0,0.05,0.5,0.4377682403433476,1.0,0.3297297297297297,0.0,0.0,0.6,0.95,1.0,0.5,0.29499999999999993,1.0,0.1313
0.5,0.04081632653061229,0.25,0.6,1.0,0.7482117310443491,1.0,0.10270270270270268,0.0,0.0,0.5,0.6156249999999999,0.0,0.8,0.0,1.0,0.3997
0.65,0.44897959183673475,0.0,0.95,1.0,0.2918454935622318,1.0,0.0,0.5,1.0,0.6666666666666666,0.28749999999999987,1.0,0.6,1.0,1.0,0.6936
1.0,1.0000000000000002,0.0,0.2,1.0,0.290414878397711,1.0,0.4594594594594593,0.0,0.0,0.4777777777777778,0.38437500000000013,0.0,0.5,0.5700000000000001,1.0,0.4401
0.5,0.1428571428571428,0.5,0.8,0.25,0.34048640915593703,1.0,0.09999999999999995,0.0,0.0,0.7444444444444445,0.5999999999999999,1.0,0.8,0.012499999999999956,0.0,0.9582
1.0,1.0000000000000002,0.0,0.5,0.25,0.9899856938483549,1.0,0.11081081081081076,0.5,1.0,0.7,0.28125,0.0,0.6,0.1725,1.0,0.6816
1.0,0.8367346938775511,0.5,0.7,1.0,0.9685264663805436,1.0,0.19729729729729725,0.0,0.0,0.5333333333333332,0.703125,1.0,0.5,0.24750000000000005,0.0,0.963
0.5,0.12244897959183687,0.5,0.7,1.0,0.402002861230329,1.0,0.15135135135135133,0.875,1.0,0.34444444444444444,0.6875,1.0,0.6,0.48,1.0,0.8397
1.0,1.0000000000000002,0.25,0.7,0.75,0.3805436337625179,1.0,0.04324324324324322,0.25,1.0,0.45555555555555555,0.8500000000000003,1.0,0.8,1.0,1.0,0.6859
0.1,0.0,0.0,0.3,0.5,0.9098712446351932,1.0,0.3756756756756756,0.0,0.0,0.6666666666666666,0.66875,1.0,0.6,0.8700000000000001,1.0,0.456
0.85,0.6530612244897958,0.5,0.8,0.25,0.284692417739628,1.0,0.0,0.75,1.0,1.0,0.70625,1.0,0.6,1.0,1.0,0.8721
0.85,0.6530612244897958,0.75,0.6,1.0,0.7138769670958512,1.0,0.2567567567567567,0.0,0.0,0.7444444444444445,0.653125,1.0,0.8,0.41000000000000014,0.0,0.8245
0.65,0.30612244897959195,0.0,0.4,0.25,0.7939914163090129,1.0,0.0,0.0,0.0,0.6444444444444445,0.7750000000000001,0.0,0.8,0.5750000000000002,0.0,0.4407
1.0,0.9387755102040816,0.5,0.95,1.0,0.5064377682403434,1.0,0.01621621621621619,0.0,0.0,0.4222222222222222,0.09062499999999996,1.0,0.6,0.5750000000000002,0.0,0.812
0.4,0.0,0.25,1.0,1.0,0.47782546494992845,1.0,0.0,0.0,0.0,0.4777777777777778,0.590625,1.0,0.6,0.0,1.0,0.7949
0.5,0.0,0.0,0.2,1.0,0.553648068669528,1.0,0.12162162162162157,1.0,1.0,0.46666666666666673,0.5499999999999998,0.0,0.5,0.23250000000000004,1.0,0.2757
0.65,0.3877551020408163,0.0,0.8,0.5,0.12160228898426324,1.0,0.0,0.0,0.0,0.34444444444444444,0.7156250000000002,0.0,0.6,0.345,1.0,0.4221
0.2,0.0,0.0,0.1,0.25,0.3590844062947067,1.0,0.0,0.0,0.0,0.30000000000000004,0.171875,1.0,0.5,0.845,1.0,0.2392
0.5,0.04081632653061229,0.5,0.8,0.5,0.0944206008583691,0.0,0.1189189189189189,0.0,0.0,0.2555555555555556,0.3218749999999999,1.0,0.6,0.11249999999999993,0.0,0.1857
0.4,0.0,0.0,0.1,0.5,0.19456366237482117,1.0,0.0,0.0,0.0,0.7999999999999999,0.7812500000000002,1.0,0.5,0.5800000000000001,1.0,0.3457
1.0,1.0000000000000002,0.25,0.1,0.5,0.4563662374821173,1.0,0.11351351351351349,0.0,0.0,0.788888888888889,0.24062499999999987,1.0,0.5,0.030000000000000027,0.0,0.2499
0.65,0.4693877551020409,0.0,0.5,0.25,0.3848354792560801,1.0,0.029729729729729704,0.25,1.0,0.5111111111111112,0.8718750000000004,1.0,0.6,1.0,1.0,0.3454
0.5,0.0,0.25,0.3,1.0,0.49356223175965663,1.0,0.37027027027027015,0.125,1.0,0.2555555555555556,0.4437500000000001,1.0,0.6,0.14749999999999996,0.0,0.549
0.1,0.0,0.0,1.0,1.0,0.4263233190271817,1.0,0.0,0.25,1.0,0.011111111111111113,0.046875,0.0,0.6,0.885,1.0,0.6769
0.4,0.0,0.0,1.0,0.5,0.07010014306151645,1.0,0.3162162162162161,0.0,0.0,0.6333333333333334,0.40937500000000004,1.0,0.8,0.01749999999999996,0.0,0.5746
0.65,0.08163265306122458,0.0,0.6,0.5,0.024320457796852647,1.0,0.03513513513513514,0.0,0.0,0.5777777777777777,0.34062499999999996,0.0,0.6,0.0024999999999999467,0.0,0.3761
1.0,0.8367346938775511,0.0,1.0,0.25,0.5135908440629471,1.0,0.07027027027027025,0.0,0.0,0.5555555555555555,0.4187500000000002,0.0,0.8,0.135,1.0,0.9715
0.4,0.0,0.0,1.0,0.5,0.5693848354792561,1.0,0.1621621621621621,0.0,0.0,0.5888888888888889,1.0000000000000002,0.0,0.5,0.6200000000000001,0.0,0.8986
0.1,0.0,0.0,0.95,0.25,0.4034334763948498,0.0,0.11621621621621617,0.0,0.0,0.7444444444444445,0.9437499999999999,1.0,0.6,0.16999999999999993,1.0,0.433
0.5,0.04081632653061229,0.0,0.5,1.0,0.3876967095851216,1.0,0.0,0.875,1.0,0.5222222222222221,0.29374999999999996,0.0,0.5,0.38250000000000006,1.0,0.556
0.65,0.18367346938775508,0.0,0.8,1.0,0.5207439198855508,1.0,0.1729729729729729,0.0,0.0,0.7333333333333333,0.42500000000000004,1.0,0.5,0.7825,1.0,0.598
0.85,0.693877551020408,0.25,0.05,0.5,0.12446351931330472,1.0,0.28648648648648645,0.0,0.0,0.7777777777777778,0.7593750000000001,1.0,0.8,0.7974999999999999,0.0,0.286
0.5,0.020408163265306145,0.5,0.8,1.0,0.34763948497854075,1.0,0.17567567567567563,0.0,0.0,0.7999999999999999,0.1781250000000001,1.0,0.6,0.8325,0.0,0.7863
0.4,0.0,0.25,0.3,0.5,0.9456366237482118,1.0,0.19189189189189185,0.0,0.0,0.35555555555555557,0.815625,1.0,0.5,0.8875000000000002,0.0,0.7292
1.0,0.8571428571428572,0.25,0.4,0.75,0.5793991416309013,1.0,0.3054054054054053,0.0,0.0,0.7999999999999999,0.043749999999999956,0.0,0.6,0.5049999999999999,0.0,0.3656
1.0,0.8775510204081634,0.0,0.6,0.5,0.463519313304721,1.0,0.14324324324324325,0.0,0.0,0.41111111111111115,0.596875,0.0,0.6,0.355,1.0,0.3013
0.2,0.0,0.25,1.0,0.5,0.9356223175965666,1.0,0.04594594594594589,0.0,0.0,0.5333333333333332,0.9218749999999998,1.0,0.5,0.8400000000000001,1.0,0.9045
0.4,0.0,0.0,1.0,0.25,0.02145922746781116,0.0,0.1297297297297297,0.0,0.0,0.7555555555555555,0.7875000000000003,1.0,0.5,0.9849999999999999,1.0,0.3847
1.0,1.0000000000000002,0.75,0.5,1.0,0.5937052932761088,1.0,0.254054054054054,0.0,0.0,0.5666666666666667,0.2281249999999999,1.0,0.5,0.9425000000000001,0.0,0.7434
0.85,0.7142857142857142,0.5,1.0,0.5,0.34620886981402,1.0,0.2459459459459459,0.0,0.0,0.7666666666666667,1.0000000000000002,1.0,0.5,0.14500000000000002,0.0,0.8176
0.4,0.0,0.25,0.95,0.75,0.3719599427753934,1.0,0.18108108108108104,0.375,1.0,0.45555555555555555,0.7,1.0,0.6,0.8825000000000001,0.0,0.7325
0.4,0.0,0.25,0.1,0.5,0.07010014306151645,0.0,0.8405405405405404,0.0,0.0,0.2666666666666667,0.21562499999999996,1.0,0.5,0.9600000000000002,0.0,0.1918
1.0,0.8367346938775511,0.0,1.0,1.0,0.47353361945636624,0.0,0.5216216216216215,0.125,1.0,0.8222222222222222,0.684375,0.0,0.6,0.7675000000000001,0.0,0.7541
0.85,0.7551020408163265,0.5,0.4,0.75,0.7925608011444921,1.0,0.42972972972972967,1.0,1.0,0.8888888888888888,0.6968750000000001,1.0,0.6,0.81,1.0,0.7646
0.4,0.0,0.0,0.1,1.0,0.4220314735336194,1.0,0.13243243243243238,0.0,0.0,0.3888888888888889,0.14375000000000004,1.0,0.5,0.9600000000000002,1.0,0.2092
0.65,0.30612244897959195,0.25,0.4,1.0,0.4263233190271817,1.0,0.2162162162162162,0.0,0.0,0.488888888888889,0.7625,1.0,0.6,0.6000000000000001,0.0,0.4668
0.5,0.0,0.0,0.6,0.75,0.7510729613733906,1.0,0.0,0.0,0.0,0.6888888888888889,0.940625,0.0,0.6,0.0,0.0,0.3661
0.4,0.0,0.25,0.5,0.25,0.547925608011445,1.0,0.8648648648648647,0.0,0.0,0.6222222222222222,0.95,1.0,0.5,0.8675000000000002,0.0,0.2766
1.0,0.8367346938775511,0.25,0.05,0.5,0.29756795422031473,1.0,0.0,0.0,0.0,0.811111111111111,0.25,1.0,0.8,0.2450000000000001,0.0,0.5034
0.2,0.0,0.0,0.8,0.75,0.7525035765379113,1.0,0.027027027027027,0.625,1.0,0.08888888888888889,0.03749999999999987,0.0,0.6,0.6025,0.0,0.3712
0.85,0.7959183673469388,0.0,0.8,0.5,0.6494992846924178,1.0,0.14324324324324325,0.0,0.0,0.6888888888888889,0.6468750000000001,0.0,0.5,0.050000000000000044,1.0,0.934
1.0,1.0000000000000002,0.25,0.2,0.75,0.4449213161659514,1.0,0.1243243243243243,0.0,0.0,0.5111111111111112,0.5093749999999999,0.0,0.6,0.22250000000000003,1.0,0.3675
0.65,0.40816326530612246,0.0,0.4,0.5,0.894134477825465,1.0,0.0,0.0,0.0,0.6777777777777777,0.653125,1.0,0.8,0.8225,0.0,0.3549
1.0,1.0000000000000002,0.25,0.95,1.0,0.6223175965665236,1.0,0.06756756756756757,0.0,0.0,0.2666666666666667,0.35624999999999996,1.0,0.6,0.6075000000000002,0.0,0.7669
1.0,1.0000000000000002,0.5,0.6,0.5,0.34048640915593703,1.0,0.09459459459459454,0.0,0.0,0.4333333333333334,0.08749999999999991,1.0,0.8,0.40000000000000013,0.0,0.8802
0.65,0.26530612244897966,0.5,0.3,0.5,0.82689556509299,1.0,0.14324324324324325,0.0,0.0,0.8333333333333333,0.546875,1.0,0.6,0.49750000000000005,0.0,0.356
0.4,0.0,0.25,0.5,1.0,0.3147353361945637,1.0,0.3891891891891891,0.0,0.0,0.4444444444444445,0.4843750000000002,1.0,0.6,0.39749999999999996,1.0,0.7564
1.0,0.7755102040816326,0.25,0.6,0.5,0.7281831187410587,1.0,0.0,0.0,0.0,0.8222222222222222,0.5531249999999999,1.0,0.5,1.0,0.0,0.7537
0.85,0.5714285714285714,0.25,1.0,0.75,0.8369098712446352,1.0,0.2918918918918918,0.0,0.0,0.6444444444444445,0.8375000000000001,1.0,0.6,1.0,0.0,0.7954
0.65,0.34693877551020424,0.25,1.0,0.25,0.547925608011445,0.0,0.10270270270270268,0.0,0.0,0.6222222222222222,0.5625,1.0,0.6,0.4475,1.0,0.6245
0.65,0.22448979591836737,0.0,0.2,0.25,0.12875536480686695,1.0,0.0,0.0,0.0,0.6111111111111112,1.0000000000000002,0.0,0.6,0.8500000000000001,1.0,0.3075
0.65,0.12244897959183687,0.0,1.0,0.5,0.8211731044349071,1.0,0.23783783783783777,0.0,0.0,0.5333333333333332,0.5499999999999998,1.0,0.8,0.3274999999999999,1.0,0.7208
0.85,0.8163265306122449,0.25,0.1,0.75,0.2989985693848355,0.0,0.2216216216216216,0.5,1.0,0.7777777777777778,0.37187499999999996,1.0,0.8,0.3800000000000001,0.0,0.2063
1.0,0.9183673469387754,0.25,0.7,0.25,0.8798283261802575,1.0,0.0,0.125,1.0,0.8444444444444444,0.3875000000000002,1.0,0.6,0.5575000000000001,1.0,0.7823
1.0,0.9183673469387754,0.0,0.4,0.5,0.5092989985693849,1.0,0.08378378378378379,0.0,0.0,0.32222222222222224,0.671875,0.0,0.6,0.0,1.0,0.3453
0.65,0.26530612244897966,0.0,0.4,0.5,0.008583690987124463,0.0,0.9999999999999998,0.0,0.0,0.2666666666666667,0.5062500000000001,0.0,0.6,0.5049999999999999,1.0,0.1839
0.2,0.0,0.0,0.7,1.0,0.6895565092989986,1.0,0.048648648648648624,0.0,0.0,0.8222222222222222,0.9625000000000001,0.0,0.5,0.0,1.0,0.5711
0.4,0.0,0.0,0.1,0.75,0.6223175965665236,1.0,0.5108108108108107,0.125,1.0,0.3111111111111111,0.66875,1.0,0.5,0.17500000000000004,1.0,0.6225
0.1,0.0,0.0,0.4,0.25,0.9985693848354793,0.0,0.03783783783783781,0.0,0.0,0.3777777777777778,0.65625,1.0,0.6,0.9824999999999999,0.0,0.2326
0.4,0.0,0.0,0.95,0.75,0.7396280400572246,1.0,0.22972972972972963,0.75,1.0,0.2666666666666667,0.60625,1.0,0.6,0.3074999999999999,1.0,0.9164
0.65,0.26530612244897966,0.0,0.4,1.0,0.8211731044349071,1.0,0.3756756756756756,0.0,0.0,0.24444444444444446,0.12812500000000004,1.0,0.8,0.3800000000000001,0.0,0.3299
0.2,0.0,0.0,0.2,0.25,0.4520743919885551,1.0,0.2108108108108108,0.0,0.0,0.5222222222222221,0.203125,1.0,0.6,0.395,0.0,0.5701
0.4,0.0,0.0,0.3,0.5,0.3762517882689556,1.0,0.0,0.0,0.0,0.4000000000000001,0.0,1.0,0.5,0.5,0.0,0.3707
0.1,0.0,0.25,0.3,0.75,0.3447782546494993,1.0,0.15675675675675668,0.0,0.0,0.6666666666666666,0.25312500000000004,1.0,0.6,0.05249999999999999,1.0,0.3932
0.4,0.0,0.0,0.05,0.25,0.42775393419170243,1.0,0.32162162162162156,0.0,0.0,0.6777777777777777,0.17500000000000004,1.0,0.6,0.6849999999999998,1.0,0.1777
0.2,0.0,0.0,0.1,0.5,0.11731044349070101,1.0,0.08108108108108106,0.0,0.0,0.5666666666666667,0.47812500000000013,1.0,0.6,0.9724999999999999,0.0,0.7973
0.4,0.0,0.25,0.6,1.0,0.8011444921316166,1.0,0.06486486486486484,0.0,0.0,0.24444444444444446,0.7281250000000001,1.0,0.6,0.6799999999999999,0.0,0.9328
0.5,0.0,0.25,0.1,1.0,0.6022889842632332,1.0,0.08918918918918914,0.5,1.0,0.488888888888889,0.8406250000000004,1.0,0.8,0.0,1.0,0.5307
0.65,0.22448979591836737,0.25,0.3,0.5,0.35050071530758226,1.0,0.26216216216216215,0.0,0.0,0.7111111111111111,0.5812499999999998,1.0,0.5,0.0,0.0,0.289
0.1,0.0,0.0,0.8,0.5,0.5092989985693849,1.0,0.32432432432432423,0.0,0.0,0.4000000000000001,1.0000000000000002,0.0,0.6,0.0,1.0,0.7543
0.85,0.6122448979591837,0.25,0.8,0.75,0.5264663805436338,1.0,0.0,0.0,0.0,0.6222222222222222,0.8281250000000002,1.0,0.6,0.8325,1.0,0.7045
0.1,0.0,0.0,1.0,1.0,0.726752503576538,1.0,0.0,0.0,0.0,0.7111111111111111,0.8843750000000001,1.0,0.6,1.0,0.0,0.4331
0.4,0.0,0.25,0.5,1.0,0.296137339055794,1.0,0.0,0.0,0.0,0.6333333333333334,0.7156250000000002,1.0,0.8,0.53,1.0,0.9083
0.4,0.0,0.0,0.4,0.75,0.32761087267525035,1.0,0.07297297297297298,0.0,0.0,0.5777777777777777,0.8718750000000004,1.0,0.5,0.18999999999999995,0.0,0.4232
0.65,0.020408163265306145,0.5,1.0,0.5,0.9957081545064378,1.0,0.0,0.875,1.0,0.7777777777777778,0.5874999999999999,1.0,0.5,0.1925,1.0,0.848
0.85,0.7551020408163265,0.25,0.7,1.0,0.40486409155937053,1.0,0.1621621621621621,0.0,0.0,0.4000000000000001,0.44687500000000013,1.0,0.8,0.21750000000000003,0.0,0.5227
0.5,0.0,0.25,0.4,0.5,0.8454935622317596,1.0,0.0,0.0,0.0,0.33333333333333337,0.6343749999999999,1.0,0.6,0.5525,1.0,0.2903
1.0,1.0000000000000002,0.0,0.6,0.25,0.27038626609442057,1.0,0.22432432432432423,0.375,1.0,0.7111111111111111,0.8187500000000003,0.0,0.6,0.5950000000000002,1.0,0.7015
0.5,0.0,0.0,0.1,1.0,0.7925608011444921,1.0,0.0,0.0,0.0,0.24444444444444446,0.4031250000000002,0.0,0.5,1.0,0.0,0.4105
0.4,0.0,0.5,0.8,0.75,0.30901287553648066,1.0,0.08648648648648646,0.0,0.0,0.46666666666666673,0.34062499999999996,1.0,0.8,0.39749999999999996,0.0,0.8431
0.5,0.04081632653061229,0.5,0.2,1.0,0.35479256080114446,1.0,0.0,0.0,0.0,0.6222222222222222,0.10312499999999991,1.0,0.6,0.40000000000000013,0.0,0.2671
0.5,0.0,0.25,1.0,1.0,0.7296137339055795,1.0,0.0,0.875,1.0,0.3777777777777778,0.5874999999999999,1.0,0.5,0.0,1.0,0.7601
0.1,0.0,0.0,0.5,0.75,0.8311874105865522,1.0,0.024324324324324298,0.0,0.0,0.6333333333333334,0.7125000000000001,1.0,0.5,0.01749999999999996,1.0,0.8979
0.65,0.2857142857142858,0.0,0.2,1.0,0.4363376251788269,1.0,0.3405405405405405,0.0,0.0,0.46666666666666673,0.6875,0.0,0.5,0.3700000000000001,1.0,0.2268
0.65,0.26530612244897966,0.0,0.95,0.5,0.7582260371959944,1.0,0.0,0.0,0.0,0.788888888888889,0.46250000000000013,1.0,0.6,0.0,1.0,0.6529
0.5,0.061224489795918435,0.25,0.3,0.75,0.36337625178826893,1.0,0.22702702702702696,0.0,0.0,0.32222222222222224,0.9749999999999999,1.0,0.6,0.6949999999999998,1.0,0.4956
0.65,0.24489795918367352,0.5,0.8,0.5,0.11301859799713877,1.0,0.22432432432432423,0.0,0.0,0.7333333333333333,0.44062500000000004,1.0,0.5,0.6699999999999999,0.0,0.7507
0.5,0.10204081632653073,0.25,0.5,0.5,0.8183118741058656,1.0,0.0,0.0,0.0,0.6333333333333334,0.13749999999999996,1.0,0.6,0.15749999999999997,0.0,0.6005
0.4,0.0,0.0,0.2,0.5,0.7782546494992847,0.0,0.9999999999999998,0.875,1.0,0.24444444444444446,0.8406250000000004,1.0,0.6,0.365,1.0,0.2617
0.85,0.7142857142857142,0.25,0.4,1.0,0.9957081545064378,1.0,0.14324324324324325,0.0,0.0,0.41111111111111115,0.815625,1.0,0.5,0.0,0.0,0.9828
0.85,0.5714285714285714,0.75,0.3,1.0,0.5951359084406295,1.0,0.23513513513513504,0.0,0.0,0.811111111111111,0.8062500000000001,1.0,0.5,0.5525,1.0,0.9399
0.85,0.8367346938775511,0.0,0.3,1.0,0.3133047210300429,1.0,0.23783783783783777,0.75,1.0,0.8333333333333333,0.0,0.0,0.6,0.7124999999999999,1.0,0.5864
0.1,0.0,0.0,0.3,1.0,0.6509298998569385,1.0,0.0,0.0,0.0,0.7666666666666667,0.5218749999999999,1.0,0.6,0.0,0.0,0.5821
0.2,0.0,0.0,0.7,0.25,0.055793991416309016,0.0,0.9999999999999998,0.0,0.0,0.3888888888888889,0.9687499999999998,0.0,0.5,0.42999999999999994,0.0,0.368
0.1,0.0,0.0,0.4,0.5,0.12875536480686695,1.0,0.25945945945945936,0.0,0.0,0.4222222222222222,0.8125000000000002,1.0,0.5,0.625,1.0,0.2369
0.85,0.8979591836734693,0.0,0.5,1.0,0.6523605150214593,1.0,0.3162162162162161,0.0,0.0,0.7333333333333333,0.3343750000000001,0.0,0.5,0.6774999999999998,0.0,0.7822
1.0,0.7755102040816326,0.5,0.6,1.0,0.5221745350500716,1.0,0.04324324324324322,0.0,0.0,0.4222222222222222,0.5187499999999998,1.0,0.8,0.7549999999999999,0.0,0.802
0.1,0.0,0.0,0.4,0.75,0.753934191702432,1.0,0.0,0.75,1.0,0.03333333333333334,0.5843749999999999,1.0,0.6,0.0,0.0,0.8383
0.4,0.0,0.0,0.3,0.5,0.4864091559370529,1.0,0.0,0.0,0.0,0.7444444444444445,0.265625,1.0,0.5,1.0,0.0,0.3014
0.2,0.0,0.0,0.6,0.25,0.8412017167381974,1.0,0.2783783783783783,0.625,1.0,0.18888888888888894,0.0,1.0,0.8,0.0,0.0,0.6811
0.2,0.0,0.0,0.5,0.5,0.09298998569384835,1.0,0.0,0.0,0.0,0.5,0.8125000000000002,0.0,0.6,0.31000000000000005,0.0,0.1856
0.4,0.0,0.0,0.5,1.0,0.759656652360515,1.0,0.0,0.0,0.0,0.5666666666666667,0.125,1.0,0.6,0.0,0.0,0.3756
0.65,0.26530612244897966,0.0,0.6,1.0,0.45064377682403434,1.0,0.0,0.0,0.0,0.24444444444444446,0.7562500000000003,0.0,0.8,0.30000000000000004,0.0,0.4406
0.2,0.0,0.0,1.0,0.5,0.36623748211731044,0.0,0.07297297297297298,0.0,0.0,0.6,0.5499999999999998,1.0,0.6,0.5800000000000001,0.0,0.599
0.2,0.0,0.0,0.95,1.0,0.6409155937052933,1.0,0.09189189189189181,0.0,0.0,0.2666666666666667,0.4187500000000002,1.0,0.6,0.18500000000000005,0.0,0.5581
