primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,sale_score
7,3,2,3,3,3,1,3,1,0,2,3,0.9452
3,2,1,6,2,2,0,2,2,0,1,1,0.3868
1,1,1,9,4,3,1,2,1,0,1,2,0.68
5,2,2,4,3,2,0,2,2,0,3,2,0.4993
1,1,1,6,2,2,0,2,1,0,1,2,0.4128
7,3,3,9,1,1,1,3,2,0,3,3,0.9396
3,1,1,10,2,2,0,1,2,1,1,2,0.274
4,2,2,5,2,2,1,2,1,0,2,2,0.6313
2,2,2,5,1,1,0,2,3,1,2,2,0.5702
7,3,2,10,2,2,0,2,1,0,3,1,0.4472
2,2,2,9,1,1,1,2,1,0,2,3,0.7578
7,3,2,1,1,1,1,1,1,0,3,2,0.3143
2,2,2,9,2,2,1,2,3,1,2,2,0.7816
2,2,3,10,1,1,1,2,3,1,2,2,0.7628
2,2,3,9,3,3,0,3,2,1,2,3,0.9312
2,2,3,7,3,2,1,2,3,1,2,3,0.8801
7,2,3,4,2,2,1,2,3,1,2,1,0.6101
5,2,2,8,4,3,1,3,1,0,2,3,0.9441
6,3,2,6,2,2,0,2,1,0,3,2,0.5571
6,3,3,10,1,1,0,2,3,1,3,2,0.689
1,1,1,3,2,2,1,3,2,0,1,3,0.8873
1,1,1,8,4,3,1,3,3,1,1,3,0.9558
4,2,2,6,2,2,0,2,1,0,2,1,0.3434
3,1,1,4,1,1,0,1,1,0,1,1,0.0778
5,2,2,6,2,2,1,2,3,1,2,2,0.7529
3,1,2,9,2,2,1,2,3,1,1,2,0.7249
2,2,2,8,3,2,1,3,2,0,2,2,0.8968
1,1,1,7,3,3,1,2,2,0,2,2,0.6205
5,2,2,3,3,2,1,3,1,0,2,3,0.9181
1,1,1,10,1,1,1,1,2,1,1,1,0.2452
5,2,3,10,2,2,0,1,3,1,2,2,0.375
1,1,1,5,2,2,0,2,2,1,1,2,0.5117
4,2,2,8,2,2,1,3,1,0,2,2,0.8679
2,2,1,2,2,2,0,2,1,0,3,1,0.2763
1,1,1,10,2,2,0,1,1,0,1,2,0.1985
2,2,1,7,2,2,0,2,1,0,2,2,0.4938
6,3,2,10,2,2,0,2,1,0,3,2,0.5991
7,3,2,4,2,2,0,2,1,0,2,1,0.4131
1,1,1,7,3,2,0,2,1,0,1,2,0.462
5,2,3,4,4,3,1,2,2,1,2,1,0.6723
3,1,1,2,1,1,0,1,2,0,1,2,0.1354
4,2,2,6,2,2,0,2,1,0,2,1,0.3434
6,3,3,8,3,3,1,3,1,0,3,3,0.9525
5,2,2,4,1,1,0,2,3,1,2,1,0.4025
5,2,3,9,3,2,1,3,2,1,3,2,0.9198
3,1,1,5,3,3,0,2,1,0,1,2,0.4445
5,2,2,3,2,2,1,3,1,0,2,3,0.9055
6,3,2,8,3,2,0,3,1,0,2,3,0.9177
3,1,2,7,2,2,1,2,3,1,1,2,0.7074
1,1,1,6,2,2,0,1,1,0,1,1,0.1024
4,2,2,8,2,2,0,3,2,1,2,2,0.8454
6,3,3,9,1,1,1,3,2,1,3,3,0.9567
6,3,3,9,2,2,0,3,3,1,2,2,0.9073
6,3,2,1,1,1,0,2,1,0,3,1,0.3136
1,1,1,4,2,2,1,1,3,1,1,2,0.3811
7,2,2,6,3,3,0,2,1,0,2,2,0.5293
5,2,2,7,2,2,1,2,1,0,2,3,0.7715
2,2,2,2,2,2,0,1,2,0,2,2,0.2124
5,2,1,7,3,2,0,2,1,0,2,3,0.6691
5,2,2,9,2,2,1,2,1,0,2,2,0.6681
7,3,2,7,2,2,1,2,1,0,3,3,0.8162
5,2,2,3,3,2,0,3,1,0,2,3,0.8571
1,1,1,2,1,1,0,1,1,0,1,1,0.0733
1,1,1,2,2,2,0,1,2,0,1,1,0.096
4,2,1,5,2,2,0,2,1,0,2,2,0.467
4,2,3,2,1,1,0,1,2,1,2,1,0.1489
2,2,3,3,3,3,1,3,2,1,2,3,0.9513
5,2,1,6,2,2,0,2,1,0,2,1,0.3312
7,3,2,3,2,2,1,3,1,0,3,3,0.9265
3,1,1,7,2,2,0,2,2,0,1,3,0.5924
6,3,3,3,2,2,1,3,2,0,3,3,0.9364
6,3,2,6,1,1,0,2,2,0,3,1,0.3854
3,1,1,4,3,2,1,1,1,0,1,2,0.2906
3,1,1,2,2,2,0,1,2,0,1,1,0.0942
1,1,1,10,1,1,0,1,3,1,1,2,0.26
2,2,2,9,4,3,0,2,1,0,2,3,0.7427
7,3,2,10,2,2,0,2,2,0,3,2,0.6206
7,3,3,5,1,1,1,2,2,1,3,2,0.7492
6,3,2,2,1,1,0,2,1,0,3,1,0.323
5,3,3,10,2,2,0,2,3,1,2,2,0.7539
5,2,2,8,2,2,1,3,1,0,3,3,0.9134
7,2,2,10,2,2,1,2,1,0,2,2,0.673
7,3,2,8,2,2,0,3,1,0,3,3,0.8932
7,3,3,5,3,2,1,2,2,1,3,2,0.8093
2,2,2,3,4,3,1,3,2,0,2,3,0.9396
5,2,2,7,4,3,1,2,1,0,2,3,0.8275
7,3,3,4,2,2,0,2,3,1,3,2,0.6726
7,2,2,6,3,2,0,2,1,0,3,1,0.3447
4,2,2,9,4,3,1,3,1,0,2,3,0.9469
5,2,1,10,2,2,0,1,1,0,3,2,0.2206
7,2,2,6,4,3,0,2,1,0,2,1,0.4186
5,2,2,2,1,1,0,1,2,0,2,1,0.1053
1,1,1,1,1,1,0,1,1,0,1,1,0.0704
5,2,2,4,2,2,1,2,1,0,2,2,0.6188
7,2,2,3,2,2,1,3,2,0,2,3,0.9121
4,2,2,4,2,2,0,1,1,0,2,2,0.2064
6,3,3,7,2,2,1,2,2,0,3,3,0.8384
2,2,3,6,2,2,0,2,3,1,2,2,0.6373
3,1,1,3,3,3,0,3,1,0,2,3,0.8006
2,2,1,6,4,3,0,2,1,0,2,2,0.5703
3,1,1,10,1,1,0,1,1,0,1,1,0.0985
2,2,2,10,1,1,0,1,2,1,2,1,0.1944
7,2,3,10,2,2,0,1,3,1,2,2,0.37
3,1,1,8,2,2,1,2,2,0,1,3,0.7394
5,2,2,10,2,2,0,2,3,1,2,2,0.6593
1,1,1,8,4,3,1,2,2,0,1,3,0.8045
6,3,3,3,2,2,1,3,3,1,3,3,0.9582
1,1,1,8,2,2,1,2,2,0,1,2,0.6132
7,2,3,6,4,3,1,2,3,1,2,2,0.8158
3,2,1,8,3,2,0,3,1,0,1,3,0.8912
4,2,2,10,1,1,0,1,2,1,2,1,0.1911
5,2,2,6,3,2,1,2,1,0,2,1,0.5311
4,2,2,5,3,3,1,2,1,0,2,2,0.6752
4,2,2,4,2,2,0,2,2,1,2,2,0.5772
5,2,2,6,4,3,1,2,2,0,2,2,0.7355
1,1,1,4,2,2,1,1,1,0,1,2,0.2634
2,2,2,9,2,2,0,3,2,1,2,3,0.9142
1,1,1,3,3,2,1,3,1,0,1,3,0.8928
1,1,1,3,2,2,1,3,3,1,1,3,0.9246
6,3,2,3,4,3,0,3,1,0,3,3,0.9063
5,3,3,9,2,2,0,3,3,1,2,2,0.9082
6,3,2,1,1,1,0,2,1,0,3,2,0.4551
6,3,3,5,2,2,1,2,2,1,3,2,0.7856
7,3,2,8,4,3,1,3,1,0,3,2,0.924
6,3,2,7,4,3,1,2,1,0,3,2,0.7772
5,2,2,5,1,1,1,2,1,0,3,2,0.5533
2,2,3,2,1,1,0,1,3,1,2,1,0.1651
6,3,2,5,4,3,0,2,1,0,3,2,0.6312
1,1,1,1,1,1,0,1,1,0,1,2,0.1216
4,2,2,8,3,3,1,3,1,0,2,3,0.9358
6,3,2,8,4,3,0,3,1,0,3,3,0.9231
7,2,2,10,1,1,0,1,1,0,2,1,0.1282
6,3,2,9,1,1,1,3,2,0,2,2,0.9026
7,2,3,1,1,1,0,2,3,1,2,2,0.5254
4,2,2,6,2,2,0,1,3,1,2,2,0.3281
1,1,1,3,4,3,1,3,1,0,1,3,0.91
3,1,1,3,2,2,1,3,1,0,2,3,0.8608
1,1,1,3,3,2,0,3,1,0,1,3,0.8167
1,1,1,10,1,1,0,1,1,0,1,1,0.1004
2,2,2,1,2,2,1,2,2,0,2,1,0.4712
2,2,2,4,3,3,0,2,2,0,2,2,0.5461
2,2,2,4,2,2,1,2,3,1,2,2,0.7426
6,3,2,7,3,2,1,2,2,0,3,3,0.8532
3,1,1,10,2,2,0,1,2,1,1,1,0.1711
5,2,2,3,3,2,0,3,1,0,2,3,0.8571
6,3,2,10,2,2,0,1,1,0,2,2,0.3331
6,3,2,7,3,2,0,2,1,0,3,3,0.7375
2,2,2,9,2,2,1,3,2,0,2,2,0.8858
2,2,3,9,2,2,1,3,2,0,2,2,0.8901
7,3,2,6,2,2,0,2,2,1,2,1,0.5443
3,2,1,10,2,2,0,1,1,0,2,1,0.1513
5,2,2,2,1,1,0,1,2,0,2,1,0.1053
1,1,1,1,1,1,0,1,1,0,1,1,0.0704
1,1,1,4,4,3,1,1,2,0,1,2,0.3598
1,1,1,9,1,1,1,2,3,1,1,2,0.6797
6,3,3,3,2,2,0,3,2,1,3,3,0.9172
1,1,1,9,2,2,1,2,2,0,1,2,0.6233
7,3,3,2,2,2,0,2,3,1,3,1,0.5077
4,2,2,1,2,2,0,2,1,0,2,2,0.4353
5,2,2,1,2,2,0,2,1,0,3,2,0.4036
2,2,2,6,1,1,1,2,1,0,2,2,0.6007
4,2,2,7,3,2,1,2,1,0,3,2,0.6596
2,2,2,1,1,1,0,1,3,1,2,2,0.2488
4,2,2,9,1,1,1,3,1,0,2,2,0.8497
7,2,3,4,4,3,1,2,3,1,2,2,0.8025
4,2,3,7,3,2,1,2,2,1,2,2,0.7804
1,1,1,4,2,2,1,1,2,0,1,2,0.2835
7,3,3,5,2,2,1,2,3,1,3,2,0.8004
2,2,2,6,3,2,0,2,3,1,2,2,0.6631
3,1,1,2,1,1,0,1,1,0,2,1,0.0643
6,3,2,7,3,2,1,2,1,0,2,3,0.8555
1,1,1,2,2,2,0,1,1,0,1,1,0.0876
6,3,3,3,3,2,1,3,2,1,2,3,0.9647
3,2,1,10,2,2,0,1,1,0,2,2,0.2457
2,2,3,10,1,1,0,1,2,1,2,2,0.3155
6,3,2,10,1,1,0,2,1,0,3,2,0.5517
2,2,3,6,1,1,1,2,3,1,2,2,0.7302
4,2,2,6,2,2,1,2,1,0,2,2,0.6413
7,3,3,4,1,1,1,2,3,1,2,2,0.781
4,2,2,7,4,3,1,2,1,0,2,2,0.7262
3,2,2,3,3,2,1,3,2,1,2,2,0.907
5,2,2,1,2,2,0,2,1,0,2,2,0.4327
4,2,2,9,1,1,0,3,2,1,2,3,0.8958
3,1,1,8,2,2,0,2,1,0,1,3,0.5783
1,1,1,5,2,2,1,1,2,1,1,2,0.3675
2,2,2,2,2,2,0,1,1,0,2,1,0.1177
2,2,2,6,3,3,0,2,3,1,2,2,0.6712
2,2,2,7,3,3,1,2,1,0,2,3,0.8088
1,1,1,6,4,3,1,1,3,1,1,2,0.4881
4,2,2,10,2,2,0,2,1,0,2,2,0.5318
1,1,1,10,2,2,0,1,2,0,1,1,0.1304
1,1,1,2,2,2,0,1,1,0,1,1,0.0876
1,1,1,7,2,2,1,2,1,0,1,3,0.715
7,3,3,10,1,1,1,2,2,0,2,2,0.748
5,2,2,4,4,3,0,2,2,1,2,2,0.6574
3,1,1,2,2,2,0,1,1,0,1,1,0.0859
3,1,1,6,1,1,1,1,3,1,1,1,0.2285
3,2,1,2,1,1,1,1,2,0,1,1,0.1952
6,3,2,5,3,2,0,2,2,0,2,2,0.6374
5,2,2,4,4,3,1,2,2,0,2,1,0.5826
1,1,1,1,2,2,0,1,1,0,1,1,0.0842
1,1,1,10,1,1,1,1,2,0,1,2,0.2968
2,2,2,4,1,1,1,2,2,0,2,2,0.6042
4,2,2,9,2,2,1,2,1,0,2,2,0.6705
1,1,1,2,2,2,1,1,1,0,1,1,0.1522
5,2,2,10,2,2,0,1,1,0,2,1,0.1542
5,2,2,8,3,2,0,3,1,0,2,3,0.8815
4,2,2,9,1,1,1,3,2,1,2,3,0.9414
3,1,1,10,2,2,0,1,1,0,1,1,0.1171
4,2,2,1,1,1,0,2,2,0,3,2,0.384
5,2,2,1,1,1,0,1,2,0,2,1,0.1013
6,3,2,4,2,2,1,2,1,0,3,2,0.6833
1,1,1,2,2,2,0,1,2,1,1,1,0.13
1,1,1,1,1,1,0,1,1,0,1,1,0.0704
4,2,2,7,2,2,1,2,1,0,2,2,0.6512
2,2,1,6,2,2,0,2,1,0,2,1,0.3383
1,1,1,7,3,2,0,2,2,1,1,2,0.572
2,2,3,1,2,2,0,2,2,1,2,2,0.5615
3,1,1,2,2,2,0,1,1,0,1,1,0.0859
4,2,3,7,3,2,0,2,2,1,2,2,0.6552
3,1,1,5,3,2,0,2,2,0,1,2,0.4605
4,2,2,2,1,1,0,1,1,0,2,1,0.0971
5,2,2,3,4,3,0,3,1,0,2,3,0.8792
6,3,2,8,2,2,0,3,1,0,3,3,0.8942
1,1,1,7,3,2,0,2,1,0,1,2,0.462
4,2,2,10,1,1,0,2,2,0,2,1,0.3616
6,3,3,5,3,3,0,2,2,1,3,2,0.704
1,1,1,6,3,2,0,1,1,0,1,1,0.1177
7,2,3,5,2,2,1,2,2,0,2,2,0.6573
4,2,2,8,3,3,1,3,1,0,2,3,0.9358
3,2,1,10,2,2,0,1,1,0,2,2,0.2457
4,2,2,3,2,2,1,3,1,0,2,2,0.8412
2,2,2,5,4,3,0,2,1,0,2,2,0.5706
2,2,1,8,4,3,0,3,1,0,2,2,0.8299
7,3,2,9,3,3,1,3,2,0,3,2,0.923
2,2,2,1,2,2,0,1,2,0,2,2,0.2053
5,2,2,7,4,3,1,2,1,0,2,2,0.7241
5,2,2,4,4,3,1,2,3,1,2,2,0.7988
4,2,2,1,2,2,0,2,2,1,2,1,0.3962
7,2,3,2,2,2,0,1,3,1,2,1,0.1854
6,3,3,8,4,3,1,3,1,0,3,3,0.9591
5,2,2,9,4,3,1,3,1,0,2,2,0.9061
6,3,2,4,3,3,0,2,2,0,3,2,0.6078
2,2,2,5,4,3,1,2,2,0,3,2,0.7092
4,2,3,2,1,1,0,2,3,1,2,1,0.3949
3,1,1,7,3,2,1,2,1,0,1,2,0.6112
6,3,2,6,1,1,0,2,1,0,2,2,0.5387
6,3,2,3,2,2,0,3,1,0,3,3,0.872
5,2,2,1,1,1,0,2,3,1,2,1,0.3718
7,3,3,8,2,2,1,3,3,1,3,3,0.9657
7,3,3,3,3,2,1,3,2,1,3,2,0.9292
3,1,1,8,4,3,1,2,1,0,1,3,0.7846
6,3,3,7,3,3,1,2,2,0,2,2,0.7953
5,2,2,4,3,2,1,2,1,0,2,2,0.6551
7,2,2,3,2,2,1,3,1,0,2,3,0.9037
4,2,2,1,2,2,0,2,1,0,2,2,0.4353
2,2,2,5,2,2,0,2,1,0,2,2,0.4833
5,2,2,5,3,3,0,2,2,0,2,2,0.549
4,2,2,5,2,2,1,2,1,0,2,2,0.6313
1,1,1,1,1,1,1,1,1,0,1,1,0.124
3,2,2,3,4,3,1,3,3,1,1,3,0.9643
7,2,2,1,2,2,1,2,1,0,2,1,0.4331
5,2,2,10,2,2,1,1,1,0,2,2,0.384
3,1,1,7,2,2,1,2,3,1,1,2,0.6982
1,1,1,10,1,1,0,1,3,1,1,1,0.1612
1,1,1,8,2,2,1,3,3,1,1,3,0.9383
2,2,2,10,1,1,0,2,2,0,3,2,0.4841
4,2,3,8,2,2,1,3,3,1,2,3,0.9558
3,2,1,4,2,2,1,1,2,0,1,2,0.3697
5,2,2,10,2,2,0,2,1,0,2,2,0.5292
6,3,3,8,3,2,1,3,3,1,3,3,0.9708
3,1,1,9,4,3,1,2,1,0,1,2,0.6754
7,3,3,1,2,2,0,2,3,1,3,1,0.4969
1,1,1,2,1,1,0,1,1,0,1,1,0.0733
6,3,3,8,3,2,0,3,2,1,3,3,0.9415
2,2,2,4,2,2,0,2,2,0,2,2,0.4978
5,2,2,3,3,2,1,3,1,0,2,2,0.8598
2,2,1,9,4,3,1,2,1,0,2,3,0.8378
1,1,1,5,2,2,0,2,1,0,1,2,0.4024
4,2,3,6,1,1,0,2,2,1,2,2,0.5616
6,3,3,2,1,1,0,2,2,1,3,1,0.4369
2,2,2,5,1,1,0,2,2,1,2,2,0.5453
1,1,1,5,4,3,0,1,3,1,1,2,0.3281
6,3,2,5,2,2,0,2,2,0,3,2,0.5713
5,2,2,8,2,2,1,3,2,0,2,3,0.9293
5,2,2,6,3,2,0,2,2,0,2,2,0.5505
6,3,3,8,4,3,1,3,1,0,3,2,0.9277
6,3,3,10,1,1,1,2,2,1,2,2,0.8084
2,2,2,5,4,3,1,2,2,1,2,2,0.7945
7,3,2,10,2,2,0,2,2,0,3,1,0.4723
5,3,2,9,3,2,0,3,3,1,3,2,0.9077
6,3,2,10,1,1,1,2,1,0,3,2,0.6971
2,2,2,2,1,1,0,1,2,0,2,1,0.1084
4,2,3,8,3,2,1,3,3,1,2,3,0.962
5,2,2,2,1,1,0,1,3,1,2,1,0.1549
6,3,2,9,3,2,1,3,1,0,3,3,0.9508
6,3,2,4,2,2,0,2,1,0,3,2,0.5357
4,2,2,6,1,1,1,2,1,0,2,2,0.5956
3,1,1,8,2,2,0,3,1,0,2,3,0.804
3,1,1,10,2,2,1,1,1,0,1,2,0.312
2,2,3,4,1,1,0,2,3,1,2,1,0.4208
5,2,2,4,2,2,0,2,2,1,2,2,0.5746
2,2,2,5,3,2,0,2,2,1,2,2,0.6301
6,3,2,6,2,2,1,2,1,0,3,2,0.7016
4,2,2,9,1,1,0,3,2,1,2,2,0.8247
3,2,1,2,1,1,1,1,2,0,1,1,0.1952
1,1,1,6,3,3,0,1,1,0,2,1,0.1094
5,2,2,1,1,1,0,1,2,1,2,2,0.2248
4,2,2,6,1,1,0,2,1,0,2,2,0.4406
1,1,1,4,4,3,1,1,2,0,1,1,0.2352
1,1,1,5,3,3,0,2,2,0,1,2,0.4749
2,2,1,2,1,1,0,1,1,0,2,1,0.0951
2,2,2,8,4,3,1,3,1,0,2,3,0.9457
4,2,2,1,2,2,1,2,2,0,2,1,0.4659
3,1,1,7,2,2,1,2,2,1,1,2,0.6765
5,2,2,8,2,2,1,3,2,0,2,3,0.9293
1,1,1,6,4,3,0,1,3,1,1,2,0.3377
3,2,2,1,1,1,1,1,2,1,1,2,0.3843
7,3,2,2,2,2,0,1,1,0,3,1,0.1452
1,1,1,3,3,2,1,3,1,0,1,3,0.8928
2,2,3,4,2,2,1,2,2,1,2,1,0.5985
2,2,2,4,2,2,0,2,1,0,2,2,0.4726
6,3,2,7,2,2,1,2,1,0,2,3,0.8349
1,1,1,5,2,2,0,2,1,0,1,2,0.4024
3,1,1,1,2,2,0,1,3,1,1,1,0.1342
7,3,3,2,1,1,0,2,3,1,3,1,0.4593
7,2,2,7,2,2,1,2,1,0,3,3,0.7457
5,2,2,2,2,2,0,1,1,0,2,1,0.1144
5,2,2,5,2,2,0,2,2,0,2,2,0.5006
4,2,2,6,2,2,1,2,2,0,2,1,0.5197
3,1,1,1,1,1,0,1,2,1,1,1,0.1035
1,1,1,5,4,3,0,1,1,0,1,2,0.221
2,2,1,5,2,2,0,2,1,0,2,2,0.4723
6,3,3,3,3,2,1,3,3,1,3,3,0.9641
5,2,3,2,2,2,0,1,3,1,3,1,0.171
3,1,1,6,4,3,1,1,1,0,1,2,0.3516
6,3,3,7,3,2,1,2,3,1,2,2,0.8535
5,2,2,5,3,3,1,2,1,0,2,2,0.6729
4,2,2,4,3,2,0,1,1,0,2,2,0.2334
5,2,2,10,1,1,0,1,3,1,2,1,0.2055
6,3,3,7,3,2,1,2,3,1,2,3,0.9142
1,1,1,6,1,1,1,1,3,1,2,1,0.2116
6,3,2,7,2,2,1,2,1,0,3,2,0.7106
6,3,3,10,2,2,0,1,3,1,2,2,0.4734
4,2,1,10,2,2,0,2,1,0,2,1,0.3729
6,3,2,4,3,2,1,2,1,0,3,1,0.58
4,2,1,1,2,2,0,1,1,0,2,1,0.1069
4,2,2,10,1,1,0,1,2,1,3,1,0.1733
7,3,2,9,2,2,1,2,1,0,3,2,0.7259
1,1,1,8,3,2,0,2,2,0,1,3,0.6445
6,3,2,6,3,3,0,2,1,0,2,1,0.4849
6,3,2,2,2,2,0,2,1,0,3,1,0.3667
3,2,1,3,3,3,1,3,1,0,2,3,0.9191
6,3,2,1,1,1,0,2,1,0,3,2,0.4551
2,2,2,3,3,2,1,3,1,0,1,3,0.9288
2,2,1,1,1,1,0,1,1,0,2,2,0.1554
6,3,2,6,1,1,1,2,1,0,2,1,0.5443
1,1,1,5,2,2,0,2,1,0,1,2,0.4024
4,2,2,4,1,1,0,2,3,1,2,2,0.5544
2,2,2,6,2,2,1,2,2,1,2,1,0.6086
2,2,3,4,1,1,1,2,3,1,2,2,0.7129
2,2,3,7,2,2,1,2,2,1,2,2,0.7562
7,3,2,9,2,2,0,3,2,0,3,3,0.9062
4,2,2,3,2,2,1,3,2,0,2,3,0.9146
6,3,2,2,1,1,0,1,1,0,3,1,0.1239
2,2,2,8,3,3,0,3,2,0,2,2,0.8282
2,2,2,2,1,1,0,1,1,0,2,1,0.099
4,2,3,8,3,2,1,3,3,1,2,3,0.962
1,1,1,5,3,3,1,2,2,1,1,2,0.704
4,2,3,8,3,3,1,3,3,1,2,3,0.9633
5,2,2,9,2,2,1,3,2,0,2,3,0.9321
4,2,2,4,2,2,1,2,1,0,2,2,0.6212
3,2,2,3,4,3,1,3,3,1,2,3,0.9599
3,1,1,7,3,2,1,2,2,1,1,2,0.7099
5,2,2,10,1,1,0,1,1,0,3,2,0.1959
1,1,1,10,1,1,0,1,1,0,1,2,0.1694
1,1,1,6,2,2,0,1,3,1,1,1,0.1641
5,2,1,9,2,2,0,3,1,0,3,2,0.755
3,1,1,2,1,1,1,1,1,0,1,1,0.1264
1,1,1,8,2,2,0,2,3,1,1,3,0.7069
5,2,2,9,4,3,0,3,1,0,2,2,0.8376
4,2,3,7,2,2,1,2,2,1,2,3,0.8473
5,2,2,2,1,1,1,1,1,0,2,1,0.166
6,3,3,2,1,1,0,2,3,1,3,1,0.4619
2,2,3,8,3,3,1,3,2,1,3,3,0.9555
7,2,3,10,1,1,0,1,2,1,3,1,0.1751
6,3,3,8,2,2,1,3,1,0,3,2,0.9003
1,1,1,6,1,1,0,1,2,0,1,2,0.1596
1,1,1,5,2,2,0,2,2,0,1,2,0.4269
3,1,1,4,1,1,0,1,1,0,1,2,0.1336
6,3,3,6,3,3,1,2,2,0,3,2,0.7675
2,2,3,1,2,2,1,1,3,1,2,1,0.3006
7,3,2,10,1,1,0,2,2,0,2,1,0.4538
5,2,3,5,2,2,1,2,3,1,2,2,0.7531
3,2,1,4,3,3,1,1,1,0,2,2,0.3635
1,1,1,6,3,3,1,1,1,0,1,1,0.2056
7,2,2,7,2,2,1,3,2,0,2,2,0.8709
3,1,1,1,1,1,0,1,2,0,1,2,0.1304
3,2,1,8,4,3,1,3,3,1,1,3,0.9697
4,2,2,9,2,2,1,3,1,0,3,3,0.9175
2,2,2,9,3,3,0,3,1,0,2,2,0.8198
5,2,2,2,2,2,1,1,1,0,1,1,0.214
2,2,2,5,3,3,0,2,3,1,2,2,0.6616
2,2,2,2,2,2,0,1,2,0,2,1,0.1286
7,3,2,8,3,3,0,3,1,0,3,3,0.9103
7,3,3,6,3,3,0,2,3,1,3,2,0.7311
4,2,3,9,3,3,1,2,3,1,2,3,0.8904
1,1,1,7,3,2,1,2,1,0,1,2,0.6162
2,2,2,7,2,2,1,2,2,0,2,3,0.7941
3,1,1,9,3,2,1,2,2,0,1,2,0.6547
4,2,2,7,2,2,1,2,1,0,2,2,0.6512
6,3,2,1,1,1,0,2,1,0,3,1,0.3136
5,2,3,9,1,1,0,3,3,1,2,3,0.9077
7,3,3,8,2,2,1,3,3,1,2,3,0.9694
3,2,1,3,3,2,1,3,2,0,1,3,0.9318
7,3,2,8,3,2,1,3,1,0,2,3,0.9537
4,2,2,5,2,2,0,2,1,0,2,2,0.478
7,3,3,3,2,2,1,3,3,1,3,3,0.9578
7,3,2,6,2,2,0,2,3,1,3,2,0.6818
4,2,3,6,4,3,0,2,3,1,3,2,0.6844
7,2,2,2,1,1,1,1,1,0,3,1,0.1474
7,3,3,6,3,3,1,2,3,1,3,2,0.8356
4,2,2,1,1,1,1,2,1,0,2,2,0.5428
1,1,1,4,2,2,0,1,2,1,1,2,0.2294
7,2,2,4,2,2,0,2,2,1,2,2,0.5695
3,1,1,1,1,1,0,1,1,0,1,1,0.069
2,2,2,8,3,3,1,3,1,0,1,3,0.9438
7,3,2,10,1,1,1,1,1,0,3,1,0.2698
7,3,2,9,2,2,0,3,1,0,2,2,0.8433
4,2,2,4,1,1,0,2,2,1,2,1,0.3809
4,2,2,3,2,2,1,3,2,0,2,3,0.9146
