lead_id,primary_sentiment,sentiment_score,sentiment_combo_score,intent,message_quality,summary_length,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,historical_avg_sentiment,industry_close_rate,sale_closed
lead:00000040,interested,0.59,5,ready_to_buy,detailed,343,1,2.55,1,1,0.48,0.584,1
lead:00000041,interested,0.49,7,ready_to_buy,detailed,350,1,2.0,2,1,0.26,0.699,1
lead:00000042,angry,-0.74,-2,churning,short,146,0,0.0,5,1,-0.38,0.448,0
lead:00000043,angry,-0.62,0,comparison_shopping,medium,193,1,0.42,2,1,-0.49,0.393,1
lead:00000044,negotiating,0.4,4,upsell_opportunity,medium,219,1,2.04,0,0,0.25,0.614,1
lead:00000045,curious,0.43,3,evaluating,medium,197,0,1.07,1,0,0.19,0.576,1
lead:00000046,negotiating,0.44,1,information_seeking,medium,177,0,0.8,0,0,0.21,0.456,0
lead:00000047,urgent,0.72,5,closing,long,306,1,2.91,0,0,0.14,0.715,1
lead:00000048,dissatisfied,-0.21,-1,information_seeking,medium,183,0,0.77,2,0,-0.39,0.387,0
lead:00000049,angry,-0.72,-3,upsell_opportunity,detailed,466,1,1.52,0,0,-0.39,0.525,1
lead:00000050,negotiating,0.62,4,comparison_shopping,long,234,0,0.72,1,0,0.65,0.514,0
lead:00000051,angry,-0.57,-3,information_seeking,medium,187,0,0.7,0,0,-0.46,0.48,0
lead:00000052,urgent,0.9,6,upsell_opportunity,short,119,1,2.2,1,0,0.61,0.6,1
lead:00000053,dissatisfied,-0.76,-2,window_shopping,medium,201,0,0.0,1,1,-0.66,0.458,0
lead:00000054,interested,0.38,2,evaluating,medium,184,1,1.16,0,0,-0.12,0.535,1
lead:00000055,curious,0.28,4,evaluating,short,151,0,1.01,4,1,0.32,0.516,1
lead:00000056,urgent,0.78,2,window_shopping,medium,227,0,0.64,0,0,0.51,0.356,1
lead:00000057,curious,0.03,3,upsell_opportunity,short,107,1,1.81,0,0,0.18,0.618,1
lead:00000058,urgent,0.73,3,at_risk,short,131,1,0.43,0,0,0.61,0.456,1
lead:00000059,curious,0.47,5,upsell_opportunity,medium,197,1,1.86,6,1,0.4,0.541,1
lead:00000060,curious,0.31,6,window_shopping,short,115,1,0.53,4,1,0.06,0.494,0
lead:00000061,curious,0.23,6,upsell_opportunity,long,320,0,2.22,2,1,0.33,0.634,1
lead:00000062,curious,0.01,6,negotiating,long,264,1,1.22,7,1,-0.08,0.609,1
lead:00000063,urgent,0.61,8,comparison_shopping,medium,172,1,0.81,5,1,0.42,0.363,1
lead:00000064,negotiating,0.32,4,ready_to_buy,detailed,352,1,2.17,0,0,0.28,0.677,1
lead:00000065,satisfied,0.9,3,information_seeking,medium,214,0,1.24,0,0,0.61,0.547,0
lead:00000066,satisfied,0.97,7,window_shopping,short,125,0,0.72,4,1,0.72,0.513,1
lead:00000067,angry,-0.81,-2,closing,medium,198,1,2.28,1,0,-0.97,0.69,1
lead:00000068,angry,-0.99,1,ready_to_buy,detailed,497,1,1.99,4,1,-0.43,0.684,1
lead:00000069,interested,0.33,2,information_seeking,medium,188,0,0.77,0,0,0.23,0.408,1
lead:00000070,dissatisfied,-0.68,-3,comparison_shopping,short,131,0,0.0,0,0,-0.56,0.407,0
lead:00000071,negotiating,0.42,5,information_seeking,medium,214,1,0.81,4,1,0.33,0.547,0
lead:00000072,dissatisfied,-0.43,3,upsell_opportunity,medium,198,1,1.5,6,1,-0.3,0.542,1
lead:00000073,curious,0.1,2,ready_to_buy,long,270,1,2.16,1,0,0.04,0.574,1
lead:00000074,angry,-0.56,-2,negotiating,long,283,1,0.78,1,0,-0.19,0.537,0
lead:00000075,negotiating,0.47,3,closing,long,265,1,2.75,0,0,0.4,0.647,1
lead:00000076,angry,-0.54,-1,window_shopping,short,120,1,0.0,1,1,-0.2,0.418,1
lead:00000077,negotiating,0.44,6,window_shopping,medium,225,0,0.31,6,1,0.24,0.456,0
lead:00000078,angry,-0.5,0,evaluating,medium,183,0,0.54,3,1,-0.21,0.461,0
lead:00000079,interested,0.49,2,ready_to_buy,medium,195,1,2.51,0,0,0.11,0.585,1
lead:00000080,curious,0.33,1,churning,medium,184,0,0.49,0,0,0.5,0.398,0
lead:00000081,angry,-0.8,-4,window_shopping,medium,193,0,0.0,0,0,-0.51,0.463,0
lead:00000082,curious,0.33,1,negotiating,medium,173,0,1.32,0,0,0.18,0.543,0
lead:00000083,satisfied,0.89,3,window_shopping,medium,185,0,0.82,0,0,0.65,0.467,0
lead:00000084,urgent,0.74,4,comparison_shopping,medium,196,0,0.89,0,0,0.4,0.404,0
lead:00000085,angry,-0.77,-3,negotiating,long,254,0,0.84,0,0,-0.48,0.539,1
lead:00000086,negotiating,0.62,6,comparison_shopping,detailed,369,1,1.03,1,1,0.4,0.381,0
lead:00000087,dissatisfied,-0.76,-3,churning,short,138,0,0.0,3,0,-0.52,0.427,0
lead:00000088,interested,0.51,4,information_seeking,medium,166,0,0.76,0,0,0.35,0.396,0
lead:00000089,satisfied,0.94,6,ready_to_buy,long,320,1,2.47,0,0,0.85,0.605,1
lead:00000090,negotiating,0.36,4,comparison_shopping,short,134,0,0.53,6,1,0.32,0.36,0
lead:00000091,negotiating,0.63,7,upsell_opportunity,long,275,1,2.08,1,1,0.65,0.575,1
lead:00000092,dissatisfied,-0.67,-2,evaluating,long,326,0,0.57,0,0,-0.4,0.468,0
lead:00000093,negotiating,0.65,3,closing,medium,227,1,3.05,0,0,0.24,0.611,1
lead:00000094,satisfied,0.71,4,ready_to_buy,long,267,0,2.38,0,0,0.48,0.619,1
lead:00000095,dissatisfied,-0.46,2,negotiating,medium,208,1,1.06,4,1,-0.32,0.532,1
lead:00000096,angry,-0.89,-4,information_seeking,medium,203,0,0.0,0,0,-0.76,0.416,0
lead:00000097,interested,0.27,5,ready_to_buy,medium,187,0,2.68,3,1,0.32,0.589,1
lead:00000098,satisfied,0.96,8,upsell_opportunity,short,149,1,2.47,2,1,0.73,0.66,1
lead:00000099,satisfied,0.85,8,upsell_opportunity,medium,217,0,2.24,6,1,0.48,0.538,1
lead:00000100,satisfied,0.89,4,at_risk,short,152,0,0.68,0,0,0.6,0.366,0
lead:00000101,angry,-0.81,0,comparison_shopping,medium,171,1,0.02,7,1,-0.42,0.43,0
lead:00000102,urgent,0.57,3,information_seeking,long,324,0,0.83,0,0,0.45,0.478,1
lead:00000103,negotiating,0.49,3,negotiating,medium,165,1,1.48,0,0,0.14,0.632,1
lead:00000104,curious,0.48,5,churning,medium,220,0,0.17,2,0,0.19,0.426,1
lead:00000105,negotiating,0.45,1,negotiating,long,271,0,1.25,0,0,0.44,0.626,1
lead:00000106,negotiating,0.57,3,upsell_opportunity,medium,189,1,1.85,0,0,0.43,0.585,1
lead:00000107,urgent,0.83,5,negotiating,medium,228,1,1.69,0,0,0.68,0.631,1
lead:00000108,negotiating,0.58,3,closing,long,260,0,2.77,0,0,0.37,0.711,1
lead:00000109,angry,-0.8,-3,churning,short,128,0,0.0,0,0,-0.82,0.312,0
lead:00000110,angry,-0.58,-1,churning,medium,226,0,0.0,3,0,-0.35,0.359,0
lead:00000111,interested,0.41,1,evaluating,medium,170,0,0.94,0,0,0.34,0.511,0
lead:00000112,interested,0.62,6,churning,short,102,0,0.2,3,1,0.39,0.281,1
lead:00000113,curious,0.4,7,closing,long,291,1,2.46,2,1,0.47,0.629,1
lead:00000114,negotiating,0.43,1,information_seeking,medium,207,0,0.68,0,0,0.42,0.419,1
lead:00000115,urgent,0.7,3,closing,medium,229,1,2.66,0,0,0.66,0.639,1
lead:00000116,dissatisfied,-0.51,-1,negotiating,medium,168,0,1.02,1,0,-0.37,0.617,0
lead:00000117,satisfied,0.81,7,closing,medium,192,1,3.05,2,0,0.57,0.683,1
lead:00000118,satisfied,0.78,4,information_seeking,short,107,0,0.77,1,0,0.49,0.414,0
lead:00000119,dissatisfied,-0.71,-3,comparison_shopping,long,257,1,0.05,0,0,-0.5,0.459,1
lead:00000120,dissatisfied,-0.66,-2,churning,medium,188,0,0.0,1,0,-0.49,0.328,0
lead:00000121,angry,-0.88,-1,window_shopping,short,103,0,0.0,7,1,-0.42,0.459,0
lead:00000122,curious,0.01,2,upsell_opportunity,detailed,409,0,1.48,0,0,0.09,0.6,0
lead:00000123,urgent,0.86,5,window_shopping,medium,173,0,0.76,1,0,0.59,0.453,1
lead:00000124,urgent,0.88,8,evaluating,short,126,1,1.13,3,1,0.52,0.471,0
lead:00000125,satisfied,0.78,3,churning,short,162,0,0.51,0,0,0.66,0.337,0
lead:00000126,negotiating,0.7,6,window_shopping,medium,178,0,0.6,5,1,0.47,0.488,1
lead:00000127,negotiating,0.64,3,ready_to_buy,medium,213,1,2.49,0,0,0.5,0.618,1
lead:00000128,urgent,0.61,5,window_shopping,medium,180,1,0.71,0,0,0.46,0.504,1
lead:00000129,urgent,0.85,3,ready_to_buy,medium,181,0,2.67,0,0,0.68,0.649,1
lead:00000130,urgent,0.85,7,evaluating,long,260,1,1.2,1,1,0.62,0.461,0
lead:00000131,curious,0.37,4,closing,detailed,378,1,2.78,1,0,0.04,0.65,1
lead:00000132,negotiating,0.51,5,negotiating,detailed,362,1,1.51,0,0,0.09,0.608,0
lead:00000133,urgent,0.86,7,comparison_shopping,medium,198,0,0.97,5,1,0.59,0.536,1
lead:00000134,urgent,0.63,4,information_seeking,long,262,0,0.76,0,0,0.63,0.389,0
lead:00000135,interested,0.6,4,upsell_opportunity,detailed,380,1,2.02,0,0,0.48,0.629,1
lead:00000136,negotiating,0.49,1,window_shopping,medium,168,0,0.38,0,0,0.5,0.501,0
lead:00000137,urgent,0.61,3,information_seeking,detailed,352,0,0.7,0,0,0.22,0.392,1
lead:00000138,negotiating,0.56,3,churning,short,161,0,0.35,1,0,0.31,0.319,0
lead:00000139,angry,-0.66,-2,at_risk,short,157,0,0.0,0,0,-0.41,0.362,0
lead:00000140,negotiating,0.54,3,comparison_shopping,medium,225,1,0.62,0,0,0.2,0.481,1
lead:00000141,urgent,0.63,4,closing,medium,195,1,2.77,1,0,0.45,0.646,1
lead:00000142,interested,0.46,2,comparison_shopping,medium,198,0,0.36,0,0,0.43,0.444,0
lead:00000143,satisfied,0.92,7,negotiating,medium,179,1,1.61,1,0,0.62,0.641,1
lead:00000144,curious,0.45,6,information_seeking,medium,197,0,0.83,4,1,0.46,0.55,1
lead:00000145,dissatisfied,-0.42,-1,closing,long,315,0,2.41,0,0,-0.11,0.654,1
lead:00000146,curious,0.16,1,information_seeking,detailed,423,0,0.77,0,0,0.13,0.488,0
lead:00000147,dissatisfied,-0.66,-4,window_shopping,short,149,0,0.0,0,0,-0.52,0.404,0
lead:00000148,curious,0.08,4,window_shopping,short,114,0,0.03,1,1,-0.11,0.362,0
lead:00000149,urgent,0.62,7,window_shopping,medium,207,0,0.42,4,1,0.25,0.512,1
lead:00000150,dissatisfied,-0.79,-3,ready_to_buy,medium,193,1,1.85,1,0,-0.71,0.669,1
lead:00000151,negotiating,0.48,4,window_shopping,medium,170,0,0.51,7,1,0.17,0.507,0
lead:00000152,angry,-0.55,-1,ready_to_buy,detailed,362,1,1.81,3,0,-0.3,0.679,1
lead:00000153,satisfied,0.92,7,closing,medium,220,1,3.13,4,1,0.64,0.624,1
lead:00000154,angry,-0.89,-1,ready_to_buy,medium,220,1,1.75,1,0,-0.8,0.594,0
lead:00000155,urgent,0.67,8,information_seeking,detailed,400,1,0.8,5,1,0.48,0.428,0
lead:00000156,dissatisfied,-0.27,-2,ready_to_buy,long,258,0,1.97,0,0,-0.22,0.656,1
lead:00000157,interested,0.26,5,window_shopping,short,139,0,0.13,1,1,0.3,0.368,0
lead:00000158,negotiating,0.31,3,information_seeking,long,281,1,0.64,0,0,0.1,0.397,0
lead:00000159,interested,0.62,5,evaluating,long,328,1,1.14,0,0,0.33,0.528,1
lead:00000160,interested,0.64,5,comparison_shopping,medium,166,0,0.92,1,1,0.47,0.451,0
lead:00000161,negotiating,0.48,3,information_seeking,detailed,400,1,0.92,1,0,0.37,0.47,1
lead:00000162,angry,-0.66,-1,comparison_shopping,medium,197,1,0.21,0,0,-0.36,0.489,0
lead:00000163,curious,0.02,4,upsell_opportunity,medium,197,0,1.98,3,1,0.44,0.625,1
lead:00000164,angry,-0.92,-4,closing,long,281,1,1.99,0,0,-0.67,0.666,0
lead:00000165,angry,-0.86,-1,closing,medium,224,1,1.88,6,1,-0.59,0.627,1
lead:00000166,satisfied,0.86,4,closing,detailed,335,0,2.84,0,0,0.63,0.698,1
lead:00000167,negotiating,0.7,6,upsell_opportunity,medium,215,0,1.89,6,1,0.38,0.525,1
lead:00000168,satisfied,0.83,4,at_risk,short,117,0,0.79,0,0,0.54,0.476,0
lead:00000169,satisfied,0.75,7,evaluating,medium,204,1,1.61,3,1,0.59,0.572,0
lead:00000170,urgent,0.84,5,ready_to_buy,detailed,383,1,2.81,0,0,0.54,0.576,1
lead:00000171,satisfied,0.9,4,negotiating,detailed,397,1,1.52,0,0,0.66,0.528,1
lead:00000172,negotiating,0.65,5,evaluating,short,150,1,1.32,0,0,0.64,0.458,0
lead:00000173,curious,0.45,6,churning,short,116,0,0.4,7,1,0.39,0.258,0
lead:00000174,satisfied,0.8,5,evaluating,detailed,392,0,1.38,0,0,0.67,0.45,1
lead:00000175,angry,-0.73,-3,at_risk,short,150,0,0.0,0,0,-0.42,0.493,0
lead:00000176,interested,0.29,3,ready_to_buy,long,286,1,2.35,0,0,0.2,0.631,1
lead:00000177,satisfied,0.87,5,ready_to_buy,detailed,366,0,2.96,0,0,0.65,0.619,1
lead:00000178,urgent,0.65,2,window_shopping,short,163,0,0.4,0,0,0.25,0.402,1
lead:00000179,satisfied,0.84,5,upsell_opportunity,short,131,1,2.38,1,0,0.41,0.593,1
lead:00000180,urgent,0.65,6,at_risk,short,106,0,0.72,6,1,0.18,0.484,1
lead:00000181,interested,0.33,4,information_seeking,medium,202,0,0.47,6,1,0.42,0.444,1
lead:00000182,angry,-0.91,-2,closing,detailed,341,1,2.23,0,0,-0.7,0.681,0
lead:00000183,dissatisfied,-0.47,0,closing,medium,192,1,2.19,0,0,-0.04,0.65,1
lead:00000184,angry,-0.87,-3,closing,long,271,0,2.4,0,0,-0.65,0.645,1
lead:00000185,angry,-0.65,-2,window_shopping,short,155,0,0.0,0,0,-0.42,0.351,0
lead:00000186,curious,0.18,3,at_risk,medium,165,1,0.51,1,0,-0.02,0.352,1
lead:00000187,curious,0.12,2,comparison_shopping,long,285,0,0.61,1,0,0.27,0.528,0
lead:00000188,curious,0.03,5,comparison_shopping,medium,214,1,0.63,7,1,-0.01,0.498,0
lead:00000189,satisfied,0.92,5,negotiating,long,276,1,1.43,1,0,0.75,0.644,1
lead:00000190,dissatisfied,-0.48,1,window_shopping,medium,196,0,0.0,3,1,-0.4,0.419,0
lead:00000191,negotiating,0.54,4,closing,long,240,0,2.81,0,0,0.32,0.702,1
lead:00000192,satisfied,0.8,5,window_shopping,medium,194,0,0.25,0,0,0.28,0.438,1
lead:00000193,satisfied,0.73,2,negotiating,long,263,0,1.41,0,0,0.53,0.616,1
lead:00000194,curious,0.26,5,upsell_opportunity,medium,200,1,2.04,1,0,0.3,0.59,1
lead:00000195,curious,0.27,6,upsell_opportunity,medium,206,1,2.08,2,0,0.1,0.537,1
lead:00000196,urgent,0.75,5,information_seeking,medium,215,0,1.07,3,1,0.46,0.406,0
lead:00000197,dissatisfied,-0.23,-2,window_shopping,medium,176,0,0.0,0,0,-0.17,0.352,0
lead:00000198,negotiating,0.37,5,churning,short,160,0,0.4,2,0,0.42,0.35,0
lead:00000199,angry,-0.69,-4,at_risk,short,107,0,0.09,0,0,-0.43,0.421,1
lead:00000200,angry,-0.59,0,comparison_shopping,detailed,356,1,0.29,1,0,-0.45,0.515,0
lead:00000201,angry,-0.78,1,upsell_opportunity,short,121,1,1.33,5,1,-0.37,0.576,0
lead:00000202,satisfied,0.98,7,closing,medium,193,0,3.06,3,1,0.64,0.644,1
lead:00000203,angry,-0.59,-1,upsell_opportunity,medium,185,1,1.19,1,0,-0.47,0.589,0
lead:00000204,urgent,0.88,8,churning,medium,202,0,0.57,6,1,0.68,0.319,1
lead:00000205,interested,0.44,2,at_risk,medium,178,0,0.73,0,0,0.16,0.443,0
lead:00000206,negotiating,0.64,2,at_risk,medium,229,0,0.69,0,0,0.55,0.449,0
lead:00000207,curious,0.2,3,information_seeking,short,115,1,0.57,0,0,-0.01,0.532,0
lead:00000208,interested,0.45,2,negotiating,long,277,1,1.31,0,0,0.56,0.551,1
lead:00000209,curious,0.13,5,at_risk,short,110,0,0.38,6,1,0.08,0.475,0
lead:00000210,interested,0.46,4,upsell_opportunity,short,147,1,2.02,0,0,0.18,0.586,1
lead:00000211,urgent,0.6,6,comparison_shopping,detailed,476,1,0.68,6,1,0.42,0.538,1
lead:00000212,interested,0.56,8,negotiating,long,245,1,1.5,2,1,0.35,0.5,1
lead:00000213,angry,-0.71,-2,comparison_shopping,medium,184,1,0.0,1,0,-0.31,0.498,0
lead:00000214,urgent,0.8,8,evaluating,medium,219,1,1.15,6,1,0.55,0.568,1
lead:00000215,curious,0.04,3,information_seeking,long,280,0,0.8,5,1,0.0,0.523,1
lead:00000216,dissatisfied,-0.49,-2,churning,short,134,0,0.0,0,0,-0.19,0.271,0
lead:00000217,satisfied,0.95,4,negotiating,long,275,1,1.49,0,0,0.47,0.627,1
lead:00000218,angry,-0.7,-2,churning,medium,183,0,0.0,0,0,-0.34,0.396,0
lead:00000219,satisfied,0.87,8,closing,long,258,1,3.1,2,1,0.43,0.709,1
lead:00000220,dissatisfied,-0.31,-2,window_shopping,medium,212,0,0.31,0,0,-0.09,0.429,0
lead:00000221,curious,0.22,6,window_shopping,short,149,0,0.16,2,1,0.05,0.45,1
lead:00000222,satisfied,0.93,3,window_shopping,short,130,0,0.55,0,0,0.82,0.477,0
lead:00000223,curious,0.21,6,information_seeking,short,136,1,0.58,5,1,0.16,0.486,1
lead:00000224,interested,0.25,2,information_seeking,medium,175,1,0.51,0,0,0.29,0.436,1
lead:00000225,urgent,0.77,8,comparison_shopping,short,135,1,0.64,7,1,0.4,0.535,0
lead:00000226,interested,0.51,5,negotiating,detailed,430,1,1.62,0,0,0.47,0.585,1
lead:00000227,dissatisfied,-0.29,2,closing,long,233,1,2.23,1,1,0.03,0.581,1
lead:00000228,negotiating,0.54,3,at_risk,medium,178,0,0.8,0,0,0.39,0.433,0
lead:00000229,interested,0.32,5,upsell_opportunity,short,148,0,2.02,1,1,0.36,0.632,1
lead:00000230,dissatisfied,-0.71,-4,ready_to_buy,medium,186,0,1.83,0,0,-0.59,0.672,1
lead:00000231,angry,-0.71,1,evaluating,medium,176,1,0.46,2,1,-0.56,0.461,1
lead:00000232,curious,0.14,2,churning,medium,171,0,0.41,0,0,0.37,0.298,0
lead:00000233,curious,0.28,5,information_seeking,long,312,0,0.54,7,1,0.08,0.546,0
lead:00000234,curious,0.06,2,negotiating,long,305,1,1.42,0,0,-0.0,0.633,1
lead:00000235,angry,-0.88,0,information_seeking,detailed,396,1,0.0,6,1,-0.94,0.477,1
lead:00000236,interested,0.35,2,window_shopping,medium,179,0,0.59,0,0,0.14,0.455,0
lead:00000237,angry,-0.51,-3,window_shopping,medium,194,0,0.0,1,0,-0.45,0.392,1
lead:00000238,angry,-0.89,-4,churning,medium,182,0,0.0,0,0,-0.53,0.299,0
lead:00000239,angry,-0.52,-3,negotiating,medium,218,1,1.23,0,0,-0.6,0.636,1
lead:00000240,urgent,0.82,6,window_shopping,short,120,1,0.52,1,0,0.48,0.443,0
lead:00000241,negotiating,0.46,4,comparison_shopping,detailed,489,0,0.73,2,1,0.12,0.533,0
lead:00000242,dissatisfied,-0.65,-2,churning,medium,203,0,0.0,0,0,-0.27,0.376,0
lead:00000243,dissatisfied,-0.53,0,information_seeking,short,112,1,0.19,5,1,-0.51,0.402,0
lead:00000244,dissatisfied,-0.29,0,churning,short,103,1,0.0,1,0,-0.2,0.311,0
lead:00000245,satisfied,0.76,4,evaluating,long,230,0,1.02,1,0,0.34,0.46,1
lead:00000246,negotiating,0.36,4,comparison_shopping,detailed,451,1,0.87,2,0,0.15,0.377,1
lead:00000247,angry,-0.98,-5,at_risk,medium,221,0,0.0,0,0,-0.7,0.401,0
lead:00000248,angry,-0.93,-2,window_shopping,short,118,1,0.0,1,0,-0.67,0.444,0
lead:00000249,curious,0.46,5,comparison_shopping,short,159,1,0.79,1,0,0.42,0.435,1
lead:00000250,interested,0.31,4,upsell_opportunity,medium,213,1,1.84,0,0,0.18,0.559,1
lead:00000251,angry,-0.9,-4,churning,medium,207,1,0.0,0,0,-0.75,0.272,0
lead:00000252,negotiating,0.66,4,window_shopping,medium,201,0,0.44,0,0,0.32,0.37,0
lead:00000253,negotiating,0.5,4,ready_to_buy,long,233,0,2.3,0,0,0.13,0.603,1
lead:00000254,interested,0.33,4,upsell_opportunity,short,122,1,1.98,1,1,0.21,0.654,1
lead:00000255,dissatisfied,-0.74,-3,window_shopping,medium,195,0,0.0,0,0,-0.47,0.366,0
lead:00000256,interested,0.48,2,at_risk,short,115,0,0.88,1,0,0.55,0.451,0
lead:00000257,negotiating,0.32,3,at_risk,short,113,0,0.24,1,0,0.45,0.314,0
lead:00000258,satisfied,0.73,3,comparison_shopping,medium,186,1,0.9,0,0,0.58,0.487,0
lead:00000259,angry,-0.53,-1,churning,medium,182,0,0.0,1,1,-0.47,0.323,0
lead:00000260,angry,-0.95,-3,at_risk,short,132,0,0.0,0,0,-0.79,0.418,0
lead:00000261,interested,0.47,4,negotiating,medium,196,1,1.55,0,0,0.25,0.548,1
lead:00000262,curious,0.22,1,information_seeking,medium,223,0,0.62,0,0,0.25,0.408,0
lead:00000263,angry,-0.54,0,negotiating,long,281,0,1.0,1,1,-0.53,0.582,1
lead:00000264,curious,0.37,6,at_risk,medium,225,0,0.6,2,1,0.02,0.438,1
lead:00000265,dissatisfied,-0.65,-2,churning,medium,197,0,0.0,0,0,-0.51,0.277,0
lead:00000266,interested,0.59,6,negotiating,long,257,0,1.27,1,1,0.45,0.523,1
lead:00000267,dissatisfied,-0.65,-1,evaluating,long,245,0,0.76,3,0,-0.61,0.492,0
lead:00000268,interested,0.52,3,churning,short,117,0,0.38,0,0,0.13,0.388,1
lead:00000269,negotiating,0.62,2,closing,detailed,410,0,3.09,0,0,0.42,0.62,1
lead:00000270,satisfied,0.87,5,ready_to_buy,medium,189,0,2.73,0,0,0.57,0.676,1
lead:00000271,angry,-0.63,-3,negotiating,long,260,0,0.83,0,0,-0.37,0.575,1
lead:00000272,interested,0.41,4,window_shopping,short,158,0,0.55,1,0,0.47,0.35,0
lead:00000273,satisfied,0.99,7,evaluating,long,300,0,1.15,3,1,0.9,0.587,1
lead:00000274,angry,-0.81,-3,information_seeking,long,280,0,0.14,0,0,-0.4,0.406,0
lead:00000275,urgent,0.63,6,evaluating,medium,203,1,1.25,1,0,0.3,0.582,0
lead:00000276,interested,0.59,4,ready_to_buy,long,316,1,2.64,0,0,0.18,0.633,1
lead:00000277,dissatisfied,-0.26,-1,window_shopping,medium,176,0,0.22,0,0,0.01,0.496,0
lead:00000278,interested,0.4,2,closing,medium,218,1,2.69,0,0,0.43,0.59,1
lead:00000279,curious,0.39,2,evaluating,detailed,379,0,1.18,0,0,0.12,0.569,1
lead:00000280,curious,0.07,0,ready_to_buy,detailed,415,0,2.33,0,0,-0.06,0.561,1
lead:00000281,urgent,0.76,5,upsell_opportunity,long,299,1,2.38,1,0,0.58,0.565,1
lead:00000282,curious,0.34,4,at_risk,medium,206,0,0.37,1,0,0.48,0.493,0
lead:00000283,negotiating,0.41,4,negotiating,detailed,335,1,1.49,0,0,0.16,0.508,1
