whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,sale_score
2,1,2,2,3,3,2,1,3,2,5,1,2,35,1,0.4446
1,1,2,1,1,1,1,1,1,2,4,1,1,8,1,0.1938
3,2,3,3,3,1,2,1,2,3,2,3,3,30,1,0.5523
1,1,2,1,1,1,1,1,2,3,2,1,2,5,2,0.2529
1,1,1,1,1,1,1,0,0,1,1,1,1,7,1,0.0245
1,2,2,2,2,2,1,1,3,1,3,3,2,24,2,0.5977
3,2,2,3,3,2,2,1,3,2,4,1,3,28,1,0.6695
2,1,2,1,3,3,3,1,2,2,4,4,2,33,1,0.5847
1,1,3,2,1,1,2,1,1,2,5,2,2,5,1,0.3391
2,3,2,3,3,3,3,1,1,2,4,3,3,34,2,0.9177
2,1,3,2,1,1,3,1,3,2,4,1,2,9,2,0.5259
3,2,2,3,3,1,1,1,3,3,2,1,3,34,1,0.3592
1,1,1,1,1,1,1,0,0,1,3,3,1,7,1,0.0988
2,2,2,2,3,3,3,1,1,2,5,3,2,27,1,0.8217
1,3,1,2,2,2,2,1,1,1,3,1,2,18,2,0.7183
1,1,1,1,3,1,1,1,1,1,1,1,1,31,1,0.0675
1,1,1,1,3,3,3,1,1,1,1,4,1,31,1,0.1614
2,2,1,1,2,1,1,1,1,2,4,4,2,20,1,0.6791
3,1,2,2,3,1,1,1,1,3,2,2,2,30,1,0.2932
2,1,3,2,1,3,3,1,3,2,5,2,2,3,1,0.5488
2,1,3,3,1,1,2,1,3,3,2,1,3,6,1,0.1189
1,2,1,1,2,3,3,1,1,1,1,3,1,15,1,0.273
2,3,2,2,2,1,1,1,3,3,2,3,3,13,3,0.9515
3,1,1,2,3,3,3,1,2,2,5,1,2,26,3,0.9402
2,1,1,2,3,1,3,1,3,1,3,3,2,25,3,0.8472
3,2,2,3,3,3,3,1,2,2,5,2,3,26,2,0.9352
1,3,2,2,2,2,2,1,3,1,3,4,2,18,1,0.6961
2,3,2,2,2,2,2,1,1,1,3,4,2,19,1,0.7579
2,3,1,2,2,2,2,1,2,1,3,3,2,24,2,0.8422
2,2,2,2,3,1,1,1,1,2,5,3,2,25,3,0.9725
1,1,2,1,1,1,2,1,2,3,2,2,2,8,2,0.2813
3,3,2,3,3,2,1,1,1,2,4,4,3,25,2,0.9692
3,2,2,3,3,3,3,1,3,3,2,1,3,29,1,0.4721
3,3,2,3,3,2,2,1,1,3,2,3,3,26,2,0.9099
1,1,1,1,2,2,3,1,1,1,3,3,1,17,1,0.2516
2,2,2,2,1,3,3,1,1,2,5,4,2,10,2,0.8937
2,2,2,2,3,2,2,1,2,3,2,4,2,34,3,0.8979
1,1,1,1,2,2,2,0,0,1,3,4,1,20,1,0.1528
3,3,2,3,3,3,1,1,1,3,2,1,3,34,3,0.9239
2,2,2,2,3,3,1,1,3,3,2,2,2,26,1,0.4992
3,2,2,3,3,3,3,1,3,2,4,2,3,28,2,0.895
1,1,1,1,3,3,3,0,0,1,1,1,1,32,1,0.0414
2,3,1,2,2,2,2,1,2,3,2,4,2,15,2,0.889
1,1,2,1,1,3,1,1,2,3,2,2,2,6,1,0.1386
2,3,2,2,2,3,3,1,1,2,5,1,2,16,3,0.979
2,3,2,3,2,2,3,1,1,1,3,3,2,24,1,0.6178
3,2,2,3,3,3,3,1,1,2,5,1,3,28,2,0.9052
1,2,1,1,2,3,3,1,2,1,1,4,1,19,1,0.2952
3,1,3,3,3,1,1,1,1,3,2,3,3,34,1,0.2688
3,2,2,2,3,1,2,1,3,2,4,1,3,26,2,0.8824
2,2,2,2,3,1,2,1,2,2,5,2,2,33,1,0.7017
3,1,3,3,3,1,3,1,3,3,2,1,3,30,1,0.2484
2,2,1,2,2,2,2,1,3,1,1,2,2,23,1,0.1947
1,2,1,1,2,1,1,1,1,1,1,4,1,24,1,0.1986
3,2,2,3,3,3,3,1,3,3,2,2,3,29,1,0.5356
2,3,2,2,3,3,3,1,2,2,5,3,2,26,3,0.991
1,1,3,1,1,1,1,0,0,3,2,2,1,10,1,0.0609
2,3,2,3,2,2,2,1,1,2,4,2,3,13,3,0.9675
3,2,2,2,3,1,3,1,3,2,5,4,2,25,2,0.9684
1,1,2,1,1,1,1,1,2,2,4,2,2,10,1,0.2169
1,2,2,2,1,3,3,1,1,2,5,3,2,3,1,0.6628
3,2,2,3,3,2,2,1,1,2,4,2,3,25,2,0.8883
3,1,3,2,3,1,1,1,3,3,2,3,3,29,1,0.3923
3,1,3,3,3,1,1,1,1,3,2,2,3,34,1,0.2218
1,1,2,1,1,1,1,0,0,2,4,1,1,8,2,0.2629
1,2,2,1,1,3,3,1,2,2,4,2,2,10,2,0.7141
3,2,2,3,3,3,1,1,3,2,4,2,3,25,2,0.9011
1,2,1,1,2,1,2,1,2,1,1,4,1,19,1,0.2607
1,1,1,1,1,2,2,1,1,1,1,2,1,7,1,0.0666
1,1,2,1,1,1,1,1,1,2,4,2,2,8,1,0.2245
2,2,2,2,1,3,3,1,1,2,4,2,2,6,1,0.5659
2,1,2,2,3,3,3,1,1,2,5,2,2,26,1,0.6025
2,2,2,2,1,1,3,1,2,2,4,2,2,10,1,0.4977
3,3,2,3,3,1,3,1,3,3,2,3,3,25,2,0.9209
2,2,2,2,3,3,3,1,2,2,3,1,2,31,3,0.8873
3,1,1,3,3,3,3,1,2,2,5,1,3,28,2,0.788
2,2,2,2,1,3,3,1,2,2,5,1,2,9,2,0.8136
2,1,2,2,3,1,3,1,1,2,5,2,2,29,1,0.5338
1,3,1,2,2,2,2,1,1,1,3,4,2,24,1,0.5792
3,2,2,3,3,3,1,1,1,2,4,2,3,28,2,0.8748
1,1,2,1,1,1,1,1,2,2,4,2,2,5,1,0.2629
2,1,2,2,3,3,3,1,1,2,5,3,2,25,3,0.9465
1,1,2,1,1,3,3,1,1,2,5,3,1,11,2,0.669
2,1,2,2,3,3,3,1,1,2,4,3,2,26,1,0.547
2,1,2,2,1,3,2,1,1,3,2,2,2,11,1,0.1402
1,1,3,1,1,1,1,0,0,2,4,4,1,5,1,0.2496
3,2,2,2,3,3,3,1,1,3,2,4,2,34,1,0.6339
2,2,1,2,3,2,3,1,2,3,2,4,2,25,3,0.9295
2,1,1,2,3,1,1,1,3,2,5,1,2,34,3,0.8476
1,2,2,2,1,1,1,1,2,2,4,3,2,10,1,0.4213
1,1,3,2,1,1,1,1,2,2,4,2,2,9,1,0.208
3,2,2,3,3,3,1,1,2,2,4,3,3,28,3,0.9655
2,2,2,2,3,2,2,1,1,2,4,3,2,31,1,0.6763
2,1,2,2,1,1,3,1,2,2,5,3,2,10,1,0.4546
1,1,1,1,2,1,1,1,1,3,2,1,1,17,1,0.1138
3,2,1,3,3,3,1,1,3,2,4,2,3,32,2,0.8536
2,2,3,3,3,3,3,1,1,3,2,1,3,26,2,0.6497
3,2,2,3,3,2,3,1,2,2,4,1,3,25,3,0.9524
3,3,3,3,3,2,2,1,3,3,2,3,3,28,2,0.9181
1,1,3,2,1,1,1,1,2,2,4,1,2,9,1,0.1692
2,1,2,2,1,1,1,1,1,2,4,2,2,6,2,0.5543
2,2,2,2,1,3,1,1,2,2,5,3,2,2,1,0.764
3,1,2,3,3,3,1,1,1,2,5,3,3,26,3,0.9502
3,1,1,2,3,3,3,1,1,2,4,1,2,28,3,0.8924
1,1,1,1,3,1,1,1,1,3,4,3,2,30,1,0.3748
1,2,2,2,1,1,1,1,3,2,5,3,2,9,2,0.7938
1,1,1,1,2,2,2,0,0,1,3,1,1,17,1,0.0892
2,3,1,2,2,2,2,1,2,1,3,2,2,24,2,0.8054
2,3,2,2,2,2,1,1,1,1,3,3,2,16,2,0.8881
3,2,1,2,3,3,3,1,1,2,5,2,2,26,1,0.8467
1,3,1,2,2,2,2,1,3,1,3,2,2,23,2,0.741
2,2,2,2,3,1,1,1,2,2,4,3,3,36,3,0.9253
1,1,1,1,2,2,2,0,0,1,1,3,1,24,1,0.0418
3,2,2,2,3,3,3,1,2,2,5,1,2,26,2,0.9358
1,1,1,1,2,2,2,0,0,1,3,2,1,17,1,0.1121
1,1,2,1,1,3,1,1,2,2,4,2,2,10,2,0.4803
2,1,1,1,3,1,3,1,1,3,2,1,1,32,1,0.1894
3,3,2,3,3,3,2,1,3,2,5,2,3,28,3,0.9897
3,3,1,2,3,3,3,1,3,2,4,1,3,28,3,0.9816
2,3,2,2,3,1,2,1,3,2,5,3,2,26,2,0.9708
3,3,1,3,3,3,2,1,1,2,5,3,3,25,2,0.9756
1,1,1,1,2,2,2,0,0,1,1,2,1,17,1,0.046
3,2,2,3,3,3,3,1,1,2,5,2,2,35,3,0.9645
2,3,2,2,2,3,3,1,1,2,5,3,2,13,3,0.989
1,2,1,1,2,1,1,1,1,1,1,4,1,24,1,0.1986
1,1,2,1,1,1,1,1,2,3,2,1,1,4,1,0.115
3,2,1,2,3,3,3,1,1,2,4,4,2,25,3,0.9809
2,2,2,2,3,1,1,1,1,2,4,3,2,34,3,0.9328
1,2,1,1,2,3,3,1,1,1,1,4,1,20,1,0.2733
2,2,2,2,3,1,1,1,1,1,3,1,2,34,3,0.825
3,3,2,3,3,3,3,1,3,3,2,2,3,28,2,0.8982
2,1,1,1,3,1,1,1,2,2,5,1,2,34,3,0.8648
2,1,1,2,3,1,1,1,1,2,4,4,2,25,2,0.7794
2,2,2,2,3,1,1,1,3,2,4,3,2,34,3,0.9396
2,3,2,3,2,2,1,1,1,2,4,3,3,13,2,0.9262
1,1,1,1,3,3,3,0,0,1,3,1,1,32,1,0.1016
1,2,1,1,2,1,2,1,2,1,1,3,1,19,1,0.2148
1,2,2,1,2,2,2,1,1,1,1,3,1,19,1,0.2321
2,1,1,1,3,1,1,1,2,3,2,2,2,32,2,0.445
2,3,1,2,2,1,2,1,2,2,5,3,2,13,2,0.9615
1,3,1,2,2,2,2,1,3,1,3,2,2,19,1,0.5443
2,1,3,2,1,1,1,1,2,2,4,1,2,10,2,0.4777
2,2,2,2,3,3,3,1,2,2,4,1,2,28,3,0.9368
3,1,3,3,1,1,3,1,1,3,2,1,3,6,1,0.1684
2,3,1,2,2,2,3,1,3,1,3,2,2,19,2,0.8549
2,1,2,2,3,3,1,1,2,2,4,2,2,25,2,0.7373
1,1,2,1,1,1,1,1,2,3,2,2,1,5,2,0.3185
3,2,2,2,3,3,2,1,3,3,4,1,3,25,2,0.9075
3,1,3,3,3,1,1,1,3,3,2,1,3,32,1,0.2151
3,2,2,2,3,2,2,1,1,2,4,3,2,26,3,0.9739
1,1,1,1,1,1,1,1,1,1,3,4,1,8,1,0.2099
2,1,2,2,1,3,3,1,1,2,4,3,2,8,2,0.6423
3,3,2,3,3,1,1,1,1,2,4,2,3,26,2,0.944
3,1,2,3,3,3,3,1,3,3,2,1,3,34,1,0.2187
1,1,2,1,1,1,1,0,0,2,4,1,1,10,1,0.099
3,2,1,2,3,3,3,1,2,3,2,1,2,26,2,0.7741
1,1,1,1,2,1,2,1,1,1,3,3,1,20,1,0.206
3,2,2,3,3,3,3,1,2,2,5,3,2,34,1,0.8192
2,2,2,2,2,1,1,1,1,2,5,1,2,14,2,0.8512
3,2,2,2,3,2,2,1,2,3,2,2,2,26,3,0.9274
2,2,2,2,3,1,1,1,2,2,5,4,2,34,1,0.7809
1,2,1,1,2,1,1,1,1,1,1,3,1,24,1,0.1612
3,3,3,3,3,2,2,1,3,3,4,1,3,25,3,0.9837
1,2,1,1,2,2,2,0,0,1,3,4,1,18,2,0.5922
2,3,2,2,2,2,1,1,3,3,2,1,3,13,3,0.9264
1,1,2,1,1,1,1,1,2,2,4,2,2,9,1,0.2256
1,1,1,1,3,1,3,1,1,1,3,4,1,29,1,0.329
2,3,3,3,3,2,2,1,1,2,4,1,3,34,3,0.9509
1,1,1,1,1,1,1,1,1,3,2,1,1,8,1,0.0838
1,1,1,1,1,1,1,0,0,1,1,4,1,7,1,0.0512
2,2,1,2,3,2,3,1,3,3,2,1,3,36,1,0.2885
1,1,1,1,2,2,2,1,1,1,1,4,1,19,1,0.1253
1,2,2,2,2,1,1,1,2,2,5,3,2,17,2,0.843
3,1,1,3,3,3,1,1,3,2,4,1,3,25,2,0.722
2,2,2,2,1,3,1,1,3,2,4,4,2,11,1,0.6339
3,3,2,3,3,1,1,1,1,3,2,3,3,28,3,0.9601
2,3,1,2,2,2,2,1,1,1,3,4,2,23,1,0.6999
2,3,3,3,1,1,1,1,1,3,2,2,3,4,2,0.7483
2,1,2,1,1,1,3,1,2,3,2,1,2,6,1,0.1615
3,2,2,3,3,1,1,1,1,3,2,2,3,32,1,0.4164
1,1,2,1,1,1,1,0,0,2,5,2,1,4,2,0.4768
2,2,2,2,2,3,1,1,3,3,2,3,2,20,1,0.4402
2,1,1,1,3,1,3,1,2,2,4,3,2,35,2,0.6988
2,3,2,2,2,2,3,1,2,2,5,3,2,13,2,0.9683
2,1,2,2,1,3,1,1,3,2,4,1,2,11,2,0.4884
2,3,1,2,2,2,2,1,1,1,3,1,2,19,2,0.7961
2,1,2,1,1,1,1,1,2,2,4,2,1,9,2,0.5958
1,1,2,1,1,1,1,0,0,2,4,2,1,8,1,0.1355
2,1,2,2,1,3,3,1,1,3,2,1,2,11,2,0.2791
3,3,2,3,3,2,2,1,2,2,4,3,3,34,3,0.9804
2,1,2,2,1,1,1,1,1,2,5,3,2,10,1,0.4196
1,1,2,1,1,1,1,0,0,2,5,2,1,5,1,0.228
1,2,2,2,1,3,3,1,2,2,5,3,2,7,1,0.6296
1,2,2,2,2,3,2,1,3,1,3,3,2,15,2,0.7228
1,1,2,1,1,3,3,1,2,2,4,2,2,9,2,0.5144
2,3,2,2,2,3,3,1,3,2,4,4,2,22,3,0.9808
1,1,3,2,1,1,1,0,0,2,5,3,2,9,1,0.2075
1,1,2,1,1,1,1,1,1,2,4,2,1,8,1,0.2367
3,3,2,3,3,3,3,1,2,3,2,3,3,34,1,0.7302
2,3,2,3,2,2,1,1,1,1,1,4,2,23,1,0.4345
3,2,3,3,3,3,3,1,1,3,2,3,3,35,1,0.5179
2,2,2,2,1,2,2,1,3,3,2,3,2,1,2,0.7272
1,1,1,1,3,3,3,1,1,2,4,4,1,30,2,0.7335
3,1,2,2,3,3,3,1,1,2,5,3,2,25,1,0.7681
2,2,2,2,1,3,3,1,3,2,4,1,2,1,3,0.9262
3,1,1,2,3,3,3,1,3,2,4,1,2,26,3,0.9114
1,2,2,2,1,1,1,1,3,3,2,3,2,8,1,0.2624
3,2,2,3,3,3,3,1,1,2,4,1,3,34,1,0.5977
3,2,1,3,3,3,3,1,1,2,4,1,3,26,1,0.67
3,2,2,3,3,3,1,1,3,2,4,1,3,28,1,0.6743
3,1,2,2,3,3,3,1,1,3,2,2,2,32,1,0.3172
2,2,2,2,1,2,2,1,1,3,4,1,2,1,2,0.7894
3,2,2,3,3,3,3,1,3,2,4,2,3,26,2,0.9042
2,2,2,2,3,3,3,1,2,2,5,2,2,26,2,0.9211
2,2,1,2,3,3,2,1,1,2,4,4,2,26,3,0.9667
1,2,1,1,2,2,2,0,0,1,1,3,1,24,1,0.0976
1,3,1,2,2,2,2,1,3,1,1,4,2,24,1,0.3705
2,1,2,1,1,1,1,1,2,2,4,3,2,6,1,0.4133
3,2,1,2,3,2,2,1,3,2,4,4,3,28,1,0.8282
1,1,1,1,2,2,2,0,0,1,3,1,1,17,1,0.0892
2,3,2,2,3,3,3,1,3,3,2,1,3,36,2,0.7753
1,1,1,1,2,2,2,0,0,1,1,4,1,19,1,0.0675
3,1,3,3,1,1,1,1,1,3,2,2,3,5,1,0.2014
2,1,2,2,3,3,3,1,2,1,3,1,2,27,1,0.2923
2,2,2,2,3,1,3,1,3,3,2,2,2,30,1,0.4381
3,3,1,2,3,3,3,1,3,3,2,1,3,26,3,0.961
2,3,1,2,2,2,2,1,3,1,1,1,2,18,2,0.6373
1,3,1,2,2,2,3,1,3,1,3,4,2,23,2,0.8324
2,1,2,2,3,3,1,1,3,2,4,1,2,33,2,0.6059
2,2,2,2,1,3,3,1,2,2,4,2,2,9,1,0.5425
3,1,2,3,3,1,3,1,1,3,2,1,3,30,1,0.2119
2,3,2,2,3,3,3,1,3,2,4,2,2,26,3,0.9823
3,2,3,3,3,3,1,1,2,3,2,2,3,28,2,0.7719
2,1,2,2,3,1,3,1,3,2,5,3,2,35,1,0.5498
2,2,2,2,1,3,1,1,2,2,5,1,2,10,3,0.9178
2,3,1,2,3,3,3,1,3,2,5,2,2,34,3,0.982
1,1,2,1,1,1,1,1,2,3,2,3,2,10,1,0.1297
2,2,2,2,3,3,1,1,3,2,4,3,2,30,1,0.7156
1,1,3,2,1,1,1,1,2,2,4,1,2,5,2,0.4223
1,1,1,1,3,3,3,0,0,1,1,4,1,36,1,0.0702
2,3,2,2,2,2,3,1,2,1,1,2,2,23,2,0.6554
2,1,2,2,1,1,2,1,3,3,2,2,2,2,3,0.6854
1,3,1,1,2,2,2,1,2,1,3,1,2,19,2,0.7575
3,2,3,3,3,1,1,1,2,3,2,1,3,34,1,0.3673
1,2,2,2,2,3,3,1,3,2,5,3,2,22,2,0.8455
1,1,2,1,1,1,1,1,1,2,4,2,1,5,2,0.5142
2,2,2,2,1,1,1,1,1,2,5,3,2,10,2,0.8402
3,1,2,2,3,3,3,1,1,2,4,1,2,26,2,0.7743
3,1,3,3,3,1,3,1,2,3,2,3,3,32,1,0.3193
2,3,2,2,2,3,1,1,1,2,4,3,2,16,1,0.8363
2,2,2,2,1,1,3,1,1,2,5,3,2,10,1,0.6614
2,3,2,3,2,2,1,1,2,2,4,1,3,13,1,0.7314
2,2,2,2,1,3,1,1,1,2,5,3,2,10,2,0.8568
1,1,1,1,3,1,3,1,1,1,1,4,1,31,1,0.1447
2,1,2,2,3,3,3,1,3,2,5,3,2,25,3,0.952
2,1,2,2,3,1,1,1,3,2,5,3,2,25,2,0.845
2,1,1,1,3,3,3,1,1,2,5,4,1,26,3,0.9626
2,2,2,2,1,2,2,1,2,3,2,1,2,11,2,0.4774
1,1,2,1,1,1,1,1,1,2,4,2,2,8,1,0.2245
1,3,2,2,2,2,2,1,3,1,3,1,2,24,2,0.6982
2,2,2,2,3,1,1,1,2,2,5,1,2,32,1,0.6478
2,2,1,2,3,3,3,1,1,3,2,2,2,28,2,0.7008
1,1,2,1,1,1,1,1,2,2,4,4,1,10,1,0.3303
1,1,3,2,1,1,1,1,1,2,4,2,2,9,1,0.1987
2,3,1,2,2,2,1,1,1,2,5,3,2,19,2,0.9469
1,1,1,1,1,1,1,0,0,1,1,3,1,8,1,0.0382
2,1,2,2,3,3,3,1,1,2,4,3,2,35,1,0.4337
2,3,2,2,3,2,1,1,3,3,2,1,3,25,1,0.6385
2,1,2,1,1,3,1,1,2,3,2,1,2,11,2,0.3141
2,2,2,2,3,1,1,1,2,1,3,3,2,26,3,0.9256
2,3,2,3,3,2,2,1,2,3,2,3,3,25,3,0.9534
2,1,3,2,1,3,3,1,1,3,2,2,2,5,1,0.2018
1,1,1,1,2,2,2,0,0,1,3,1,1,19,1,0.0813
1,1,1,1,2,2,2,0,0,1,3,1,1,19,1,0.0813
2,1,2,2,1,3,3,1,2,3,2,4,2,6,1,0.2784
1,1,1,1,3,3,3,0,0,1,3,1,1,31,1,0.1063
1,3,2,2,2,2,3,1,2,1,1,3,2,24,2,0.5914
1,1,1,1,2,2,2,0,0,1,1,3,1,24,1,0.0418
3,2,3,3,3,1,1,1,2,3,2,2,3,32,1,0.453
1,1,1,1,1,3,3,1,1,1,1,2,1,5,1,0.0808
2,1,2,1,3,1,1,1,2,2,4,3,2,33,1,0.4684
3,1,2,2,3,3,3,1,3,2,5,1,2,26,2,0.8616
3,2,1,2,3,3,3,1,1,2,5,1,2,25,3,0.9748
1,2,3,2,1,3,3,1,1,2,5,1,2,10,2,0.7274
2,1,2,2,1,1,1,1,3,2,4,4,2,12,3,0.8338
2,2,2,2,3,1,1,1,3,1,3,3,2,34,3,0.8978
1,2,1,1,2,2,1,1,1,1,1,4,1,24,1,0.2091
1,1,2,1,1,1,1,0,0,2,5,2,1,11,2,0.3901
1,1,3,2,1,1,2,1,3,2,4,2,2,8,1,0.2338
1,3,2,2,2,2,2,1,3,1,3,1,2,24,2,0.6982
3,3,1,3,3,3,1,1,2,2,5,1,3,35,3,0.9774
3,2,2,3,3,3,3,1,3,2,4,1,3,26,2,0.8798
3,2,2,3,3,2,2,1,1,3,2,2,3,25,3,0.9068
1,1,1,1,3,3,3,0,0,1,1,4,1,31,1,0.0887
3,2,2,3,3,3,3,1,3,2,4,1,3,34,2,0.83
3,1,1,2,3,3,1,1,2,2,4,1,2,25,2,0.7618
1,2,1,1,2,2,2,1,1,1,1,4,1,17,1,0.2822
1,2,2,2,1,1,3,1,1,2,4,3,2,4,3,0.8972
2,2,3,2,1,3,1,1,1,2,4,2,2,10,1,0.5173
1,1,3,2,1,1,1,1,1,2,5,2,2,9,2,0.5407
2,3,2,2,2,1,1,1,3,1,3,1,2,22,3,0.9157
1,1,3,2,1,3,1,1,2,2,4,2,2,8,2,0.4795
3,1,3,3,1,3,2,1,2,3,2,1,3,8,1,0.1744
1,1,1,1,3,3,3,0,0,1,1,2,1,32,1,0.0527
2,3,2,2,3,1,1,1,2,2,5,4,2,26,3,0.9913
2,2,1,2,3,3,1,1,3,2,5,3,2,26,2,0.9303
1,1,2,1,1,1,1,0,0,2,4,2,1,10,1,0.1241
3,2,2,3,3,3,1,1,2,3,2,3,3,25,2,0.8224
2,3,2,2,2,3,3,1,3,2,4,3,2,14,2,0.9529
1,1,1,1,3,3,3,0,0,1,3,3,1,29,1,0.1795
