lead_id,product_category,product_type,product_complexity,product_base_price,product_tax_rate,price_tier,capacity_tons,capacity_bin,product_x_capacity,total_price_with_tax,capacity_price_ratio,quotation_sent,is_enterprise_deal,industry_close_rate,pipeline_stage,is_repeat_customer,sale_closed,days_in_pipeline,pipeline_velocity
lead:00000027,hybrid,dual_fuel,5,174000,18,high,24,21-50t,dual_fuel_21-50t,205320,0.000117,1,1,0.518,Follow Up / Negot.,1,1,27,0.1441
lead:00000028,cooler,split,3,63000,12,mid,2,1-5t,split_1-5t,70560,2.8e-05,1,0,0.65,Contract Sent,1,1,3,1.6585
lead:00000029,hybrid,dual_fuel,5,208500,18,high,4,1-5t,dual_fuel_1-5t,246030,1.6e-05,1,0,0.541,Follow Up / Negot.,0,0,35,0.1213
lead:00000030,hybrid,vrf,5,230000,18,high,17,11-20t,vrf_11-20t,271400,6.3e-05,1,1,0.545,Quotation,0,1,9,0.3936
lead:00000031,cooler,evaporative,2,24000,12,low,4,1-5t,evaporative_1-5t,26880,0.000149,0,1,0.564,Follow Up / Negot.,1,1,28,0.1525
lead:00000032,hybrid,inverter,2,73000,18,mid,37,21-50t,inverter_21-50t,86140,0.00043,1,0,0.586,Closed,0,1,1,5.9995
lead:00000033,hybrid,premium,4,134000,18,mid,15,11-20t,premium_11-20t,158120,9.5e-05,1,0,0.525,Proposal Sent,0,1,23,0.1517
lead:00000034,cooler,floor_stand,2,33000,12,low,9,6-10t,floor_stand_6-10t,36960,0.000244,0,0,0.627,On Hold,0,0,42,0.0434
lead:00000035,chiller,air_cooled,3,201000,18,high,32,21-50t,air_cooled_21-50t,237180,0.000135,0,1,0.492,Manual Follow Up,1,1,18,0.1352
lead:00000036,chiller,centrifugal,4,492000,18,enterprise,7,6-10t,centrifugal_6-10t,580560,1.2e-05,1,1,0.516,Manual Follow Up,1,1,25,0.1038
lead:00000037,hybrid,dual_fuel,5,156500,18,high,8,6-10t,dual_fuel_6-10t,184670,4.3e-05,0,1,0.599,Demo Scheduled,0,1,7,0.4275
lead:00000038,chiller,absorption,4,514500,18,enterprise,7,6-10t,absorption_6-10t,607110,1.2e-05,1,1,0.474,Contract Sent,1,1,15,0.325
lead:00000039,hybrid,premium,4,132500,18,mid,17,11-20t,premium_11-20t,156350,0.000109,1,1,0.583,Proposal Sent,1,1,17,0.2129
lead:00000040,chiller,rooftop,3,308000,18,high,19,11-20t,rooftop_11-20t,363440,5.2e-05,0,0,0.501,Lost,0,0,39,0.0161
lead:00000041,cooler,economy,2,15000,12,low,1,1-5t,economy_1-5t,16800,6e-05,1,0,0.664,Quotation,1,1,22,0.1684
lead:00000042,chiller,absorption,5,633000,18,enterprise,34,21-50t,absorption_21-50t,746940,4.6e-05,0,1,0.512,Sales Qualified,0,0,9,0.213
lead:00000043,chiller,absorption,4,464000,18,enterprise,20,11-20t,absorption_11-20t,547520,3.7e-05,1,1,0.523,Demo Scheduled,1,0,66,0.0364
lead:00000044,chiller,scroll,3,181000,18,high,46,21-50t,scroll_21-50t,213580,0.000215,1,0,0.451,Proposal Sent,1,1,23,0.1557
lead:00000045,hybrid,dual_fuel,4,159000,18,high,36,21-50t,dual_fuel_21-50t,187620,0.000192,1,0,0.583,Demo Scheduled,0,0,10,0.2917
lead:00000046,hybrid,heat_pump,4,110500,18,mid,8,6-10t,heat_pump_6-10t,130390,6.1e-05,1,0,0.639,Lost,0,1,21,0.0403
lead:00000047,hybrid,combo,2,97000,18,mid,19,11-20t,combo_11-20t,114460,0.000166,1,0,0.637,Proposal Sent,0,1,17,0.2024
lead:00000048,chiller,centrifugal,5,556500,18,enterprise,19,11-20t,centrifugal_11-20t,656670,2.9e-05,1,1,0.484,Quotation,1,0,13,0.268
lead:00000049,hybrid,dual_fuel,5,193500,18,high,20,11-20t,dual_fuel_11-20t,228330,8.8e-05,1,1,0.527,Follow Up / Negot.,0,1,111,0.0452
lead:00000050,hybrid,heat_pump,4,122000,18,mid,9,6-10t,heat_pump_6-10t,143960,6.3e-05,1,1,0.611,Quotation,1,1,18,0.1923
lead:00000051,hybrid,vrf,3,141000,18,mid,6,6-10t,vrf_6-10t,166380,3.6e-05,1,1,0.554,Contract Sent,0,1,5,0.9996
lead:00000052,hybrid,heat_pump,3,124000,18,mid,6,6-10t,heat_pump_6-10t,146320,4.1e-05,1,0,0.521,Manual Follow Up,1,1,10,0.2406
lead:00000053,hybrid,vrf,3,196500,18,high,15,11-20t,vrf_11-20t,231870,6.5e-05,1,0,0.488,Sales Follow Up,0,0,5,0.4991
lead:00000054,hybrid,solar_hybrid,4,198000,18,high,12,11-20t,solar_hybrid_11-20t,233640,5.1e-05,1,0,0.454,Quotation,1,1,101,0.028
lead:00000055,chiller,screw,4,549000,18,enterprise,28,21-50t,screw_21-50t,647820,4.3e-05,1,1,0.401,Lost,0,0,126,0.01
lead:00000056,hybrid,combo,4,80000,18,mid,9,6-10t,combo_6-10t,94400,9.5e-05,1,1,0.522,Quotation,0,1,9,0.3964
lead:00000057,chiller,industrial,5,430500,18,enterprise,41,21-50t,industrial_21-50t,507990,8.1e-05,0,1,0.402,Lost,0,0,16,0.0607
lead:00000058,cooler,cassette,3,57500,12,mid,12,11-20t,cassette_11-20t,64400,0.000186,0,0,0.581,New Lead,0,0,5,0.1976
lead:00000059,cooler,floor_stand,2,39000,12,low,3,1-5t,floor_stand_1-5t,43680,6.9e-05,1,0,0.662,Quotation,0,1,18,0.192
lead:00000060,cooler,economy,1,20000,12,low,4,1-5t,economy_1-5t,22400,0.000179,0,0,0.607,Sales Follow Up,0,0,10,0.2433
lead:00000061,chiller,centrifugal,4,433500,18,enterprise,23,21-50t,centrifugal_21-50t,511530,4.5e-05,1,1,0.47,Lost,0,0,35,0.0282
lead:00000062,hybrid,premium,3,118500,18,mid,7,6-10t,premium_6-10t,139830,5e-05,0,0,0.644,Proposal Sent,0,1,22,0.1552
lead:00000063,hybrid,dual_fuel,4,172000,18,high,3,1-5t,dual_fuel_1-5t,202960,1.5e-05,0,0,0.494,Quotation,1,0,21,0.1648
lead:00000064,chiller,screw,4,334000,18,high,87,51-100t,screw_51-100t,394120,0.000221,1,1,0.487,Closed,0,1,0,6.0
lead:00000065,hybrid,inverter,3,78500,18,mid,2,1-5t,inverter_1-5t,92630,2.2e-05,1,0,0.584,Closed,1,1,1,5.9987
lead:00000066,chiller,industrial,5,453500,18,enterprise,10,6-10t,industrial_6-10t,535130,1.9e-05,1,1,0.538,Quotation,0,0,8,0.4368
lead:00000067,chiller,glycol,3,164500,18,high,45,21-50t,glycol_21-50t,194110,0.000232,0,1,0.501,Follow Up / Negot.,1,1,18,0.2247
lead:00000068,hybrid,premium,4,135000,18,mid,18,11-20t,premium_11-20t,159300,0.000113,1,0,0.537,Quotation,1,1,17,0.2037
lead:00000069,chiller,glycol,3,180500,18,high,40,21-50t,glycol_21-50t,212990,0.000188,1,1,0.577,Follow Up / Negot.,0,0,25,0.1678
lead:00000070,chiller,glycol,3,167000,18,high,66,51-100t,glycol_51-100t,197060,0.000335,0,0,0.526,On Hold,0,0,71,0.0241
lead:00000071,cooler,cassette,3,69500,12,mid,6,6-10t,cassette_6-10t,77840,7.7e-05,1,0,0.621,New Lead,0,0,5,0.2034
lead:00000072,chiller,air_cooled,4,196500,18,high,84,51-100t,air_cooled_51-100t,231870,0.000362,0,1,0.488,Follow Up / Negot.,0,0,18,0.2317
lead:00000073,cooler,floor_stand,2,34000,12,low,10,6-10t,floor_stand_6-10t,38080,0.000263,1,0,0.623,Follow Up / Negot.,0,1,21,0.1854
lead:00000074,hybrid,inverter,3,66000,18,mid,18,11-20t,inverter_11-20t,77880,0.000231,1,0,0.558,Proposal Sent,0,0,16,0.2169
lead:00000075,chiller,absorption,4,478000,18,enterprise,11,11-20t,absorption_11-20t,564040,2e-05,1,1,0.459,Proposal Sent,0,1,19,0.1773
lead:00000076,cooler,portable,1,35000,12,low,5,1-5t,portable_1-5t,39200,0.000128,1,0,0.675,Follow Up / Negot.,0,1,13,0.3062
lead:00000077,hybrid,inverter,2,119500,18,mid,21,21-50t,inverter_21-50t,141010,0.000149,0,1,0.575,Proposal Sent,0,0,20,0.1784
lead:00000078,hybrid,combo,4,95000,18,mid,7,6-10t,combo_6-10t,112100,6.2e-05,1,0,0.532,Proposal Sent,0,1,25,0.1407
lead:00000079,cooler,portable,1,32500,12,low,4,1-5t,portable_1-5t,36400,0.00011,1,0,0.673,Closed,0,1,2,2.9919
lead:00000080,hybrid,vrf,4,146000,18,mid,16,11-20t,vrf_11-20t,172280,9.3e-05,1,0,0.535,Quotation,0,1,25,0.1335
lead:00000081,chiller,industrial,4,496500,18,enterprise,17,11-20t,industrial_11-20t,585870,2.9e-05,0,1,0.433,Follow Up / Negot.,0,0,22,0.1865
lead:00000082,cooler,economy,2,22000,12,low,1,1-5t,economy_1-5t,24640,4.1e-05,1,0,0.674,Sales Follow Up,0,1,10,0.2454
lead:00000083,cooler,modular,3,74500,12,mid,1,1-5t,modular_1-5t,83440,1.2e-05,0,0,0.581,Lost,0,0,53,0.0101
lead:00000084,hybrid,solar_hybrid,4,163000,18,high,2,1-5t,solar_hybrid_1-5t,192340,1e-05,1,0,0.498,Sales Qualified,0,0,6,0.3305
lead:00000085,chiller,rooftop,3,255500,18,high,10,6-10t,rooftop_6-10t,301490,3.3e-05,1,0,0.563,New Lead,1,0,0,1.0
lead:00000086,cooler,portable,1,19000,12,low,14,11-20t,portable_11-20t,21280,0.000658,1,0,0.624,Closed,0,1,1,5.998
lead:00000087,cooler,split,3,69500,12,mid,6,6-10t,split_6-10t,77840,7.7e-05,1,0,0.64,Contract Sent,1,1,8,0.6228
lead:00000088,chiller,industrial,4,404500,18,enterprise,32,21-50t,industrial_21-50t,477310,6.7e-05,1,1,0.458,On Hold,0,0,42,0.037
lead:00000089,cooler,economy,1,24000,12,low,10,6-10t,economy_6-10t,26880,0.000372,0,0,0.556,Sales Follow Up,0,0,5,0.5013
lead:00000090,hybrid,inverter,2,90500,18,mid,3,1-5t,inverter_1-5t,106790,2.8e-05,1,0,0.541,Quotation,0,0,26,0.1345
lead:00000091,chiller,scroll,4,206500,18,high,49,21-50t,scroll_21-50t,243670,0.000201,1,1,0.535,Proposal Sent,1,1,23,0.1507
lead:00000092,hybrid,solar_hybrid,5,186500,18,high,10,6-10t,solar_hybrid_6-10t,220070,4.5e-05,1,1,0.554,Closed,0,1,2,2.9975
lead:00000093,chiller,industrial,4,481000,18,enterprise,7,6-10t,industrial_6-10t,567580,1.2e-05,1,1,0.521,On Hold,0,0,49,0.0336
lead:00000094,cooler,portable,1,34500,12,low,2,1-5t,portable_1-5t,38640,5.2e-05,1,0,0.685,Sales Follow Up,0,1,13,0.201
lead:00000095,hybrid,heat_pump,4,101000,18,mid,6,6-10t,heat_pump_6-10t,119180,5e-05,1,0,0.56,New Lead,0,1,5,0.1957
lead:00000096,chiller,glycol,4,233000,18,high,81,51-100t,glycol_51-100t,274940,0.000295,0,0,0.532,Demo Scheduled,1,1,20,0.1541
lead:00000097,hybrid,heat_pump,4,103500,18,mid,2,1-5t,heat_pump_1-5t,122130,1.6e-05,0,0,0.525,Sales Follow Up,0,0,10,0.2595
lead:00000098,cooler,portable,1,20500,12,low,3,1-5t,portable_1-5t,22960,0.000131,1,1,0.687,Quotation,1,1,13,0.2633
lead:00000099,cooler,portable,1,27000,12,low,1,1-5t,portable_1-5t,30240,3.3e-05,0,0,0.631,Demo Scheduled,0,1,6,0.4964
lead:00000100,cooler,split,3,61000,12,mid,4,1-5t,split_1-5t,68320,5.9e-05,0,0,0.577,New Lead,0,0,5,0.1997
lead:00000101,cooler,cassette,2,49500,12,low,9,6-10t,cassette_6-10t,55440,0.000162,1,0,0.673,Follow Up / Negot.,0,1,11,0.3693
lead:00000102,hybrid,heat_pump,3,114500,18,mid,18,11-20t,heat_pump_11-20t,135110,0.000133,1,0,0.616,Demo Scheduled,0,1,15,0.1943
lead:00000103,hybrid,dual_fuel,4,200000,18,high,42,21-50t,dual_fuel_21-50t,236000,0.000178,1,0,0.529,Proposal Sent,0,1,15,0.2385
lead:00000104,chiller,industrial,5,261500,18,high,13,11-20t,industrial_11-20t,308570,4.2e-05,1,1,0.522,Quotation,1,1,13,0.2755
lead:00000105,hybrid,premium,4,114500,18,mid,6,6-10t,premium_6-10t,135110,4.4e-05,1,0,0.537,Proposal Sent,1,1,16,0.2148
lead:00000106,chiller,centrifugal,4,514500,18,enterprise,21,21-50t,centrifugal_21-50t,607110,3.5e-05,1,1,0.469,Proposal Sent,0,1,28,0.1153
lead:00000107,hybrid,inverter,3,95500,18,mid,20,11-20t,inverter_11-20t,112690,0.000177,0,0,0.636,Quotation,0,0,10,0.348
lead:00000108,chiller,glycol,4,205500,18,high,13,11-20t,glycol_11-20t,242490,5.4e-05,1,1,0.575,Proposal Sent,1,1,10,0.3435
lead:00000109,hybrid,combo,4,88000,18,mid,17,11-20t,combo_11-20t,103840,0.000164,0,0,0.576,Proposal Sent,0,0,24,0.1513
lead:00000110,hybrid,premium,3,146000,18,mid,38,21-50t,premium_21-50t,172280,0.000221,1,1,0.571,Proposal Sent,1,1,27,0.1271
lead:00000111,cooler,economy,2,28000,12,low,9,6-10t,economy_6-10t,31360,0.000287,0,0,0.659,Sales Qualified,0,0,9,0.2142
lead:00000112,chiller,centrifugal,4,458000,18,enterprise,27,21-50t,centrifugal_21-50t,540440,5e-05,1,1,0.542,Closed,0,1,3,1.9945
lead:00000113,cooler,cassette,3,63000,12,mid,6,6-10t,cassette_6-10t,70560,8.5e-05,1,0,0.633,Follow Up / Negot.,0,1,15,0.269
lead:00000114,hybrid,combo,2,113500,18,mid,6,6-10t,combo_6-10t,133930,4.5e-05,1,0,0.535,Lost,0,0,55,0.0182
lead:00000115,hybrid,combo,4,125000,18,mid,4,1-5t,combo_1-5t,147500,2.7e-05,0,0,0.614,Sales Follow Up,0,0,16,0.1659
lead:00000116,chiller,rooftop,3,266000,18,high,17,11-20t,rooftop_11-20t,313880,5.4e-05,1,0,0.495,Sales Qualified,0,0,11,0.1786
lead:00000117,cooler,modular,2,52500,12,mid,7,6-10t,modular_6-10t,58800,0.000119,1,0,0.524,Follow Up / Negot.,1,1,31,0.12
lead:00000118,hybrid,dual_fuel,4,199000,18,high,5,1-5t,dual_fuel_1-5t,234820,2.1e-05,1,0,0.594,Quotation,0,1,18,0.1993
lead:00000119,cooler,floor_stand,2,26000,12,low,7,6-10t,floor_stand_6-10t,29120,0.00024,1,0,0.685,Follow Up / Negot.,0,1,27,0.1415
lead:00000120,chiller,scroll,4,188500,18,high,10,6-10t,scroll_6-10t,222430,4.5e-05,1,1,0.582,Sales Qualified,0,1,6,0.3376
lead:00000121,chiller,absorption,5,497000,18,enterprise,18,11-20t,absorption_11-20t,586460,3.1e-05,0,1,0.528,On Hold,0,0,82,0.0144
lead:00000122,hybrid,combo,2,129000,18,mid,8,6-10t,combo_6-10t,152220,5.3e-05,1,0,0.61,Quotation,0,1,22,0.1506
lead:00000123,cooler,floor_stand,2,26500,12,low,8,6-10t,floor_stand_6-10t,29680,0.00027,1,0,0.625,Quotation,0,1,9,0.3887
lead:00000124,chiller,air_cooled,4,213500,18,high,16,11-20t,air_cooled_11-20t,251930,6.4e-05,1,0,0.477,Closed,0,1,1,5.99
lead:00000125,chiller,glycol,3,171500,18,high,8,6-10t,glycol_6-10t,202370,4e-05,1,0,0.512,Follow Up / Negot.,1,1,18,0.2168
lead:00000126,cooler,floor_stand,1,40000,12,low,4,1-5t,floor_stand_1-5t,44800,8.9e-05,1,1,0.699,Sales Follow Up,1,1,6,0.4239
lead:00000127,hybrid,combo,3,83500,18,mid,7,6-10t,combo_6-10t,98530,7.1e-05,0,0,0.562,On Hold,0,0,65,0.0232
lead:00000128,chiller,absorption,5,498500,18,enterprise,7,6-10t,absorption_6-10t,588230,1.2e-05,1,1,0.483,Follow Up / Negot.,0,1,14,0.2793
lead:00000129,cooler,modular,2,77500,12,mid,3,1-5t,modular_1-5t,86800,3.5e-05,1,0,0.529,Quotation,1,1,18,0.2023
lead:00000130,hybrid,vrf,5,139500,18,mid,5,1-5t,vrf_1-5t,164610,3e-05,0,0,0.582,Proposal Sent,0,1,23,0.1467
lead:00000131,chiller,rooftop,3,324500,18,high,28,21-50t,rooftop_21-50t,382910,7.3e-05,1,1,0.541,Contract Sent,0,1,10,0.4909
lead:00000132,hybrid,heat_pump,3,147500,18,mid,34,21-50t,heat_pump_21-50t,174050,0.000195,0,0,0.522,On Hold,1,0,81,0.0266
lead:00000133,cooler,economy,2,16000,12,low,9,6-10t,economy_6-10t,17920,0.000502,1,0,0.659,Closed,0,1,0,6.0
lead:00000134,chiller,absorption,5,358000,18,high,7,6-10t,absorption_6-10t,422440,1.7e-05,0,1,0.579,Quotation,0,0,23,0.147
lead:00000135,hybrid,dual_fuel,4,191500,18,high,5,1-5t,dual_fuel_1-5t,225970,2.2e-05,1,1,0.563,Proposal Sent,0,0,12,0.2986
lead:00000136,chiller,industrial,4,290500,18,high,9,6-10t,industrial_6-10t,342790,2.6e-05,0,0,0.457,Sales Qualified,0,0,8,0.2488
lead:00000137,hybrid,solar_hybrid,4,242000,18,high,9,6-10t,solar_hybrid_6-10t,285560,3.2e-05,1,0,0.509,Quotation,1,1,13,0.2668
lead:00000138,cooler,evaporative,2,17500,12,low,4,1-5t,evaporative_1-5t,19600,0.000204,1,0,0.593,Closed,0,1,0,6.0
lead:00000139,chiller,industrial,4,344500,18,high,16,11-20t,industrial_11-20t,406510,3.9e-05,1,1,0.499,Manual Follow Up,0,1,10,0.2596
lead:00000140,chiller,screw,5,374500,18,high,11,11-20t,screw_11-20t,441910,2.5e-05,1,0,0.526,Quotation,0,1,10,0.349
lead:00000141,cooler,economy,2,29500,12,low,4,1-5t,economy_1-5t,33040,0.000121,0,0,0.651,New Lead,0,0,1,0.9971
lead:00000142,chiller,absorption,4,648500,18,enterprise,28,21-50t,absorption_21-50t,765230,3.7e-05,1,1,0.436,On Hold,0,0,35,0.0355
lead:00000143,chiller,rooftop,3,371500,18,high,75,51-100t,rooftop_51-100t,438370,0.000171,0,0,0.452,On Hold,0,0,44,0.0294
lead:00000144,hybrid,dual_fuel,5,142500,18,mid,7,6-10t,dual_fuel_6-10t,168150,4.2e-05,1,0,0.523,Closed,0,0,0,6.0
lead:00000145,chiller,glycol,4,203000,18,high,11,11-20t,glycol_11-20t,239540,4.6e-05,0,0,0.571,Quotation,0,0,25,0.1486
lead:00000146,cooler,economy,1,25000,12,low,4,1-5t,economy_1-5t,28000,0.000143,0,0,0.612,Lost,0,0,50,0.019
lead:00000147,cooler,portable,1,21000,12,low,7,6-10t,portable_6-10t,23520,0.000298,0,0,0.625,Sales Follow Up,0,0,5,0.5013
lead:00000148,chiller,screw,4,302000,18,high,90,51-100t,screw_51-100t,356360,0.000253,1,1,0.538,On Hold,1,0,32,0.0555
lead:00000149,chiller,absorption,4,559000,18,enterprise,21,21-50t,absorption_21-50t,659620,3.2e-05,1,1,0.541,Closed,1,1,1,5.9965
lead:00000150,cooler,split,3,61000,12,mid,12,11-20t,split_11-20t,68320,0.000176,0,0,0.535,Sales Follow Up,0,0,14,0.1749
lead:00000151,cooler,modular,3,64500,12,mid,5,1-5t,modular_1-5t,72240,6.9e-05,1,0,0.605,New Lead,1,0,3,0.3423
lead:00000152,chiller,glycol,4,187000,18,high,15,11-20t,glycol_11-20t,220660,6.8e-05,1,1,0.489,Follow Up / Negot.,0,1,17,0.2331
lead:00000153,cooler,split,2,57000,12,mid,13,11-20t,split_11-20t,63840,0.000204,1,0,0.648,Quotation,0,1,20,0.1669
lead:00000154,chiller,screw,4,502500,18,enterprise,80,51-100t,screw_51-100t,592950,0.000135,1,1,0.483,Quotation,0,1,22,0.1663
lead:00000155,chiller,scroll,4,278500,18,high,17,11-20t,scroll_11-20t,328630,5.2e-05,1,1,0.556,Contract Sent,0,1,4,1.2462
lead:00000156,chiller,screw,5,301500,18,high,50,21-50t,screw_21-50t,355770,0.000141,1,1,0.528,Contract Sent,0,0,15,0.3353
lead:00000157,cooler,cassette,2,48000,12,low,1,1-5t,cassette_1-5t,53760,1.9e-05,1,0,0.56,Closed,0,0,1,5.9916
lead:00000158,hybrid,inverter,2,96500,18,mid,10,6-10t,inverter_6-10t,113870,8.8e-05,1,0,0.633,Closed,0,1,2,3.0014
lead:00000159,cooler,cassette,3,51500,12,mid,6,6-10t,cassette_6-10t,57680,0.000104,1,0,0.631,Follow Up / Negot.,0,1,11,0.3646
lead:00000160,hybrid,inverter,3,119500,18,mid,3,1-5t,inverter_1-5t,141010,2.1e-05,0,1,0.554,Sales Follow Up,0,0,18,0.1362
lead:00000161,cooler,modular,3,54000,12,mid,1,1-5t,modular_1-5t,60480,1.7e-05,1,0,0.63,Contract Sent,1,1,4,1.2402
lead:00000162,chiller,absorption,4,467500,18,enterprise,9,6-10t,absorption_6-10t,551650,1.6e-05,1,1,0.549,Lost,0,0,59,0.01
lead:00000163,chiller,air_cooled,3,221000,18,high,47,21-50t,air_cooled_21-50t,260780,0.00018,1,0,0.552,Lost,0,1,56,0.0186
lead:00000164,hybrid,heat_pump,4,99500,18,mid,23,21-50t,heat_pump_21-50t,117410,0.000196,1,0,0.614,Lost,1,0,19,0.0565
lead:00000165,cooler,floor_stand,2,31500,12,low,5,1-5t,floor_stand_1-5t,35280,0.000142,1,0,0.7,Quotation,0,1,24,0.1399
lead:00000166,chiller,screw,4,413000,18,enterprise,43,21-50t,screw_21-50t,487340,8.8e-05,0,1,0.481,Lost,0,0,41,0.0164
lead:00000167,hybrid,dual_fuel,4,147000,18,mid,6,6-10t,dual_fuel_6-10t,173460,3.5e-05,1,0,0.578,Quotation,0,1,13,0.2737
lead:00000168,cooler,evaporative,1,15000,12,low,5,1-5t,evaporative_1-5t,16800,0.000298,1,0,0.672,Closed,1,1,3,2.0061
lead:00000169,chiller,glycol,3,169000,18,high,53,51-100t,glycol_51-100t,199420,0.000266,1,0,0.525,New Lead,0,1,1,1.009
lead:00000170,cooler,split,2,59000,12,mid,5,1-5t,split_1-5t,66080,7.6e-05,1,0,0.55,Follow Up / Negot.,0,1,18,0.2168
lead:00000171,chiller,air_cooled,4,265000,18,high,32,21-50t,air_cooled_21-50t,312700,0.000102,1,0,0.545,Proposal Sent,1,1,28,0.1278
lead:00000172,chiller,absorption,4,623500,18,enterprise,14,11-20t,absorption_11-20t,735730,1.9e-05,1,1,0.479,Contract Sent,0,1,3,1.6761
lead:00000173,chiller,industrial,4,360000,18,high,43,21-50t,industrial_21-50t,424800,0.000101,1,0,0.52,Closed,1,1,3,2.0036
lead:00000174,hybrid,dual_fuel,4,178000,18,high,1,1-5t,dual_fuel_1-5t,210040,5e-06,1,0,0.574,Lost,0,0,32,0.0352
lead:00000175,chiller,absorption,5,450500,18,enterprise,10,6-10t,absorption_6-10t,531590,1.9e-05,1,1,0.468,Follow Up / Negot.,1,1,18,0.2276
lead:00000176,chiller,air_cooled,4,278500,18,high,7,6-10t,air_cooled_6-10t,328630,2.1e-05,1,0,0.563,Sales Qualified,0,0,72,0.0301
lead:00000177,hybrid,premium,3,173500,18,high,10,6-10t,premium_6-10t,204730,4.9e-05,1,0,0.573,Sales Qualified,1,1,4,0.5075
lead:00000178,chiller,centrifugal,4,494000,18,enterprise,31,21-50t,centrifugal_21-50t,582920,5.3e-05,1,1,0.495,Lost,0,0,30,0.0319
