has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,industry_close_rate,historical_avg_sentiment,intent,total_interactions,is_multi_channel,recency_bucket,engagement_depth,quotation_sent,is_enterprise_deal,pipeline_stage,days_in_pipeline,pipeline_velocity,total_price_with_tax,consumer_score_tier,interaction_score_tier,product_quotation_score_tier,sale_score
1,3,1,0,3,2,2,2,1,3,2,1,0,2,1,3,1,3,2,3,0.7617
1,3,2,0,3,2,2,2,1,1,2,1,0,4,3,1,2,3,3,2,0.74
1,2,2,0,2,3,1,3,1,2,3,1,1,10,2,2,2,3,1,2,0.6133
0,1,3,1,1,1,1,3,1,2,3,0,1,4,3,2,1,1,2,3,0.4033
1,3,2,0,2,2,2,2,1,1,3,1,0,1,1,3,2,3,3,3,0.83
1,2,1,0,2,2,1,2,1,3,2,1,0,9,2,2,2,2,2,2,0.5367
0,1,2,0,2,1,1,1,0,1,1,0,0,8,3,1,1,1,1,1,0.06
1,2,2,0,3,2,2,3,1,3,3,0,1,6,2,2,2,3,1,2,0.5617
1,3,1,0,3,2,2,2,1,3,2,1,1,6,2,1,3,3,3,2,0.7317
1,3,1,0,3,2,2,2,1,2,2,0,1,3,1,3,2,3,2,2,0.5933
1,3,2,1,3,1,2,2,1,1,2,1,1,2,2,2,3,3,2,3,0.785
0,1,1,0,2,1,1,3,1,3,3,1,1,9,2,2,2,1,2,3,0.4017
1,3,2,1,2,2,2,2,1,4,2,0,0,5,3,1,3,3,2,1,0.575
1,3,2,1,3,2,2,2,1,3,2,1,0,10,2,2,1,3,1,3,0.7567
0,1,3,1,2,1,1,1,1,4,1,0,1,12,2,2,3,1,1,1,0.21
1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,2,0.35
1,3,1,0,3,2,2,2,1,1,2,1,0,9,2,2,2,3,3,3,0.795
0,2,2,0,2,2,1,2,1,2,2,1,0,3,2,2,2,2,2,2,0.4583
0,2,1,0,2,2,1,3,1,2,3,1,0,5,2,1,2,2,2,1,0.3433
1,3,1,0,3,2,2,2,1,1,2,1,0,9,2,2,2,3,2,2,0.645
0,2,2,0,1,1,1,3,1,2,3,1,1,10,2,2,3,1,3,2,0.3983
1,2,1,0,2,1,2,2,1,3,2,1,1,4,3,1,2,2,2,2,0.5117
0,2,2,0,2,3,1,2,1,1,2,1,1,10,2,2,2,2,2,3,0.54
0,2,1,0,2,1,1,1,1,2,1,1,1,2,1,3,2,1,1,3,0.3083
1,3,2,0,3,3,2,2,1,3,2,1,0,6,2,2,2,3,2,3,0.8017
0,1,2,1,2,1,1,1,1,1,2,1,0,11,1,3,2,1,2,2,0.39
1,2,1,0,2,2,1,2,1,3,2,1,0,10,3,1,2,2,2,2,0.5217
0,2,3,1,2,2,1,3,1,1,3,1,1,5,3,1,3,2,3,1,0.525
0,2,1,0,1,3,1,3,1,4,3,1,1,10,2,2,2,2,2,2,0.455
1,2,1,0,3,2,2,2,1,2,2,0,1,5,2,1,3,2,2,1,0.3883
1,1,1,0,2,3,1,2,1,1,2,0,0,7,1,2,1,1,1,1,0.2
1,2,3,1,2,2,2,1,1,1,1,1,0,10,2,2,1,3,1,2,0.655
1,2,3,1,2,2,1,2,1,3,2,0,0,11,2,2,1,3,3,1,0.6767
0,3,2,1,3,2,2,2,1,2,2,1,1,5,3,1,3,3,3,1,0.6283
1,2,3,1,3,2,2,2,1,3,2,0,0,9,2,2,2,3,2,1,0.6367
1,2,3,1,1,2,1,1,1,2,1,0,0,10,2,2,2,2,1,1,0.3783
1,3,1,0,3,2,2,3,1,4,3,1,1,1,1,3,3,3,3,2,0.785
0,2,1,0,2,3,1,3,1,3,3,1,0,1,1,3,2,2,3,3,0.6317
0,2,3,1,2,3,1,1,1,2,1,1,1,10,1,3,3,2,1,2,0.4933
1,3,2,0,3,1,2,1,0,4,1,0,1,4,2,2,2,3,1,2,0.525
1,3,3,1,3,1,2,1,1,1,1,1,0,10,2,2,2,3,1,3,0.735
0,2,1,0,1,2,1,1,1,2,2,1,1,4,2,2,2,1,2,2,0.2983
0,1,1,0,1,1,1,3,1,4,3,0,0,8,3,1,2,1,3,1,0.22
1,2,3,1,2,2,1,2,1,4,2,1,0,7,1,2,2,2,2,1,0.595
1,2,3,1,2,1,2,2,1,2,2,0,1,4,2,2,2,2,3,1,0.5533
1,3,2,0,2,2,2,2,1,3,2,1,0,4,2,2,1,3,3,2,0.7567
1,2,2,0,2,2,2,1,1,4,1,1,0,9,2,2,2,2,1,2,0.51
1,3,1,0,3,2,2,3,1,3,3,1,1,9,2,2,3,3,3,1,0.6817
1,1,2,1,1,1,1,2,1,1,2,1,0,4,2,2,1,1,2,2,0.45
0,1,3,1,2,2,1,3,1,1,3,0,1,9,2,2,2,1,2,1,0.285
0,2,2,1,2,1,1,2,1,3,2,1,0,9,2,2,2,2,3,2,0.5767
1,3,1,0,2,2,2,3,1,3,3,1,0,1,1,3,1,3,3,3,0.8217
0,2,1,0,1,3,1,2,1,3,2,1,0,10,2,2,2,1,3,2,0.4067
0,1,1,0,2,1,1,3,1,1,3,0,1,4,2,2,3,1,3,1,0.22
0,2,1,0,2,2,2,1,1,1,2,1,0,11,2,2,1,2,1,2,0.345
0,2,1,0,2,3,1,2,1,3,2,0,0,5,3,1,2,2,3,1,0.3617
0,2,1,0,1,2,1,2,1,1,2,1,0,12,1,2,2,1,2,1,0.21
0,2,1,0,2,1,2,2,1,1,2,1,0,7,1,3,2,2,2,3,0.49
1,2,2,1,1,2,1,1,1,1,1,1,0,1,1,3,1,2,1,3,0.575
0,1,2,0,2,1,1,3,1,3,3,1,0,2,1,3,2,1,2,3,0.4517
0,2,1,0,1,2,1,1,1,1,2,1,1,8,3,1,3,1,1,1,0.12
1,3,1,0,3,3,2,1,0,1,1,0,0,11,1,3,1,3,1,1,0.43
0,2,3,1,1,2,1,2,1,3,2,1,0,10,2,2,2,1,2,2,0.4317
1,3,2,1,2,3,2,3,1,1,3,1,1,9,2,2,2,3,2,3,0.81
0,2,1,0,2,1,1,1,1,4,2,1,1,1,1,3,2,2,2,3,0.52
1,3,1,0,3,2,2,2,1,2,2,1,1,8,3,1,3,3,1,1,0.4933
0,3,1,0,3,2,2,3,1,3,3,1,0,11,2,2,1,3,3,2,0.6567
1,2,3,1,2,1,2,2,1,1,2,1,0,7,1,2,2,2,2,2,0.62
0,1,1,0,1,1,1,3,1,1,3,0,0,3,2,2,2,1,2,2,0.195
0,3,2,1,2,2,2,1,0,3,1,0,0,11,2,2,2,3,1,1,0.3817
1,3,2,1,3,3,2,2,1,3,2,1,1,10,2,2,1,3,2,3,0.8517
0,3,3,1,2,2,2,2,1,1,2,0,0,3,1,3,1,3,2,2,0.575
0,2,1,0,1,3,1,1,1,1,1,0,0,7,1,2,1,1,1,1,0.065
1,1,3,1,2,1,1,1,1,4,1,1,0,4,2,2,1,1,1,2,0.465
0,2,1,0,2,2,1,1,1,4,2,1,0,3,2,2,2,2,2,2,0.45
1,2,1,0,3,2,2,2,1,2,2,1,0,9,2,2,2,3,1,2,0.5833
0,1,2,0,2,2,1,2,1,2,2,1,1,10,2,2,2,1,2,3,0.4333
0,2,1,0,3,2,2,3,1,1,3,1,0,9,2,2,2,2,1,3,0.455
1,2,1,0,2,2,2,1,1,3,1,1,1,9,3,1,3,2,1,1,0.3717
1,2,1,0,3,3,2,2,1,3,3,0,0,10,2,2,2,3,3,1,0.6217
0,3,1,0,3,2,2,2,1,1,2,1,1,9,2,2,2,3,3,3,0.695
0,1,1,0,1,1,1,2,1,3,2,0,0,9,2,2,2,1,3,1,0.2117
0,1,2,0,1,1,1,3,1,2,3,1,1,9,3,1,2,1,3,2,0.3833
0,2,1,0,2,2,1,2,1,4,2,0,0,12,2,2,1,2,2,1,0.295
0,1,2,1,1,2,1,2,1,4,2,1,1,1,1,3,3,1,2,3,0.5
1,3,2,1,3,2,2,2,1,3,2,1,0,4,2,2,1,3,3,2,0.8317
0,2,1,0,1,2,1,2,1,3,2,1,0,5,3,1,2,1,3,2,0.3717
1,3,1,0,3,3,2,1,1,2,2,0,0,11,2,2,2,3,1,1,0.4483
0,2,2,0,3,1,2,3,1,4,3,1,0,12,2,2,2,2,3,1,0.51
1,3,2,0,3,3,2,3,1,1,3,1,0,4,3,1,1,3,2,3,0.77
0,2,2,0,1,3,1,3,1,3,3,1,0,10,2,2,2,1,3,2,0.4517
1,1,1,0,2,1,1,1,1,3,1,1,0,4,3,2,1,1,1,3,0.4067
0,1,2,0,1,1,1,2,1,4,2,1,1,12,1,2,2,1,3,1,0.34
0,1,3,1,2,1,1,2,1,4,2,0,1,8,3,1,3,1,3,1,0.355
0,2,1,0,3,2,2,1,0,4,1,1,0,10,2,2,2,2,1,2,0.39
0,2,2,0,2,3,1,3,1,1,3,1,0,10,2,2,1,2,3,2,0.55
1,2,2,1,2,3,1,2,1,2,2,1,0,1,1,3,2,2,2,3,0.7183
0,2,1,0,1,3,1,3,1,2,3,1,0,4,2,2,2,1,3,3,0.4783
0,2,3,1,2,2,1,1,0,1,1,1,1,11,1,3,1,2,1,3,0.525
1,3,1,0,3,3,2,2,1,4,2,0,0,8,3,1,2,3,3,1,0.61
1,2,1,0,2,2,1,1,1,2,2,1,1,4,2,2,3,2,1,2,0.4483
0,3,1,0,3,3,2,2,1,1,2,1,0,10,2,2,2,3,3,2,0.64
1,2,2,1,2,3,1,3,1,3,2,0,0,9,2,2,2,3,2,1,0.5867
1,3,2,0,3,2,2,3,1,1,3,1,1,2,2,3,3,3,3,3,0.855
1,2,1,0,3,2,2,1,1,4,1,0,0,8,3,1,2,3,1,1,0.43
0,2,3,1,2,3,1,3,1,3,3,1,0,1,1,3,1,2,1,3,0.6017
0,2,1,0,1,3,1,2,1,1,3,0,1,10,2,2,3,1,3,1,0.235
1,3,1,0,3,2,2,2,1,2,2,1,1,9,2,2,2,3,2,2,0.6583
0,1,1,0,2,3,1,3,1,1,3,0,0,12,1,2,3,1,1,1,0.11
0,2,1,0,1,2,1,2,1,2,2,1,0,10,2,2,2,1,1,3,0.2983
0,1,2,0,1,2,1,1,1,4,1,1,0,1,1,3,1,1,1,3,0.365
0,1,1,0,1,1,1,3,1,2,3,1,1,6,2,2,3,1,2,2,0.2883
1,2,1,0,2,2,1,2,1,3,2,1,0,10,2,2,3,2,3,1,0.5367
1,3,2,0,3,2,2,1,0,2,1,0,0,7,1,3,1,3,1,1,0.4583
0,1,1,0,2,2,1,3,1,2,3,1,1,8,3,1,3,1,3,1,0.3183
1,2,2,0,3,3,2,2,1,4,2,0,0,8,3,1,3,3,3,1,0.645
0,2,3,1,2,2,1,1,1,2,2,1,0,1,1,3,2,2,1,3,0.5583
0,3,1,0,3,2,2,2,1,3,2,0,0,10,2,2,2,3,2,1,0.4167
0,2,1,0,2,2,1,3,1,2,3,0,0,5,3,1,1,2,3,1,0.3383
0,1,1,0,1,1,1,2,1,3,3,0,0,11,1,3,1,1,2,1,0.1617
0,1,2,1,1,2,1,3,1,2,3,1,1,8,3,1,3,1,1,2,0.3033
0,1,3,1,2,2,1,1,0,1,1,1,1,1,1,3,3,1,1,3,0.425
1,2,2,0,3,1,2,1,1,2,2,0,0,11,2,2,1,2,2,1,0.4183
0,2,3,1,2,2,1,3,1,2,3,1,0,7,1,2,1,2,3,3,0.7033
1,2,2,0,3,1,2,1,1,4,1,1,1,4,2,2,2,3,1,2,0.615
1,3,3,1,3,3,2,1,1,2,1,1,0,10,2,2,1,3,1,2,0.7133
1,2,2,0,2,1,2,1,1,2,2,1,1,10,2,2,3,2,1,1,0.3983
1,2,3,1,2,2,1,2,1,2,2,1,1,2,1,3,3,3,2,3,0.8333
0,3,1,0,3,1,2,2,1,2,2,1,1,2,2,2,3,3,2,2,0.5383
0,1,2,1,1,2,1,2,1,2,2,1,0,1,1,3,1,1,2,3,0.4733
1,2,1,0,1,2,1,3,1,3,3,1,0,1,1,3,2,2,3,3,0.6867
1,2,1,0,2,2,1,2,1,1,2,1,0,4,2,2,1,2,3,2,0.585
0,2,2,1,2,2,1,3,1,1,3,0,1,11,2,2,2,2,2,1,0.35
1,2,2,0,2,2,1,2,1,1,2,1,0,2,1,3,1,2,2,3,0.635
1,1,1,0,2,1,1,2,1,2,2,1,1,5,3,1,3,1,2,1,0.3133
0,3,2,1,3,2,2,2,1,4,2,1,0,5,3,1,2,3,2,2,0.655
1,3,1,0,3,1,2,3,1,2,3,1,0,5,2,1,2,3,3,2,0.7083
1,3,3,1,3,1,2,1,1,2,2,1,0,10,2,2,1,3,1,2,0.6833
0,3,1,0,3,3,2,2,1,3,2,0,1,5,3,1,3,3,3,1,0.4967
0,3,3,1,2,2,2,1,1,3,1,1,0,10,2,2,2,3,2,2,0.6567
0,2,1,0,2,3,1,2,1,3,2,1,0,1,1,3,1,2,2,3,0.5467
1,2,2,1,2,3,1,2,1,2,2,1,0,7,1,3,2,3,1,2,0.6683
1,3,1,0,2,3,2,1,0,4,1,1,0,4,2,2,1,3,1,2,0.585
1,2,1,0,2,3,2,2,1,4,2,1,0,9,3,1,2,3,2,2,0.665
1,2,1,0,2,3,1,2,1,4,2,1,1,2,1,3,3,2,3,2,0.66
0,1,3,1,1,2,1,2,1,1,2,1,0,1,1,3,3,1,3,3,0.57
0,2,1,0,2,3,1,2,1,3,2,1,0,5,3,1,2,2,2,2,0.4417
0,1,1,0,2,1,1,2,1,2,2,1,1,4,2,2,3,1,1,3,0.3033
1,3,1,0,3,2,2,3,1,3,3,1,0,12,3,1,3,3,3,1,0.6667
0,3,1,0,3,3,2,2,1,3,2,1,0,12,1,3,2,3,2,3,0.6817
0,1,1,0,1,2,1,2,1,3,2,1,1,5,3,1,3,1,2,1,0.2217
1,3,2,0,2,2,2,1,1,1,1,0,0,11,2,2,1,3,1,1,0.415
0,2,3,1,2,2,1,3,1,2,3,0,1,4,2,2,3,2,3,2,0.5483
0,1,3,1,2,2,1,3,1,1,3,0,0,8,3,1,2,1,2,1,0.27
1,3,1,0,3,1,2,3,1,1,3,0,0,5,2,1,3,3,3,1,0.54
1,3,1,0,3,2,2,3,1,3,3,0,0,9,2,2,2,3,3,1,0.6017
0,3,1,0,3,1,2,2,1,1,2,1,1,4,2,2,3,3,1,3,0.525
0,1,1,0,1,1,1,2,1,2,2,1,1,2,1,3,3,1,2,2,0.2933
1,2,2,0,1,2,1,2,1,3,2,1,1,2,1,3,1,2,2,3,0.6367
0,2,2,0,2,2,1,3,1,3,3,1,1,4,3,2,3,2,3,2,0.5567
1,2,3,1,2,2,1,2,1,1,2,1,0,1,1,3,2,2,3,3,0.795
1,2,2,0,3,3,2,1,1,3,2,0,0,11,1,3,2,3,2,1,0.5867
0,1,2,1,1,1,1,2,1,3,2,1,0,10,3,1,1,1,2,2,0.3617
0,3,1,0,3,2,2,1,0,1,1,0,1,6,2,1,3,3,1,1,0.28
0,1,1,0,2,2,1,2,1,2,2,1,1,6,2,1,3,1,2,1,0.2333
0,2,1,0,3,3,2,2,1,3,2,1,0,10,2,2,1,2,3,2,0.5667
1,3,2,0,2,2,2,2,1,2,2,1,0,10,1,3,2,3,3,3,0.8333
1,3,2,0,2,2,2,2,1,2,2,0,0,7,1,3,2,3,2,1,0.5283
0,2,2,1,1,2,1,2,1,3,3,1,0,9,2,2,2,2,3,3,0.6567
0,1,1,0,1,2,1,1,0,3,1,1,1,2,2,3,3,1,1,3,0.3067
0,1,2,0,1,2,1,2,1,1,2,1,0,10,2,2,1,1,3,2,0.395
0,1,1,0,1,1,1,1,0,2,1,1,0,2,1,3,2,1,1,3,0.2733
1,1,2,0,2,1,1,1,1,2,2,1,0,2,2,3,1,1,2,3,0.5283
1,2,3,1,2,1,2,1,1,1,1,1,1,2,2,2,3,2,1,3,0.61
0,3,2,1,3,3,2,3,1,2,3,1,1,4,2,2,2,3,3,3,0.8233
1,2,2,0,2,1,2,2,1,1,3,0,1,11,2,2,2,2,3,1,0.465
0,2,3,1,1,3,1,2,1,3,2,1,0,1,1,3,2,2,3,3,0.7167
0,2,1,0,2,2,1,3,1,3,3,0,0,5,3,1,2,1,3,1,0.2517
0,2,1,0,2,3,1,1,0,2,1,0,1,12,2,2,3,1,1,1,0.0933
1,2,1,0,2,2,1,3,1,2,2,1,0,5,2,1,1,2,3,1,0.5083
1,2,1,0,2,3,2,2,1,3,2,1,1,4,3,1,2,2,3,2,0.6267
0,1,3,1,2,2,1,1,1,4,1,1,0,4,2,2,2,1,1,2,0.385
1,3,1,0,2,2,2,1,1,1,1,1,0,10,3,1,2,3,1,1,0.445
1,2,3,1,2,2,1,2,1,4,2,1,1,2,2,2,2,3,3,3,0.92
1,2,2,1,2,2,2,2,1,3,2,1,1,2,2,3,2,3,3,3,0.8967
1,1,2,0,2,1,1,1,1,4,1,1,0,4,3,2,2,1,1,2,0.38
1,2,3,1,2,3,1,2,1,1,2,1,0,1,1,3,1,3,2,3,0.84
0,2,3,1,2,2,1,3,1,2,3,1,1,6,2,1,2,2,3,2,0.6133
0,1,1,0,1,2,1,1,1,1,2,1,1,3,2,2,2,1,3,2,0.36
1,2,1,0,3,2,2,2,1,4,2,1,1,10,2,2,2,3,2,3,0.76
0,1,1,0,1,1,1,2,1,3,2,1,1,10,3,1,3,1,3,2,0.3517
1,3,2,1,3,2,2,3,1,3,3,1,1,2,2,2,3,3,3,2,0.8417
0,1,1,0,2,2,1,1,0,1,1,1,0,1,1,3,1,1,1,3,0.305
0,1,2,1,2,2,1,1,1,3,1,1,0,2,2,2,1,1,1,3,0.4117
0,2,1,0,2,3,1,1,1,3,1,1,0,1,1,3,1,2,1,3,0.4617
1,2,3,1,2,2,1,1,1,2,2,1,0,10,2,2,1,2,2,3,0.7183
1,2,1,0,2,2,1,2,1,3,2,1,1,4,2,2,2,2,3,2,0.6117
1,2,3,1,2,2,1,2,1,2,2,1,0,12,1,2,2,3,2,2,0.7433
1,2,1,0,2,2,2,2,1,1,2,1,0,1,1,3,2,2,2,3,0.61
1,3,2,1,2,2,2,2,1,1,2,1,0,11,1,3,1,3,3,2,0.795
0,2,1,0,2,2,1,3,1,1,3,0,0,12,2,2,2,1,1,1,0.09
0,3,2,1,3,2,2,2,1,2,2,0,0,10,3,1,2,3,3,1,0.5483
0,2,1,0,3,1,2,2,1,2,2,1,0,10,2,2,1,2,2,2,0.4383
1,1,2,1,2,1,1,1,1,2,1,1,1,8,3,1,2,1,1,2,0.3883
0,1,1,0,1,2,1,2,1,1,3,0,0,5,3,1,2,1,3,1,0.2
0,2,3,1,2,2,1,3,1,1,3,1,0,1,1,3,1,2,1,3,0.555
1,2,1,0,3,2,2,2,1,3,2,1,0,4,2,2,2,3,3,3,0.8217
1,1,3,1,2,1,1,1,1,4,1,1,0,2,2,3,2,2,1,3,0.655
0,2,1,0,2,2,1,2,1,3,2,1,1,2,2,3,2,2,2,3,0.5267
0,1,2,0,1,1,1,3,1,2,3,1,1,4,3,2,3,1,3,3,0.4733
0,1,1,0,1,1,1,3,1,1,3,1,1,4,2,2,2,1,1,2,0.2
1,2,1,0,3,1,2,1,0,1,1,1,1,2,1,3,3,2,1,3,0.52
1,2,2,0,2,2,1,2,1,1,2,0,0,10,2,2,2,2,2,1,0.39
0,2,2,1,2,2,1,1,1,3,1,0,0,6,2,2,1,2,1,1,0.2817
0,1,1,0,1,1,1,3,1,3,2,1,1,2,1,3,2,1,2,3,0.3817
1,1,3,1,1,1,1,2,1,1,2,1,0,5,3,1,1,1,3,2,0.545
1,1,2,0,1,1,1,2,1,2,2,1,1,4,2,2,2,1,3,3,0.5633
0,2,2,0,2,2,1,2,1,4,2,1,0,8,3,1,3,2,2,1,0.395
1,2,2,0,1,2,1,1,1,3,1,0,1,9,2,2,2,2,1,2,0.3817
0,1,1,0,1,1,1,3,1,1,3,1,0,10,2,2,1,1,3,3,0.425
1,1,2,0,2,1,1,1,0,4,1,1,0,1,1,3,1,1,2,3,0.535
1,2,2,0,2,2,1,2,1,1,3,1,0,1,1,3,2,2,3,3,0.72
1,2,1,0,2,2,2,1,1,2,2,1,0,5,3,1,3,2,1,2,0.4433
1,1,1,0,1,1,1,1,1,4,1,1,0,9,2,2,2,1,1,2,0.32
0,1,1,0,1,2,1,3,1,1,3,1,1,2,2,3,2,1,3,3,0.46
0,3,1,0,3,2,2,1,1,1,1,1,1,4,3,1,3,3,1,1,0.37
1,3,2,1,3,2,2,1,0,4,1,1,0,4,2,2,2,3,1,2,0.675
0,1,1,0,1,1,1,2,1,1,3,1,0,1,1,3,1,1,1,3,0.29
0,2,2,0,2,3,1,1,1,4,1,1,1,9,2,2,3,1,1,2,0.32
0,1,2,0,1,2,1,2,1,3,2,1,0,1,1,3,2,1,3,3,0.5117
1,2,1,0,2,3,1,3,1,1,3,1,1,2,1,3,2,2,2,3,0.63
0,1,2,1,1,1,1,2,1,4,2,1,1,6,2,2,2,1,2,2,0.39
0,1,1,0,1,1,1,3,1,3,3,0,0,12,2,2,2,1,3,1,0.2217
1,2,1,0,2,2,2,2,1,4,2,0,0,7,3,1,2,2,2,1,0.39
0,2,1,0,1,2,1,3,1,2,3,1,0,1,3,1,2,1,2,3,0.3683
0,2,2,1,2,1,2,1,1,1,2,0,1,4,3,1,2,2,1,1,0.24
0,2,2,1,2,2,1,3,1,2,3,1,1,2,1,3,2,2,2,3,0.6083
0,1,1,0,1,1,1,1,0,2,1,0,0,6,2,2,2,1,2,1,0.1033
0,2,2,1,2,2,2,2,1,3,2,0,0,8,3,1,2,2,2,1,0.3617
0,2,2,0,2,1,1,1,1,3,2,1,0,10,2,2,1,2,2,3,0.5267
0,1,1,0,1,2,1,2,1,3,2,1,0,8,3,1,1,1,3,2,0.3717
0,3,1,0,3,2,2,2,1,1,2,1,1,12,2,2,3,3,2,2,0.545
0,3,1,0,3,3,2,2,1,1,2,1,0,9,2,2,2,3,2,3,0.64
0,2,1,0,2,1,2,1,1,2,1,1,0,1,1,3,2,2,2,3,0.4933
0,2,2,0,1,2,1,1,0,2,1,1,0,4,2,2,1,1,1,3,0.3133
0,2,2,1,2,3,1,2,1,1,2,1,0,2,1,3,2,2,1,3,0.53
0,1,1,0,1,1,1,3,1,3,3,1,1,9,2,2,1,1,3,2,0.3767
1,2,2,0,2,2,1,2,1,3,2,1,1,2,2,3,3,2,2,3,0.6617
1,3,1,0,3,2,2,1,0,2,1,0,0,11,2,2,2,3,1,1,0.4083
0,1,1,0,2,2,1,2,1,3,2,1,0,4,2,2,2,1,2,3,0.4117
1,3,1,0,2,2,2,2,1,3,2,0,0,5,3,1,2,3,2,1,0.4767
0,2,1,0,2,2,1,1,1,2,2,1,0,9,2,2,2,2,2,2,0.4233
0,3,1,0,2,2,2,2,1,4,2,0,0,7,1,2,2,3,3,1,0.48
1,3,2,0,2,3,2,2,0,3,2,1,1,4,2,2,2,3,1,2,0.6167
0,1,2,0,2,2,1,1,1,2,1,1,1,7,1,3,2,1,1,3,0.3633
1,2,1,0,2,2,2,3,1,3,3,1,1,8,3,1,2,2,2,1,0.4667
1,2,3,1,2,2,1,3,1,4,2,1,0,8,3,1,2,3,2,2,0.755
0,2,2,1,1,2,1,3,1,3,3,1,0,10,2,2,1,1,2,2,0.4067
0,1,3,1,1,2,1,2,1,3,2,1,0,8,3,1,2,1,2,2,0.4167
1,3,1,0,3,3,2,1,1,4,1,0,0,11,3,1,3,3,2,1,0.525
1,3,1,0,2,2,2,2,1,3,2,1,1,9,2,2,2,3,2,2,0.6467
0,2,2,0,2,3,1,2,1,1,2,1,0,4,3,1,2,2,3,2,0.525
1,2,2,0,2,3,1,2,1,1,2,1,0,9,2,2,2,2,3,3,0.715
0,2,3,1,1,2,1,2,1,3,2,0,0,7,1,3,1,1,1,1,0.2167
1,2,1,0,2,1,2,3,1,1,3,1,0,1,1,3,1,2,2,3,0.6
0,2,1,0,2,2,1,3,1,1,3,1,0,8,3,1,1,2,2,1,0.33
0,3,1,0,3,3,2,3,1,1,3,1,1,12,2,2,2,3,2,2,0.575
0,2,3,1,1,2,1,2,1,2,2,1,0,4,2,2,2,1,1,2,0.3433
1,3,3,1,3,3,2,2,1,1,2,0,1,12,2,2,2,3,2,1,0.63
1,3,2,1,2,3,2,3,1,2,3,1,0,2,2,3,2,3,3,3,0.9133
1,2,1,0,3,1,2,2,1,2,2,1,0,5,3,1,1,3,3,2,0.6983
1,2,2,0,2,2,2,2,1,4,2,1,0,1,1,3,1,3,3,3,0.86
1,2,1,0,2,2,1,1,0,3,1,1,0,10,2,2,2,2,1,3,0.5167
1,3,1,0,3,2,2,2,1,4,2,0,1,12,1,2,2,3,2,1,0.53
0,2,1,0,2,2,1,1,1,3,2,1,0,9,3,1,1,1,2,1,0.2467
0,2,1,0,2,2,1,2,1,4,3,0,0,6,2,1,2,2,2,1,0.29
0,2,2,0,2,2,1,1,0,1,1,0,0,5,3,1,2,2,1,1,0.18
1,2,1,0,2,2,1,2,1,1,3,0,0,12,1,2,1,2,2,1,0.365
1,1,1,0,1,1,1,1,0,4,1,1,0,10,2,2,2,1,1,2,0.31
