lead_id,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,industry_close_rate,historical_avg_sentiment,intent,total_interactions,is_multi_channel,recency_bucket,engagement_depth,quotation_sent,is_enterprise_deal,pipeline_stage,days_in_pipeline,pipeline_velocity,total_price_with_tax,consumer_score_tier,interaction_score_tier,product_quotation_score_tier,sale_closed
lead:00000016,1,1.69,0,0,0.522,0.55,SALES,14,1,active,5.8,1,0,Proposal Sent,18,0.2005,109150,Medium,High,High,1
lead:00000017,1,1.2,0,0,0.52,-0.13,SALES,7,1,cold,3.5,1,0,Closed,0,6.0,72240,Medium,Low,High,0
lead:00000018,1,2.48,0,0,0.575,0.46,SALES,2,0,active,2.1,0,0,Sales Follow Up,10,0.2584,222430,High,Low,Low,1
lead:00000019,0,1.24,1,0,0.477,0.12,NON SALES,9,1,cold,4.3,1,1,Sales Qualified,9,0.2297,438370,Medium,Medium,Medium,0
lead:00000020,0,0.28,0,0,0.477,0.23,NON SALES,7,1,stale,3.3,1,1,Follow Up / Negot.,20,0.192,342200,Low,Medium,Medium,1
lead:00000021,0,2.3,2,1,0.582,-0.01,SALES,12,1,active,5.5,1,1,Follow Up / Negot.,30,0.1287,27440,High,Medium,Medium,1
lead:00000022,1,2.2,0,0,0.526,0.45,SALES,18,1,stale,7.0,0,0,Follow Up / Negot.,18,0.2229,56000,High,Medium,Low,1
lead:00000023,1,0.83,0,0,0.378,0.49,NON SALES,6,1,active,3.5,0,0,Lost,48,0.0125,36400,Low,High,Low,0
lead:00000024,1,1.68,0,0,0.558,-0.03,SALES,13,1,stale,5.5,1,0,Lost,51,0.0211,73920,Medium,Medium,Medium,1
lead:00000025,1,2.04,0,0,0.713,-0.47,SALES,10,1,cold,4.6,1,1,Contract Sent,14,0.3538,33600,High,High,High,1
lead:00000026,0,0.91,0,0,0.498,0.05,NON SALES,7,1,fresh,3.5,1,0,Follow Up / Negot.,34,0.1172,150450,Medium,Medium,Medium,1
lead:00000027,1,0.87,0,0,0.567,-0.27,NON SALES,8,1,stale,4.9,1,1,Follow Up / Negot.,27,0.1441,205320,Medium,High,High,1
lead:00000028,1,2.76,0,0,0.649,0.41,SALES,11,1,active,5.0,1,0,Contract Sent,3,1.6585,70560,High,Medium,High,1
lead:00000029,1,2.82,1,0,0.618,0.43,SALES,11,1,cold,5.1,1,0,Follow Up / Negot.,35,0.1213,246030,High,High,Medium,1
lead:00000030,1,0.97,1,0,0.428,0.74,NON SALES,17,1,stale,7.1,1,1,Quotation,9,0.3936,271400,High,Low,Medium,0
lead:00000031,0,0.32,4,1,0.413,-0.51,NON SALES,14,1,stale,6.5,0,1,Follow Up / Negot.,28,0.1525,26880,Low,Medium,High,0
lead:00000032,1,2.64,1,0,0.593,0.12,SALES,11,1,cold,5.3,1,0,Closed,1,5.9995,86140,High,High,High,1
lead:00000033,1,0.64,0,0,0.504,-0.08,NON SALES,8,1,active,4.2,1,0,Proposal Sent,23,0.1517,158120,Medium,Medium,Medium,0
lead:00000034,0,0.0,1,0,0.449,-0.7,NON SALES,1,0,cold,0.8,0,0,On Hold,42,0.0434,36960,Low,Low,Low,0
lead:00000035,1,1.5,3,0,0.633,0.41,SALES,13,1,active,6.1,0,1,Manual Follow Up,18,0.1352,237180,High,Low,Medium,1
lead:00000036,1,2.12,0,0,0.601,0.32,SALES,7,1,active,4.3,1,1,Manual Follow Up,25,0.1038,580560,High,High,Medium,1
lead:00000037,1,2.82,0,0,0.666,0.29,SALES,7,1,stale,3.9,0,1,Demo Scheduled,7,0.4275,184670,High,Medium,Medium,1
lead:00000038,1,1.97,3,1,0.639,-0.7,SALES,6,1,cold,4.0,1,1,Contract Sent,15,0.325,607110,High,Medium,High,1
lead:00000039,0,0.42,0,0,0.526,-0.39,NON SALES,17,1,active,7.4,1,1,Proposal Sent,17,0.2129,156350,Low,Medium,High,0
lead:00000040,1,2.55,1,1,0.584,0.48,SALES,6,1,fresh,3.5,0,0,Lost,39,0.0161,363440,High,Medium,Low,1
lead:00000041,1,2.0,2,1,0.699,0.26,SALES,6,1,active,3.0,1,0,Quotation,22,0.1684,16800,High,Low,High,1
lead:00000042,0,0.0,5,1,0.448,-0.38,NON SALES,2,1,fresh,1.2,0,1,Sales Qualified,9,0.213,746940,Low,Low,Low,0
lead:00000043,1,0.42,2,1,0.393,-0.49,NON SALES,2,1,cold,1.5,1,1,Demo Scheduled,66,0.0364,547520,Low,Low,Medium,1
lead:00000044,1,2.04,0,0,0.614,0.25,SALES,8,1,cold,4.2,1,0,Proposal Sent,23,0.1557,213580,High,High,High,1
lead:00000045,0,1.07,1,0,0.576,0.19,NON SALES,10,1,stale,4.8,1,0,Demo Scheduled,10,0.2917,187620,Medium,Medium,Medium,1
lead:00000046,0,0.8,0,0,0.456,0.21,NON SALES,13,1,stale,5.4,1,0,Lost,21,0.0403,130390,Medium,Medium,Low,0
lead:00000047,1,2.91,0,0,0.715,0.14,SALES,8,1,cold,3.8,1,0,Proposal Sent,17,0.2024,114460,High,Medium,Medium,1
lead:00000048,0,0.77,2,0,0.387,-0.39,NON SALES,12,1,stale,5.7,1,1,Quotation,13,0.268,656670,Low,High,Medium,0
lead:00000049,1,1.52,0,0,0.525,-0.39,SALES,8,1,active,3.7,1,1,Follow Up / Negot.,111,0.0452,228330,Medium,Medium,Medium,1
lead:00000050,0,0.72,1,0,0.514,0.65,NON SALES,7,1,cold,4.0,1,1,Quotation,18,0.1923,143960,Medium,Medium,High,0
lead:00000051,0,0.7,0,0,0.48,-0.46,NON SALES,3,1,stale,1.9,1,1,Contract Sent,5,0.9996,166380,Low,Low,High,0
lead:00000052,1,2.2,1,0,0.6,0.61,SALES,9,1,active,4.4,1,0,Manual Follow Up,10,0.2406,146320,High,Medium,High,1
lead:00000053,0,0.0,1,1,0.458,-0.66,NON SALES,4,1,cold,3.1,1,0,Sales Follow Up,5,0.4991,231870,Low,Medium,Medium,0
lead:00000054,1,1.16,0,0,0.535,-0.12,NON SALES,7,1,active,3.5,1,0,Quotation,101,0.028,233640,Medium,Medium,Medium,1
lead:00000055,0,1.01,4,1,0.516,0.32,NON SALES,17,1,cold,7.9,1,1,Lost,126,0.01,647820,Medium,High,Low,1
lead:00000056,0,0.64,0,0,0.356,0.51,NON SALES,13,1,fresh,5.8,1,1,Quotation,9,0.3964,94400,Medium,Medium,Medium,1
lead:00000057,1,1.81,0,0,0.618,0.18,SALES,7,1,stale,4.0,0,1,Lost,16,0.0607,507990,Medium,Medium,Low,1
lead:00000058,1,0.43,0,0,0.456,0.61,NON SALES,7,1,cold,3.8,0,0,New Lead,5,0.1976,64400,Low,Low,Low,1
lead:00000059,1,1.86,6,1,0.541,0.4,SALES,3,1,cold,2.6,1,0,Quotation,18,0.192,43680,High,Low,Medium,1
lead:00000060,1,0.53,4,1,0.494,0.06,NON SALES,7,1,active,3.6,0,0,Sales Follow Up,10,0.2433,22400,High,High,Low,0
lead:00000061,0,2.22,2,1,0.634,0.33,SALES,10,1,stale,5.1,1,1,Lost,35,0.0282,511530,High,High,Low,1
lead:00000062,1,1.22,7,1,0.609,-0.08,SALES,6,1,active,3.6,0,0,Proposal Sent,22,0.1552,139830,High,Medium,Low,1
lead:00000063,1,0.81,5,1,0.363,0.42,NON SALES,2,1,stale,1.6,0,0,Quotation,21,0.1648,202960,Medium,Low,Low,1
lead:00000064,1,2.17,0,0,0.677,0.28,SALES,14,1,fresh,6.1,1,1,Closed,0,6.0,394120,High,High,Medium,1
lead:00000065,0,1.24,0,0,0.547,0.61,NON SALES,12,1,active,5.6,1,0,Closed,1,5.9987,92630,Medium,High,High,0
lead:00000066,0,0.72,4,1,0.513,0.72,NON SALES,2,1,stale,2.5,1,1,Quotation,8,0.4368,535130,Medium,Low,Medium,1
lead:00000067,1,2.28,1,0,0.69,-0.97,SALES,1,0,fresh,0.9,0,1,Follow Up / Negot.,18,0.2247,194110,High,Low,Medium,1
lead:00000068,1,1.99,4,1,0.684,-0.43,SALES,2,1,cold,2.3,1,0,Quotation,17,0.2037,159300,High,Low,High,1
lead:00000069,0,0.77,0,0,0.408,0.23,NON SALES,5,1,stale,3.3,1,1,Follow Up / Negot.,25,0.1678,212990,Low,Medium,Medium,1
lead:00000070,0,0.0,0,0,0.407,-0.56,NON SALES,17,1,fresh,6.5,0,0,On Hold,71,0.0241,197060,Low,High,Low,0
lead:00000071,1,0.81,4,1,0.547,0.33,NON SALES,9,1,fresh,4.6,1,0,New Lead,5,0.2034,77840,Medium,Medium,Low,0
lead:00000072,1,1.5,6,1,0.542,-0.3,SALES,10,1,stale,4.9,0,1,Follow Up / Negot.,18,0.2317,231870,Medium,High,Low,1
lead:00000073,1,2.16,1,0,0.574,0.04,SALES,6,1,active,3.4,1,0,Follow Up / Negot.,21,0.1854,38080,High,High,Medium,1
lead:00000074,1,0.78,1,0,0.537,-0.19,SALES,3,1,fresh,1.6,1,0,Proposal Sent,16,0.2169,77880,Medium,Low,Medium,0
lead:00000075,1,2.75,0,0,0.647,0.4,SALES,15,1,active,6.1,1,1,Proposal Sent,19,0.1773,564040,High,High,Low,1
lead:00000076,1,0.0,1,1,0.418,-0.2,NON SALES,10,1,cold,4.7,1,0,Follow Up / Negot.,13,0.3062,39200,Low,Medium,Medium,1
lead:00000077,0,0.31,6,1,0.456,0.24,NON SALES,12,1,cold,5.3,0,1,Proposal Sent,20,0.1784,141010,Low,Medium,Low,0
lead:00000078,0,0.54,3,1,0.461,-0.21,NON SALES,7,1,active,3.6,1,0,Proposal Sent,25,0.1407,112100,Medium,High,Medium,0
lead:00000079,1,2.51,0,0,0.585,0.11,SALES,13,1,active,5.7,1,0,Closed,2,2.9919,36400,High,High,High,1
lead:00000080,0,0.49,0,0,0.398,0.5,NON SALES,10,1,active,4.5,1,0,Quotation,25,0.1335,172280,Low,High,Medium,0
lead:00000081,0,0.0,0,0,0.463,-0.51,NON SALES,13,1,cold,5.8,0,1,Follow Up / Negot.,22,0.1865,585870,Low,High,Low,0
lead:00000082,0,1.32,0,0,0.543,0.18,SALES,5,1,cold,3.0,1,0,Sales Follow Up,10,0.2454,24640,Medium,Low,Medium,0
lead:00000083,0,0.82,0,0,0.467,0.65,NON SALES,10,1,active,4.7,0,0,Lost,53,0.0101,83440,Medium,High,Low,0
lead:00000084,0,0.89,0,0,0.404,0.4,NON SALES,7,1,cold,4.3,1,0,Sales Qualified,6,0.3305,192340,Low,Medium,Low,0
lead:00000085,0,0.84,0,0,0.539,-0.48,SALES,9,1,cold,4.7,1,0,New Lead,0,1.0,301490,Medium,Medium,High,1
lead:00000086,1,1.03,1,1,0.381,0.4,NON SALES,3,1,cold,2.5,1,0,Closed,1,5.998,21280,Medium,Low,High,0
lead:00000087,0,0.0,3,0,0.427,-0.52,NON SALES,18,1,active,7.3,1,0,Contract Sent,8,0.6228,77840,Low,Medium,High,0
lead:00000088,0,0.76,0,0,0.396,0.35,NON SALES,4,1,cold,3.1,1,1,On Hold,42,0.037,477310,Low,Low,Low,0
lead:00000089,1,2.47,0,0,0.605,0.85,SALES,1,0,cold,1.0,0,0,Sales Follow Up,5,0.5013,26880,High,Low,Low,1
lead:00000090,0,0.53,6,1,0.36,0.32,NON SALES,6,1,active,3.6,1,0,Quotation,26,0.1345,106790,Low,Medium,Medium,0
lead:00000091,1,2.08,1,1,0.575,0.65,SALES,12,1,cold,6.0,1,1,Proposal Sent,23,0.1507,243670,High,Medium,High,1
lead:00000092,0,0.57,0,0,0.468,-0.4,NON SALES,5,1,fresh,3.2,1,1,Closed,2,2.9975,220070,Medium,Medium,High,0
lead:00000093,1,3.05,0,0,0.611,0.24,SALES,6,1,stale,3.4,1,1,On Hold,49,0.0336,567580,High,Low,Low,1
lead:00000094,0,2.38,0,0,0.619,0.48,SALES,12,1,active,5.4,1,0,Sales Follow Up,13,0.201,38640,High,High,Medium,1
lead:00000095,1,1.06,4,1,0.532,-0.32,SALES,7,1,cold,3.8,1,0,New Lead,5,0.1957,119180,Medium,Medium,Medium,1
lead:00000096,0,0.0,0,0,0.416,-0.76,NON SALES,17,1,cold,7.2,0,0,Demo Scheduled,20,0.1541,274940,Low,Medium,Medium,0
lead:00000097,0,2.68,3,1,0.589,0.32,SALES,1,0,active,0.9,0,0,Sales Follow Up,10,0.2595,122130,High,Low,Low,1
lead:00000098,1,2.47,2,1,0.66,0.73,SALES,8,1,active,3.9,1,1,Quotation,13,0.2633,22960,High,Medium,High,1
lead:00000099,0,2.24,6,1,0.538,0.48,SALES,8,1,cold,3.8,0,0,Demo Scheduled,6,0.4964,30240,High,Medium,Medium,1
lead:00000100,0,0.68,0,0,0.366,0.6,NON SALES,2,1,cold,1.0,0,0,New Lead,5,0.1997,68320,Low,Low,Low,0
lead:00000101,1,0.02,7,1,0.43,-0.42,NON SALES,2,1,fresh,1.8,1,0,Follow Up / Negot.,11,0.3693,55440,Low,Low,Medium,0
lead:00000102,0,0.83,0,0,0.478,0.45,NON SALES,5,1,fresh,3.2,1,0,Demo Scheduled,15,0.1943,135110,Medium,Medium,Medium,1
lead:00000103,1,1.48,0,0,0.632,0.14,SALES,10,1,stale,4.5,1,0,Proposal Sent,15,0.2385,236000,High,Low,Medium,1
lead:00000104,0,0.17,2,0,0.426,0.19,NON SALES,9,1,stale,4.2,1,1,Quotation,13,0.2755,308570,Low,Medium,High,1
lead:00000105,0,1.25,0,0,0.626,0.44,SALES,13,1,cold,6.1,1,0,Proposal Sent,16,0.2148,135110,Medium,Low,High,1
lead:00000106,1,1.85,0,0,0.585,0.43,SALES,3,1,active,1.6,1,1,Proposal Sent,28,0.1153,607110,Medium,Low,Low,1
lead:00000107,1,1.69,0,0,0.631,0.68,SALES,11,1,active,5.6,0,0,Quotation,10,0.348,112690,High,High,Low,1
lead:00000108,0,2.77,0,0,0.711,0.37,SALES,9,1,cold,4.4,1,1,Proposal Sent,10,0.3435,242490,High,High,High,1
lead:00000109,0,0.0,0,0,0.312,-0.82,NON SALES,6,1,active,3.3,0,0,Proposal Sent,24,0.1513,103840,Low,High,Low,0
lead:00000110,0,0.0,3,0,0.359,-0.35,NON SALES,15,1,stale,6.0,1,1,Proposal Sent,27,0.1271,172280,Low,High,Medium,0
lead:00000111,0,0.94,0,0,0.511,0.34,NON SALES,10,1,fresh,4.8,0,0,Sales Qualified,9,0.2142,31360,Medium,Medium,Low,0
lead:00000112,0,0.2,3,1,0.281,0.39,NON SALES,11,1,fresh,4.9,1,1,Closed,3,1.9945,540440,Low,Medium,High,1
lead:00000113,1,2.46,2,1,0.629,0.47,SALES,10,1,active,5.0,1,0,Follow Up / Negot.,15,0.269,70560,High,High,Medium,1
lead:00000114,0,0.68,0,0,0.419,0.42,NON SALES,7,1,active,3.3,1,0,Lost,55,0.0182,133930,Low,High,Medium,1
lead:00000115,1,2.66,0,0,0.639,0.66,SALES,5,1,stale,3.4,0,0,Sales Follow Up,16,0.1659,147500,High,Low,Low,1
lead:00000116,0,1.02,1,0,0.617,-0.37,SALES,15,1,fresh,6.4,1,0,Sales Qualified,11,0.1786,313880,Medium,High,Low,0
lead:00000117,1,3.05,2,0,0.683,0.57,SALES,14,1,cold,6.5,1,0,Follow Up / Negot.,31,0.12,58800,High,Medium,High,1
lead:00000118,0,0.77,1,0,0.414,0.49,NON SALES,15,1,active,6.6,1,0,Quotation,18,0.1993,234820,Low,High,Medium,0
lead:00000119,1,0.05,0,0,0.459,-0.5,NON SALES,2,1,active,1.7,1,0,Follow Up / Negot.,27,0.1415,29120,Low,Low,High,1
lead:00000120,0,0.0,1,0,0.328,-0.49,NON SALES,8,1,fresh,3.9,1,1,Sales Qualified,6,0.3376,222430,Low,High,Low,0
lead:00000121,0,0.0,7,1,0.459,-0.42,NON SALES,8,1,fresh,4.6,0,1,On Hold,82,0.0144,586460,Low,High,Low,0
lead:00000122,0,1.48,0,0,0.6,0.09,SALES,1,0,fresh,1.5,1,0,Quotation,22,0.1506,152220,Medium,Low,Medium,0
lead:00000123,0,0.76,1,0,0.453,0.59,NON SALES,15,1,cold,6.6,1,0,Quotation,9,0.3887,29680,Medium,High,Medium,1
lead:00000124,1,1.13,3,1,0.471,0.52,NON SALES,9,1,stale,5.1,1,0,Closed,1,5.99,251930,Medium,Medium,High,0
lead:00000125,0,0.51,0,0,0.337,0.66,NON SALES,12,1,stale,5.7,1,0,Follow Up / Negot.,18,0.2168,202370,Low,High,High,0
lead:00000126,0,0.6,5,1,0.488,0.47,NON SALES,1,0,cold,1.0,1,1,Sales Follow Up,6,0.4239,44800,Medium,Low,High,1
lead:00000127,1,2.49,0,0,0.618,0.5,SALES,9,1,fresh,4.8,0,0,On Hold,65,0.0232,98530,High,High,Low,1
lead:00000128,1,0.71,0,0,0.504,0.46,NON SALES,5,1,stale,3.7,1,1,Follow Up / Negot.,14,0.2793,588230,Medium,Low,Medium,1
lead:00000129,0,2.67,0,0,0.649,0.68,SALES,10,1,cold,4.9,1,0,Quotation,18,0.2023,86800,High,High,Medium,1
lead:00000130,1,1.2,1,1,0.461,0.62,NON SALES,12,1,active,5.0,0,0,Proposal Sent,23,0.1467,164610,High,Medium,Low,0
lead:00000131,1,2.78,1,0,0.65,0.04,SALES,12,1,cold,5.3,1,1,Contract Sent,10,0.4909,382910,High,High,High,1
lead:00000132,1,1.51,0,0,0.608,0.09,SALES,4,1,fresh,2.5,0,0,On Hold,81,0.0266,174050,High,Low,Low,0
lead:00000133,0,0.97,5,1,0.536,0.59,NON SALES,19,1,active,7.0,1,0,Closed,0,6.0,17920,Medium,Low,High,1
lead:00000134,0,0.76,0,0,0.389,0.63,NON SALES,10,1,cold,5.3,0,1,Quotation,23,0.147,422440,Low,High,Low,0
lead:00000135,1,2.02,0,0,0.629,0.48,SALES,7,1,stale,3.6,1,1,Proposal Sent,12,0.2986,225970,High,Medium,Medium,1
lead:00000136,0,0.38,0,0,0.501,0.5,NON SALES,12,1,cold,5.6,0,0,Sales Qualified,8,0.2488,342790,Low,Low,Low,0
lead:00000137,0,0.7,0,0,0.392,0.22,NON SALES,6,1,stale,3.2,1,0,Quotation,13,0.2668,285560,Low,Low,High,1
lead:00000138,0,0.35,1,0,0.319,0.31,NON SALES,3,1,fresh,1.8,1,0,Closed,0,6.0,19600,Low,Low,High,0
lead:00000139,0,0.0,0,0,0.362,-0.41,NON SALES,13,1,stale,6.4,1,1,Manual Follow Up,10,0.2596,406510,Low,Medium,Medium,0
lead:00000140,1,0.62,0,0,0.481,0.2,NON SALES,11,1,active,4.8,1,0,Quotation,10,0.349,441910,Medium,High,Low,1
lead:00000141,1,2.77,1,0,0.646,0.45,SALES,5,0,stale,2.6,0,0,New Lead,1,0.9971,33040,High,Low,Low,1
lead:00000142,0,0.36,0,0,0.444,0.43,NON SALES,15,1,stale,6.6,1,1,On Hold,35,0.0355,765230,Low,High,Low,0
lead:00000143,1,1.61,1,0,0.641,0.62,SALES,11,1,fresh,5.1,0,0,On Hold,44,0.0294,438370,High,High,Low,1
lead:00000144,0,0.83,4,1,0.55,0.46,NON SALES,5,1,stale,3.2,1,0,Closed,0,6.0,168150,Medium,Low,High,1
lead:00000145,0,2.41,0,0,0.654,-0.11,SALES,8,1,active,3.6,0,0,Quotation,25,0.1486,239540,High,Medium,Low,1
lead:00000146,0,0.77,0,0,0.488,0.13,NON SALES,13,1,stale,5.6,0,0,Lost,50,0.019,28000,Medium,High,Low,0
lead:00000147,0,0.0,0,0,0.404,-0.52,NON SALES,11,1,active,5.6,0,0,Sales Follow Up,5,0.5013,23520,Low,Medium,Low,0
lead:00000148,0,0.03,1,1,0.362,-0.11,NON SALES,17,1,stale,6.8,1,1,On Hold,32,0.0555,356360,Low,Low,Medium,0
lead:00000149,0,0.42,4,1,0.512,0.25,NON SALES,4,0,cold,2.7,1,1,Closed,1,5.9965,659620,Low,Low,High,1
lead:00000150,1,1.85,1,0,0.669,-0.71,SALES,5,1,stale,3.3,0,0,Sales Follow Up,14,0.1749,68320,Medium,Medium,Low,1
lead:00000151,0,0.51,7,1,0.507,0.17,NON SALES,12,1,stale,6.0,1,0,New Lead,3,0.3423,72240,Medium,High,High,0
lead:00000152,1,1.81,3,0,0.679,-0.3,SALES,4,1,fresh,2.1,1,1,Follow Up / Negot.,17,0.2331,220660,High,Low,Medium,1
lead:00000153,1,3.13,4,1,0.624,0.64,SALES,2,1,stale,1.7,1,0,Quotation,20,0.1669,63840,High,Low,Medium,1
lead:00000154,1,1.75,1,0,0.594,-0.8,SALES,5,1,stale,3.1,1,1,Quotation,22,0.1663,592950,Medium,Low,Low,0
lead:00000155,1,0.8,5,1,0.428,0.48,NON SALES,8,1,stale,4.3,1,1,Contract Sent,4,1.2462,328630,High,Medium,High,0
lead:00000156,0,1.97,0,0,0.656,-0.22,SALES,8,1,stale,3.8,1,1,Contract Sent,15,0.3353,355770,High,Medium,Medium,1
lead:00000157,0,0.13,1,1,0.368,0.3,NON SALES,9,1,stale,4.3,1,0,Closed,1,5.9916,53760,Low,Medium,High,0
lead:00000158,1,0.64,0,0,0.397,0.1,NON SALES,17,1,active,7.5,1,0,Closed,2,3.0014,113870,Medium,High,High,0
lead:00000159,1,1.14,0,0,0.528,0.33,NON SALES,7,1,cold,3.8,1,0,Follow Up / Negot.,11,0.3646,57680,Medium,High,Medium,1
lead:00000160,0,0.92,1,1,0.451,0.47,NON SALES,12,1,cold,5.5,0,1,Sales Follow Up,18,0.1362,141010,Medium,Medium,Low,0
lead:00000161,1,0.92,1,0,0.47,0.37,NON SALES,8,1,cold,4.2,1,0,Contract Sent,4,1.2402,60480,Medium,Medium,High,1
lead:00000162,1,0.21,0,0,0.489,-0.36,NON SALES,6,1,stale,3.2,1,1,Lost,59,0.01,551650,Low,Medium,Low,0
lead:00000163,0,1.98,3,1,0.625,0.44,SALES,7,1,fresh,3.6,1,0,Lost,56,0.0186,260780,High,Medium,Medium,1
lead:00000164,1,1.99,0,0,0.666,-0.67,SALES,12,1,stale,5.5,1,0,Lost,19,0.0565,117410,High,High,Medium,0
lead:00000165,1,1.88,6,1,0.627,-0.59,SALES,4,1,stale,3.2,1,0,Quotation,24,0.1399,35280,High,Low,Medium,1
lead:00000166,0,2.84,0,0,0.698,0.63,SALES,8,1,active,3.8,0,1,Lost,41,0.0164,487340,High,High,Low,1
lead:00000167,0,1.89,6,1,0.525,0.38,SALES,3,1,active,2.3,1,0,Quotation,13,0.2737,173460,High,Medium,Medium,1
lead:00000168,0,0.79,0,0,0.476,0.54,NON SALES,8,1,active,4.1,1,0,Closed,3,2.0061,16800,Medium,Medium,High,0
lead:00000169,1,1.61,3,1,0.572,0.59,NON SALES,6,1,stale,3.8,1,0,New Lead,1,1.009,199420,High,Low,Medium,0
lead:00000170,1,2.81,0,0,0.576,0.54,SALES,5,0,fresh,2.6,1,0,Follow Up / Negot.,18,0.2168,66080,High,Low,Medium,1
lead:00000171,1,1.52,0,0,0.528,0.66,SALES,11,1,fresh,5.0,1,0,Proposal Sent,28,0.1278,312700,High,Medium,Medium,1
lead:00000172,1,1.32,0,0,0.458,0.64,NON SALES,9,1,fresh,5.0,1,1,Contract Sent,3,1.6761,735730,Medium,High,Medium,0
lead:00000173,0,0.4,7,1,0.258,0.39,NON SALES,7,1,cold,3.9,1,0,Closed,3,2.0036,424800,Low,High,High,0
lead:00000174,0,1.38,0,0,0.45,0.67,NON SALES,7,1,active,3.7,1,0,Lost,32,0.0352,210040,Medium,Medium,Medium,1
lead:00000175,0,0.0,0,0,0.493,-0.42,NON SALES,7,1,stale,3.5,1,1,Follow Up / Negot.,18,0.2276,531590,Low,Low,High,0
lead:00000176,1,2.35,0,0,0.631,0.2,SALES,14,1,active,6.0,1,0,Sales Qualified,72,0.0301,328630,High,High,Low,1
lead:00000177,0,2.96,0,0,0.619,0.65,SALES,11,1,active,5.1,1,0,Sales Qualified,4,0.5075,204730,High,Medium,High,1
lead:00000178,0,0.4,0,0,0.402,0.25,NON SALES,8,1,active,4.0,1,1,Lost,30,0.0319,582920,Low,Medium,Low,1
lead:00000179,1,2.38,1,0,0.593,0.41,SALES,2,1,cold,2.6,0,0,Sales Follow Up,14,0.1884,26320,High,Low,Low,1
lead:00000180,0,0.72,6,1,0.484,0.18,NON SALES,14,1,stale,6.8,0,1,Follow Up / Negot.,24,0.1728,330990,Medium,High,Medium,1
lead:00000181,0,0.47,6,1,0.444,0.42,NON SALES,12,1,cold,5.6,0,0,On Hold,69,0.0278,231280,Low,Medium,Low,1
lead:00000182,1,2.23,0,0,0.681,-0.7,SALES,14,1,cold,6.3,0,0,Lost,25,0.0333,341610,High,High,Low,0
lead:00000183,1,2.19,0,0,0.65,-0.04,SALES,15,1,active,6.5,0,0,Proposal Sent,17,0.2153,271990,High,High,Low,1
lead:00000184,0,2.4,0,0,0.645,-0.65,SALES,6,1,cold,3.4,1,1,Follow Up / Negot.,23,0.1673,577020,High,Low,High,1
lead:00000185,0,0.0,0,0,0.351,-0.42,NON SALES,6,1,stale,3.2,1,1,Contract Sent,6,0.8348,474360,Low,Medium,Medium,0
lead:00000186,1,0.51,1,0,0.352,-0.02,NON SALES,11,1,active,5.1,1,1,Contract Sent,5,1.0076,64400,Medium,Medium,High,1
