,product_type,product_complexity,product_base_price,product_tax_rate,price_tier,capacity_tons,capacity_bin,product_x_capacity,total_price_with_tax,capacity_price_ratio,quotation_sent,is_enterprise_deal,industry_close_rate,pipeline_stage,is_repeat_customer,days_in_pipeline,pipeline_velocity,sale_score
1,4,5,3,18,4,2,3,12,3,1,1,1,1,10,1,2,2,0.7714
3,6,5,2,18,3,2,3,21,2,2,1,1,2,4,0,3,1,0.5942
3,11,4,2,18,2,2,2,40,2,2,1,1,3,10,1,2,2,0.8976
3,22,3,2,18,2,2,2,81,2,2,1,1,2,2,0,1,3,0.9033
3,11,3,2,18,2,2,2,40,2,2,1,0,2,6,1,2,2,0.9133
3,22,3,2,18,3,2,3,79,2,2,1,0,1,11,0,1,3,0.6936
3,20,4,2,18,3,2,3,72,2,2,1,0,1,10,1,3,1,0.7056
1,18,4,3,18,4,3,4,64,3,2,1,1,1,5,0,3,1,0.4262
3,5,4,2,18,2,2,2,19,2,2,1,1,2,10,0,2,2,0.6729
1,12,5,3,18,4,3,4,42,3,2,0,1,1,5,0,2,1,0.0597
2,3,3,1,12,2,2,3,10,1,3,0,0,2,7,0,1,2,0.1604
2,9,2,1,12,1,1,1,30,1,2,1,0,3,10,0,2,2,0.6657
2,7,1,1,12,1,1,1,24,1,3,0,0,3,11,0,2,2,0.2564
1,4,4,3,18,4,3,4,13,3,2,1,1,1,5,0,3,1,0.441
3,16,3,2,18,2,2,2,58,2,2,0,0,3,9,0,2,2,0.26
3,6,4,2,18,3,1,1,20,2,1,0,0,1,10,1,2,2,0.47
1,18,4,3,18,3,3,5,65,3,3,1,1,1,1,0,1,3,0.818
3,13,3,2,18,2,1,1,45,2,1,1,0,2,1,1,1,3,0.9701
1,12,5,3,18,4,2,2,44,3,1,1,1,2,10,0,1,3,0.675
1,10,3,2,18,3,3,4,34,2,3,0,1,1,4,1,2,2,0.6552
3,16,4,2,18,2,2,3,56,2,2,1,0,2,10,1,2,2,0.8468
1,10,3,2,18,3,3,4,34,2,3,1,1,2,4,0,2,2,0.7583
1,10,3,2,18,3,3,5,35,2,3,0,0,2,8,0,3,1,0.1214
2,3,3,2,12,2,2,2,11,2,2,1,0,3,7,0,1,2,0.4871
1,2,4,2,18,3,3,5,7,2,3,0,1,1,4,0,2,2,0.3072
2,9,2,1,12,1,2,2,32,1,3,1,0,3,4,0,2,2,0.7948
3,13,3,1,18,2,2,3,46,2,3,1,0,2,9,0,2,2,0.6563
1,1,4,3,18,4,2,3,1,3,1,1,1,1,9,0,2,2,0.5057
2,15,1,1,12,1,1,1,52,1,2,1,0,3,4,0,2,2,0.7962
3,13,2,2,18,2,3,4,47,2,3,0,1,2,9,0,2,2,0.2831
3,5,4,2,18,2,2,2,19,2,2,1,0,2,9,0,2,2,0.6507
2,15,1,1,12,1,1,1,52,1,2,1,0,3,1,0,1,3,0.9132
3,22,4,2,18,2,2,3,79,2,2,1,0,2,10,0,2,2,0.5802
1,12,4,3,18,4,2,3,41,3,1,0,1,1,4,0,2,2,0.2141
2,7,2,1,12,1,1,1,24,1,2,1,0,3,11,0,2,2,0.6524
2,14,3,2,12,2,1,1,49,2,1,0,0,2,5,0,3,1,0.1287
3,20,4,2,18,3,1,1,71,2,1,1,0,1,12,0,1,2,0.3533
1,17,3,2,18,3,2,2,62,2,1,1,0,2,7,1,1,3,0.9433
2,15,1,1,12,1,2,3,53,1,3,1,0,3,1,0,1,3,0.9095
2,21,3,2,12,2,2,2,77,2,2,1,0,3,2,1,1,3,0.9561
1,12,4,3,18,4,3,4,42,3,2,1,1,1,8,0,3,1,0.3586
2,7,1,1,12,1,2,2,26,1,3,0,0,2,11,0,1,3,0.3915
3,13,2,2,18,2,1,1,45,2,1,1,0,2,10,0,2,2,0.6387
1,19,4,2,18,3,3,4,68,2,3,1,1,2,9,1,2,2,0.8736
3,20,5,2,18,3,2,2,74,2,2,1,1,2,1,0,1,3,0.8929
1,12,4,3,18,4,2,2,44,3,1,1,1,2,8,0,3,1,0.4136
2,15,1,1,12,1,1,1,52,1,2,1,0,3,11,0,2,2,0.6567
3,11,4,2,18,2,2,2,40,2,2,1,0,2,7,0,1,2,0.541
1,10,4,2,18,3,3,5,35,2,3,0,0,2,3,1,2,2,0.6274
3,11,4,2,18,2,1,1,37,2,1,0,0,2,11,0,2,2,0.1832
2,15,1,1,12,1,1,1,52,1,2,1,1,3,10,1,2,2,0.9123
2,15,1,1,12,1,1,1,52,1,1,0,0,3,3,0,1,3,0.5889
2,21,3,1,12,2,1,1,75,1,2,0,0,2,7,0,1,2,0.1576
2,3,2,1,12,1,2,2,11,1,3,1,0,3,4,0,2,2,0.8027
3,11,3,2,18,2,2,3,38,2,2,1,0,3,3,0,2,2,0.7777
3,6,4,2,18,3,3,4,22,2,3,1,0,2,9,0,2,2,0.6141
1,12,5,2,18,3,2,3,41,2,2,1,1,2,10,1,2,2,0.8503
3,16,4,2,18,2,2,2,58,2,2,1,0,2,9,1,2,2,0.874
1,4,4,3,18,4,3,4,13,3,2,1,1,1,9,0,3,1,0.3441
3,13,3,2,18,2,2,3,46,2,3,0,0,3,10,0,2,2,0.2262
1,10,4,2,18,3,2,3,33,2,2,1,1,2,9,1,2,2,0.8713
3,5,4,2,18,2,2,3,17,2,3,0,0,2,9,0,2,2,0.2173
3,16,3,2,18,2,3,4,57,2,3,1,1,2,9,1,3,1,0.8085
2,7,2,1,12,1,2,2,26,1,3,0,0,3,12,0,2,2,0.2309
1,4,4,3,18,4,3,4,13,3,2,1,1,2,1,0,1,3,0.8384
2,3,3,1,12,2,2,2,11,1,2,1,0,3,4,0,2,2,0.7772
3,5,2,2,18,2,2,2,19,2,2,1,0,2,5,0,3,1,0.6258
3,5,4,2,18,2,1,1,16,2,1,0,0,3,11,0,2,2,0.2078
1,17,3,2,18,3,2,3,59,2,2,1,0,1,12,0,2,2,0.4935
2,14,2,1,12,2,2,2,51,1,2,1,0,2,4,1,3,1,0.8679
3,6,4,2,18,3,1,1,20,2,1,1,0,2,10,0,2,2,0.5941
2,9,2,1,12,1,2,2,32,1,3,1,0,3,4,0,3,2,0.8774
1,19,4,2,18,3,2,2,70,2,2,1,1,2,12,0,1,2,0.4373
1,1,5,3,18,4,2,3,1,3,1,0,1,2,8,0,3,1,0.0895
3,5,2,2,18,2,2,2,19,2,2,1,0,3,10,0,2,2,0.6891
2,9,2,1,12,1,2,2,32,1,3,1,0,3,10,0,2,2,0.6775
1,2,4,2,18,3,2,3,5,2,2,1,0,1,1,0,1,3,0.8554
1,10,3,2,18,3,2,2,36,2,2,1,0,2,4,1,2,2,0.9211
2,9,1,1,12,1,1,1,30,1,2,1,1,3,11,1,1,3,0.9501
3,5,3,2,18,2,2,2,19,2,2,0,0,2,8,0,3,1,0.1598
1,1,5,3,18,4,2,2,4,3,1,1,1,1,4,0,2,2,0.6458
2,14,2,2,12,2,1,1,49,2,2,1,0,2,10,1,2,2,0.8213
3,22,5,2,18,2,1,1,78,2,1,0,0,2,9,0,2,2,0.1983
1,17,3,3,18,3,3,4,60,3,2,1,1,2,2,0,2,3,0.9038
3,11,3,2,18,2,3,4,39,2,3,0,0,2,8,1,3,1,0.3975
2,7,2,1,12,1,2,2,26,1,3,1,0,3,1,0,1,3,0.9158
1,1,5,3,18,3,2,2,4,3,1,0,1,2,10,0,2,2,0.1648
3,6,4,2,18,3,1,1,20,2,1,1,1,2,9,0,2,2,0.6647
1,12,4,3,18,3,2,2,44,3,1,0,0,1,12,0,1,2,0.0621
3,20,4,2,18,3,2,2,74,2,1,1,0,2,10,1,2,2,0.8564
2,8,2,1,12,1,1,1,27,1,3,1,0,2,1,0,1,3,0.9011
1,12,4,3,18,3,2,3,41,3,2,1,1,1,6,0,2,2,0.5865
1,18,5,3,18,3,2,3,63,3,1,1,0,2,10,0,2,2,0.4344
2,7,2,1,12,1,1,1,24,1,2,0,0,3,7,0,1,3,0.4844
1,1,4,3,18,4,3,4,2,3,2,1,1,1,8,0,3,1,0.37
1,17,3,3,18,3,3,5,61,3,3,0,0,1,8,0,3,1,0.0769
3,6,5,2,18,2,2,2,23,2,2,1,0,2,1,0,1,3,0.8853
1,10,4,2,18,3,2,3,33,2,2,0,0,2,10,0,2,2,0.1729
2,7,1,1,12,1,1,1,24,1,3,0,0,3,5,0,3,1,0.2429
2,15,1,1,12,1,2,2,54,1,3,0,0,3,11,0,1,3,0.4018
1,18,4,3,18,3,3,5,65,3,3,1,1,2,8,1,3,1,0.7149
1,1,4,3,18,4,3,4,2,3,1,1,1,2,1,1,1,3,0.9545
2,21,3,1,12,2,2,3,76,1,3,0,0,2,11,0,2,2,0.1801
2,14,3,1,12,2,1,1,49,1,2,1,0,3,7,1,1,2,0.8352
1,10,4,2,18,3,2,3,33,2,2,1,1,1,4,0,2,2,0.716
2,21,2,1,12,2,2,3,76,1,3,1,0,3,10,0,2,2,0.6368
1,18,4,3,18,4,3,5,65,3,3,1,1,1,10,0,2,2,0.4592
1,19,4,3,18,3,2,3,67,3,2,1,1,2,2,0,1,3,0.8223
1,18,5,3,18,3,3,4,64,3,3,1,1,2,2,0,2,2,0.687
2,3,2,1,12,1,1,1,9,1,1,1,0,2,1,0,1,3,0.9026
3,13,2,2,18,2,2,2,48,2,2,1,0,3,1,0,1,3,0.9137
2,3,3,1,12,2,2,2,11,1,2,1,0,3,4,0,2,2,0.7772
3,13,3,2,18,2,1,1,45,2,1,0,1,2,11,0,2,2,0.2317
2,14,3,1,12,2,1,1,49,1,1,1,0,3,2,1,1,3,0.9685
1,1,4,3,18,4,2,2,4,3,1,1,1,2,5,0,3,1,0.5016
1,2,3,2,18,3,3,4,6,2,3,1,0,2,5,0,3,1,0.5549
3,11,4,2,18,2,3,4,39,2,3,1,0,3,5,1,2,1,0.7473
2,9,2,1,12,1,1,1,30,1,3,1,0,3,10,0,2,2,0.6669
1,18,4,3,18,4,3,4,64,3,2,0,1,1,5,0,3,1,0.1109
3,6,4,2,18,2,2,2,23,2,2,1,0,2,10,0,2,2,0.6284
2,8,1,1,12,1,1,1,27,1,3,1,0,3,1,1,1,3,0.978
1,10,3,2,18,3,3,5,35,2,3,1,0,2,7,0,1,3,0.7814
2,21,2,1,12,2,1,1,75,1,2,1,0,2,4,0,2,2,0.7523
1,2,4,2,18,3,3,4,6,2,2,1,0,2,9,1,3,1,0.7528
1,1,4,3,18,4,2,3,1,3,1,1,1,1,2,0,1,3,0.8055
1,12,4,3,18,3,3,4,42,3,2,1,0,2,1,1,1,3,0.9459
3,6,4,2,18,3,1,1,20,2,1,1,0,2,5,0,3,1,0.5516
1,1,5,3,18,4,2,2,4,3,1,1,1,1,4,1,2,2,0.8799
1,2,4,3,18,3,2,2,8,3,1,1,0,2,12,0,3,1,0.3016
3,16,3,2,18,3,2,2,58,2,2,1,0,2,12,1,1,3,0.9117
1,4,4,3,18,4,3,4,13,3,2,1,1,1,5,0,3,1,0.441
2,8,2,1,12,1,2,2,29,1,3,0,0,3,11,0,2,2,0.2456
1,2,4,3,18,3,2,3,5,3,2,0,1,2,4,1,2,2,0.5799
3,20,4,2,18,3,2,2,74,2,2,0,0,2,8,0,3,1,0.1343
1,19,4,3,18,3,2,3,67,3,2,0,0,2,5,0,2,1,0.0606
3,22,5,2,18,3,2,2,81,2,1,0,0,1,9,0,2,2,0.1832
1,12,4,3,18,4,2,3,41,3,1,1,1,1,4,1,2,2,0.8669
1,17,4,3,18,4,2,2,62,3,1,1,1,1,2,0,1,3,0.817
2,14,3,1,12,2,2,2,51,1,2,1,1,3,2,0,1,3,0.908
1,17,4,3,18,3,3,4,60,3,2,1,1,2,4,0,3,2,0.7805
3,16,3,2,18,3,2,2,58,2,2,1,0,2,1,0,1,3,0.8875
3,16,3,2,18,2,2,3,56,2,2,0,0,2,11,0,1,3,0.3102
2,15,1,1,12,1,1,1,52,1,1,1,0,3,10,0,3,1,0.5153
1,18,4,3,18,4,2,3,63,3,1,0,1,1,6,0,2,1,0.0561
1,1,5,3,18,4,3,4,2,3,2,1,1,1,6,0,2,1,0.264
2,8,2,1,12,1,1,1,27,1,2,1,0,3,10,0,2,2,0.6704
1,10,3,2,18,3,2,2,36,2,2,1,0,2,10,1,1,3,0.9261
3,13,2,2,18,2,1,1,45,2,1,0,0,2,7,0,1,3,0.4442
3,22,5,2,18,3,1,1,78,2,1,1,0,2,9,1,2,2,0.8472
1,12,4,3,18,4,3,4,42,3,2,1,1,1,2,0,2,3,0.882
2,14,2,1,12,2,1,1,49,1,1,1,0,2,10,0,2,2,0.6249
1,10,4,2,18,3,2,2,36,2,1,1,0,2,2,1,1,3,0.9629
2,9,1,1,12,1,1,1,30,1,3,1,0,3,2,0,2,3,0.9474
1,4,5,3,18,4,2,2,15,3,1,1,1,2,2,1,2,2,0.9082
3,11,4,2,18,2,2,3,38,2,2,1,1,3,4,1,2,2,0.9345
3,11,4,2,18,2,3,4,39,2,3,0,1,2,11,0,2,2,0.2123
3,5,4,2,18,2,2,3,17,2,3,1,0,2,1,1,1,3,0.9675
3,13,2,2,18,2,2,2,48,2,2,0,0,2,5,0,3,1,0.2128
1,4,5,3,18,4,3,5,14,3,3,0,1,2,12,0,2,2,0.1123
2,21,3,1,12,2,2,2,77,1,2,1,0,3,5,0,2,1,0.4461
1,2,3,2,18,3,3,5,7,2,3,1,1,2,4,0,3,1,0.6174
1,19,4,2,18,3,2,3,67,2,2,1,0,2,4,0,2,2,0.6951
3,13,3,2,18,2,1,1,45,2,1,1,0,2,10,0,3,1,0.4506
3,22,4,2,18,3,1,1,78,2,1,1,1,1,2,1,2,2,0.9312
3,5,3,2,18,2,3,4,18,2,3,1,1,2,2,1,2,3,0.9854
1,10,3,2,18,3,3,4,34,2,2,1,0,1,4,0,3,2,0.8087
2,8,1,1,12,1,2,3,28,1,3,1,0,2,1,0,1,3,0.9041
3,16,3,2,18,3,1,1,55,2,1,1,1,1,6,1,2,1,0.7269
3,13,2,2,18,2,1,1,45,2,1,1,1,2,3,0,2,2,0.8154
3,13,2,2,18,2,2,2,48,2,2,1,1,3,10,1,2,2,0.9129
1,4,5,3,18,4,2,3,12,3,2,1,1,2,10,1,3,1,0.656
1,4,5,3,18,4,2,2,15,3,1,1,1,2,2,0,2,2,0.7113
2,3,3,1,12,2,1,1,9,1,2,1,0,3,1,1,1,3,0.9729
2,3,2,1,12,1,1,1,9,1,2,1,0,2,2,1,2,2,0.9446
2,21,3,1,12,2,1,1,75,1,2,1,0,2,1,0,1,3,0.8826
2,3,3,1,12,2,1,1,9,1,2,1,0,2,10,1,2,2,0.8667
1,17,4,2,18,3,2,2,62,2,1,1,1,1,4,0,2,2,0.7415
3,11,4,2,18,2,2,3,38,2,2,1,0,2,12,1,1,2,0.7149
3,20,4,2,18,3,3,4,73,2,3,1,0,1,1,1,1,3,0.9604
2,3,3,1,12,1,1,1,9,1,2,1,0,3,11,0,1,3,0.7747
3,22,5,2,18,3,2,3,79,2,2,0,0,1,12,0,2,2,0.1278
3,6,4,2,18,3,3,4,22,2,3,0,0,2,10,0,3,1,0.1086
2,8,2,1,12,1,1,1,27,1,2,1,0,3,10,0,2,2,0.6704
3,5,4,2,18,2,1,1,16,2,1,1,1,2,8,0,3,1,0.5403
3,6,4,2,18,3,1,1,20,2,1,0,0,1,5,0,3,1,0.1565
2,21,2,1,12,1,1,1,75,1,1,1,0,3,1,0,1,3,0.9062
2,3,2,2,12,2,2,2,11,2,2,1,0,3,4,1,2,2,0.9123
1,2,3,2,18,3,2,3,5,2,2,1,0,2,2,1,2,3,0.9796
3,11,4,2,18,2,2,3,38,2,2,1,1,2,2,0,2,3,0.9347
1,12,4,3,18,3,3,5,43,3,3,1,1,2,4,1,3,2,0.9338
1,2,3,2,18,3,3,5,7,2,3,1,1,2,4,0,2,2,0.7618
1,1,5,3,18,4,2,3,1,3,1,1,1,2,2,1,1,3,0.9446
3,13,3,2,18,2,1,1,45,2,1,0,0,3,10,0,2,2,0.2332
2,21,3,1,12,2,2,2,77,1,2,0,0,3,6,0,2,2,0.309
1,19,3,2,18,3,2,3,67,2,2,1,1,2,2,0,1,3,0.8806
2,3,2,1,12,2,2,2,11,1,2,1,0,3,5,0,3,1,0.6335
3,11,3,2,18,2,1,1,37,2,1,1,1,2,4,1,2,2,0.9358
1,12,5,3,18,3,2,3,41,3,1,1,0,2,8,0,3,1,0.327
1,2,4,2,18,3,2,3,5,2,2,0,1,2,9,1,2,2,0.5483
2,9,1,1,12,1,1,1,30,1,2,1,0,2,10,1,2,2,0.8865
2,21,2,1,12,2,2,2,77,1,2,1,0,2,1,1,1,3,0.9718
2,14,3,2,12,2,2,2,51,2,2,1,0,2,1,1,1,3,0.9565
1,12,4,3,18,3,2,2,44,3,1,1,0,1,5,1,3,1,0.7508
3,13,3,2,18,2,1,1,45,2,1,1,0,3,9,0,2,2,0.6672
3,22,5,2,18,3,2,2,81,2,1,1,1,2,2,0,2,3,0.9315
1,18,5,3,18,4,2,2,66,3,1,1,1,1,4,0,3,1,0.4614
1,19,4,2,18,3,2,3,67,2,2,1,0,1,4,0,2,2,0.6718
2,9,1,1,12,1,1,1,30,1,2,1,0,3,1,1,1,3,0.9774
1,17,4,3,18,3,3,5,61,3,3,1,1,2,9,0,2,2,0.5263
3,16,4,2,18,3,2,2,58,2,1,1,0,1,1,1,1,3,0.963
1,2,4,2,18,3,3,5,7,2,3,1,1,2,2,1,1,3,0.9663
1,17,3,2,18,3,2,2,62,2,1,1,1,2,6,0,2,2,0.7391
3,16,3,2,18,3,2,3,56,2,2,0,0,2,12,0,2,2,0.1612
2,14,3,2,12,2,1,1,49,2,1,0,0,2,7,0,3,1,0.1075
3,11,3,2,18,2,2,3,38,2,2,1,0,3,1,1,3,1,0.8969
1,10,3,2,18,3,2,3,33,2,2,0,1,1,4,0,3,1,0.1886
3,6,4,2,18,3,1,1,20,2,1,1,1,2,2,0,1,3,0.8892
3,5,4,2,18,2,2,2,19,2,2,0,0,2,6,0,2,2,0.2982
3,22,5,2,18,3,1,1,78,2,1,0,0,1,8,0,3,1,0.1042
2,21,3,1,12,1,2,2,77,1,3,1,0,2,10,1,2,2,0.8725
2,15,1,1,12,1,2,3,53,1,3,1,0,3,8,0,3,1,0.5561
1,17,4,3,18,3,2,3,59,3,2,1,1,2,12,1,2,2,0.77
1,2,4,2,18,3,2,3,5,2,2,1,0,1,9,1,2,2,0.8413
3,6,5,2,18,3,2,2,23,2,2,1,0,1,1,1,1,3,0.9631
2,7,1,1,12,1,1,1,24,1,3,1,0,2,4,1,2,2,0.938
3,5,3,2,18,2,2,2,19,2,2,1,0,3,2,0,1,3,0.9013
2,3,3,1,12,2,1,1,9,1,2,1,1,2,9,0,2,2,0.6867
1,1,4,3,18,4,3,5,3,3,2,1,1,1,2,0,2,3,0.8824
3,22,3,2,18,2,2,2,81,2,2,0,0,3,11,0,2,2,0.2235
3,22,5,2,18,2,1,1,78,2,1,1,0,2,4,1,2,2,0.9078
3,6,5,2,18,3,1,1,20,2,1,0,0,2,5,0,3,1,0.1597
3,6,5,2,18,3,3,4,22,2,3,1,0,2,9,0,2,2,0.5941
3,6,4,2,18,3,1,1,20,2,1,0,0,2,7,0,1,2,0.1531
1,12,4,2,18,3,2,3,41,2,2,1,1,2,4,0,2,2,0.7394
3,16,3,2,18,2,1,1,55,2,1,1,1,3,7,0,1,3,0.8516
1,2,4,2,18,3,3,4,6,2,3,1,1,1,8,0,3,1,0.4811
3,13,2,2,18,2,2,2,48,2,2,1,0,3,8,0,3,1,0.5689
2,7,1,1,12,1,2,2,26,1,3,1,0,3,10,0,2,2,0.7045
3,22,3,2,18,3,3,4,80,2,2,1,0,1,8,1,3,1,0.7627
1,17,3,3,18,3,3,4,60,3,2,0,0,2,11,0,3,1,0.0663
1,19,3,2,18,3,2,2,70,2,2,1,1,2,9,0,2,2,0.6795
3,20,4,2,18,3,3,4,73,2,3,1,0,2,4,0,3,1,0.5574
3,11,4,2,18,2,1,1,37,2,2,1,0,2,9,1,2,2,0.8687
2,14,3,1,12,2,2,2,51,1,3,0,0,2,7,0,1,3,0.4235
2,15,1,1,12,1,1,1,52,1,3,1,0,3,1,0,1,3,0.9136
2,3,3,1,12,2,2,3,10,1,3,1,0,2,8,0,3,1,0.4891
1,2,3,2,18,3,3,4,6,2,3,1,1,1,12,0,2,2,0.5705
1,19,4,2,18,3,3,4,68,2,3,1,0,2,4,0,2,2,0.7008
1,2,3,2,18,3,3,4,6,2,2,0,1,2,12,1,2,2,0.4982
3,5,2,2,18,2,2,2,19,2,2,1,0,2,2,1,2,3,0.9851
2,3,3,1,12,1,1,1,9,1,2,1,0,3,5,0,3,1,0.6177
2,15,1,1,12,1,1,1,52,1,1,1,0,3,1,0,1,3,0.9127
3,20,4,2,18,3,2,2,74,2,1,1,0,1,10,1,2,2,0.8426
1,19,4,2,18,3,2,3,67,2,2,0,1,2,12,0,1,2,0.1009
2,21,3,1,12,2,1,1,75,1,2,1,0,2,9,0,3,1,0.4584
3,22,4,2,18,3,1,1,78,2,1,0,0,2,6,0,2,1,0.0856
3,6,5,2,18,3,3,4,22,2,3,0,0,2,5,0,3,1,0.1572
2,21,2,1,12,2,2,2,77,1,2,0,0,2,12,0,1,2,0.1136
2,14,2,2,12,2,2,2,51,2,2,1,0,2,10,0,2,2,0.5455
2,8,2,1,12,1,1,1,27,1,3,1,0,3,1,1,1,3,0.9761
3,13,2,2,18,2,1,1,45,2,1,1,0,3,1,0,1,3,0.9072
1,1,5,3,18,4,2,2,4,3,1,0,1,2,12,0,1,2,0.0755
2,15,1,1,12,1,2,2,54,1,3,1,0,3,10,0,2,2,0.6908
1,18,5,3,18,4,2,2,66,3,1,1,1,1,12,0,1,2,0.289
1,10,4,2,18,3,3,4,34,2,2,1,0,2,2,0,2,3,0.9132
1,10,4,2,18,3,2,3,33,2,2,1,1,1,4,0,3,2,0.8232
3,11,4,2,18,2,2,2,40,2,2,1,1,2,9,1,3,1,0.8148
1,10,4,2,18,3,3,5,35,2,3,1,1,2,6,1,2,2,0.9003
1,4,4,3,18,4,2,3,12,3,1,1,1,1,10,0,2,2,0.4774
1,2,3,2,18,3,2,3,5,2,2,1,1,2,4,0,3,2,0.8575
2,9,2,1,12,1,1,1,30,1,3,1,0,3,11,0,2,2,0.6439
3,6,4,2,18,2,2,2,23,2,2,1,0,2,9,0,3,1,0.4858
1,10,4,2,18,3,3,5,35,2,3,0,0,1,6,0,2,2,0.217
3,5,2,2,18,2,2,2,19,2,2,1,0,2,4,0,2,2,0.7858
2,21,2,1,12,1,1,1,75,1,2,1,0,3,1,0,1,3,0.9066
2,21,2,1,12,2,1,1,75,1,1,0,0,3,8,0,3,1,0.1594
1,19,4,2,18,3,2,2,70,2,1,1,1,2,1,0,1,3,0.8968
1,2,4,3,18,3,2,3,5,3,2,0,0,2,6,0,2,2,0.1864
1,4,5,3,18,4,2,3,12,3,1,0,1,1,8,0,3,1,0.0803
1,4,5,3,18,4,2,2,15,3,1,1,1,1,4,1,3,1,0.7852
3,20,5,2,18,3,1,1,71,2,1,1,0,2,1,1,3,1,0.8655
1,19,4,3,18,3,2,2,70,3,1,1,0,2,10,0,2,2,0.4942
3,6,5,2,18,3,1,1,20,2,1,0,0,1,4,1,2,2,0.6006
3,20,5,2,18,3,2,2,74,2,1,0,0,1,7,0,1,2,0.1315
1,2,3,2,18,3,2,2,8,2,1,0,1,2,10,0,2,2,0.2556
1,1,5,3,18,4,2,3,1,3,1,1,1,1,1,0,1,3,0.8083
1,12,5,3,18,3,3,5,43,3,3,0,1,2,8,0,3,1,0.0897
2,3,3,1,12,2,1,1,9,1,1,1,0,2,1,1,1,3,0.9698
