whatsapp_count,phone_count,email_count,total_interactions,dominant_channel,first_channel,last_channel,is_multi_channel,channel_switch_count,conversation_time_hours,conv_time_bucket,recency_bucket,engagement_depth,channel_x_stage,historical_deals_won,any_followup_responded,followup_response_rate,last_followup_task_type,agent_response_ratio,sale_closed
0,0,1,0.388888889,0,0,0,0,0,0.083472803,0.5,0,0.148148148,2,0,0,0.121242485,0,0,0.5711
0.285714286,1,0.714285714,0.777777778,1,0,1,1,0.2,0.012343096,1,0,0.518518519,9,0.125,1,0.685370741,3,0.175,0.6225
0.285714286,0.428571429,0.857142857,0.611111111,1,2,1,1,0.8,0.170711297,0.5,0.33,0.518518519,14,0,0,0.180360721,3,0.9825,0.2326
1,0.428571429,1,0.944444444,2,2,2,1,0.6,0.035146444,1,1,0.333333333,16,0.75,1,0.639278557,0,0.3075,0.9164
0,1,0,0.388888889,1,1,1,0,0,0.045606695,1,0.67,0.518518519,15,0,0,0.056112224,3,0.38,0.3299
0.428571429,0.285714286,1,0.666666667,0,2,1,1,0.4,0.004393305,1,0.67,0.444444444,2,0,1,0.375751503,2,0.395,0.5701
0.571428571,0.714285714,0.714285714,0.777777778,0,0,2,1,0.8,0.040167364,1,0,0.62962963,3,0,1,0.383767535,2,0.5,0.3707
0.714285714,1,0.142857143,0.722222222,1,2,1,1,1,0.207531381,0.5,1,0.555555556,9,0,1,0.47995992,2,0.0525,0.3932
0.571428571,0,0,0.222222222,2,2,2,0,0,0.192677824,0.5,0,0.518518519,21,0,1,0.720440882,0,0.685,0.1777
0.714285714,0,0,0.277777778,2,2,2,0,0,0.055020921,0.5,1,0.518518519,16,0,1,0.73747495,1,0.9725,0.7973
0.428571429,1,0.857142857,0.888888889,1,2,2,1,0.4,0.022175732,1,1,0.333333333,8,0,0,0.03507014,3,0.68,0.9328
0,0.714285714,0,0.277777778,1,1,1,0,0,0.066945607,0.5,0.33,0.555555556,13,0.5,1,0.855711423,0,0,0.5307
0,0,1,0.388888889,0,0,0,0,0,0.468410042,0,0,0.37037037,1,0,1,0.708416834,1,0,0.289
0.285714286,1,1,0.888888889,1,2,1,1,1,0.008577406,1,0.67,0.518518519,8,0,0,0.029058116,0,0,0.7543
0.857142857,0,0,0.333333333,2,2,2,0,0,0.378242678,0,0.33,0.296296296,16,0,0,0.054108216,3,0.8325,0.7045
0.142857143,0.428571429,1,0.611111111,0,2,0,1,0.4,0.14748954,0.5,0.67,0.259259259,7,0,0,0.067134269,1,1,0.4331
0.571428571,0.428571429,0.857142857,0.722222222,2,1,1,1,0.4,0.119037657,0.5,0.67,0.333333333,16,0,0,0.041082164,3,0.53,0.9083
1,0.428571429,0.428571429,0.722222222,2,0,0,1,0.2,0.252719665,0,0.33,0.592592593,21,0,1,0.619238477,2,0.19,0.4232
0.714285714,0.571428571,0.857142857,0.833333333,2,0,0,1,0.4,0.090585774,0.5,0.33,0.518518519,16,0.875,1,0.418837675,2,0.1925,0.848
0,0.857142857,0,0.333333333,1,1,1,0,0,0.082217573,0.5,0,0.592592593,13,0,0,0.141282565,0,0.2175,0.5227
0.285714286,0.142857143,0.857142857,0.5,0,2,1,1,1,0.107949791,0.5,0.33,0.555555556,1,0,0,0.189378758,1,0.5525,0.2903
0.714285714,0,0,0.277777778,2,2,2,0,0,0.152719665,0.5,0.67,0.37037037,23,0.375,1,0.529058116,2,0.595,0.7015
1,0.571428571,0.428571429,0.777777778,2,0,1,1,0.8,0.168828452,0.5,0,0.444444444,19,0,0,0.107214429,2,1,0.4105
0,0.571428571,0,0.222222222,1,1,1,0,0,1,0,0.33,0.37037037,8,0,1,0.73246493,3,0.3975,0.8431
0.142857143,0.428571429,0.571428571,0.444444444,0,2,0,1,0.2,0.275523013,0,0.33,0.444444444,3,0,1,0.336673347,3,0.4,0.2671
0,0,0.857142857,0.333333333,0,0,0,0,0,0.224267782,0.5,0.67,0.555555556,0,0.875,1,0.839679359,3,0,0.7601
0.285714286,0.428571429,1,0.666666667,0,0,2,1,0.2,0.030334728,1,0.67,0.296296296,0,0,1,0.890781563,2,0.0175,0.8979
0.857142857,0.428571429,0.714285714,0.777777778,2,0,1,1,0.2,0.031380753,1,0,0.666666667,19,0,0,0.106212425,0,0.37,0.2268
1,0.285714286,0.571428571,0.722222222,2,2,0,1,0.4,0.466736402,0,0.33,0.518518519,17,0,1,0.55511022,2,0,0.6529
1,0,0,0.388888889,2,2,2,0,0,0.031799163,1,0.33,0.222222222,18,0,0,0.133266533,3,0.695,0.4956
0,0,0.714285714,0.277777778,0,0,0,0,0,0.00376569,1,0.67,0.518518519,0,0,1,0.467935872,3,0.67,0.7507
1,0.571428571,0.857142857,0.944444444,2,2,1,1,1,0.190167364,0.5,0,0.518518519,18,0,1,0.662324649,1,0.1575,0.6005
1,0.571428571,0.142857143,0.666666667,2,2,0,1,1,0.114435146,0.5,0.67,0.37037037,20,0.875,0,0.023046092,3,0.365,0.2617
1,0.571428571,0.857142857,0.944444444,2,0,2,1,1,0.092677824,0.5,0.67,0.555555556,16,0,0,0.037074148,2,0,0.9828
0,0,0.571428571,0.222222222,0,0,0,0,0,0.030334728,1,0.67,0.296296296,0,0,1,0.936873747,2,0.5525,0.9399
0.285714286,0.142857143,0.857142857,0.5,0,2,1,1,0.4,0.045606695,1,0.67,0.481481481,5,0.75,1,0.873747495,3,0.7125,0.5864
1,0.571428571,0.285714286,0.722222222,0,2,1,1,0.2,0.527824268,0,0,0.259259259,2,0,1,0.669338677,2,0,0.5821
0,0,0.285714286,0.111111111,0,0,0,0,0,0.063807531,0.5,0.33,0.111111111,6,0,0,0.130260521,1,0.43,0.368
0,0,1,0.388888889,0,0,0,0,0,0.017154812,1,0.33,0.444444444,7,0,0,0.104208417,1,0.625,0.2369
0.285714286,0.714285714,0.428571429,0.555555556,2,0,2,1,0.4,0.031380753,1,0.67,0.222222222,16,0,0,0.157314629,1,0.6775,0.7822
1,0.142857143,0.571428571,0.666666667,2,1,0,1,0.4,0.096025105,0.5,0.67,0.518518519,16,0,0,0.00501002,2,0.755,0.802
0.571428571,0,0,0.222222222,2,2,2,0,0,0.3958159,0,0.67,0.407407407,16,0.75,1,0.373747495,4,0,0.8383
0,0,1,0.388888889,0,0,0,0,0,0.123012552,0.5,0,0.481481481,7,0,1,0.790581162,1,1,0.3014
0.285714286,1,0.714285714,0.777777778,0,1,1,1,0.4,0.121338912,0.5,0.67,0.518518519,5,0.625,0,0.162324649,1,0,0.6811
0.428571429,0,0,0.166666667,2,2,2,0,0,0.461297071,0,0,0.407407407,17,0,0,0.170340681,1,0.31,0.1856
1,0,0,0.388888889,2,2,2,0,0,0.042050209,1,0,0.37037037,21,0,0,0.094188377,1,0,0.3756
0,0.857142857,0,0.333333333,1,1,1,0,0,0.099372385,0.5,0,0.444444444,13,0,0,0.06012024,3,0.3,0.4406
0.142857143,0.714285714,1,0.722222222,0,2,1,1,0.8,0.175523013,0.5,0.33,0.074074074,6,0,0,0.129258517,2,0.58,0.599
0.857142857,0,0,0.333333333,2,2,2,0,0,0.223221757,0.5,0.33,0.407407407,22,0,1,0.902805611,3,0.185,0.5581
1,0,0,0.388888889,2,2,2,0,0,0.234728033,0.5,0.67,0.481481481,16,0,1,0.255511022,2,0.4925,0.8133
0,0,0.571428571,0.222222222,0,0,0,0,0,0.231799163,0.5,0.67,0.444444444,3,0,0,0.042084168,3,0.6375,0.1894
0.857142857,0.714285714,0.857142857,0.944444444,2,0,1,1,0.6,0.265062762,0,0,0.518518519,19,0,1,0.598196393,0,0.6075,0.3445
0.428571429,0,0,0.166666667,2,2,2,0,0,0.094142259,0.5,1,0.444444444,16,0,0,0.011022044,0,0.4175,0.8745
0.857142857,1,0.428571429,0.888888889,1,2,1,1,0.4,0.235564854,0.5,0.67,0.333333333,8,0,0,0.04509018,3,0.1725,0.8588
0,0,0.571428571,0.222222222,0,0,0,0,0,0.047698745,0.5,0.33,0.37037037,2,0,0,0.161322645,2,0.6775,0.5436
1,0.714285714,0.714285714,0.944444444,1,2,2,1,0.6,0.005230126,1,0.67,0.148148148,9,0,0,0.027054108,3,0.1725,0.5021
1,0.571428571,0.142857143,0.666666667,1,2,2,1,0.4,0.023849372,1,0.67,0.666666667,11,0,1,0.831663327,1,0.8025,0.4421
1,1,0.428571429,0.944444444,1,1,2,1,0.2,0.229707113,0.5,0.33,0.740740741,12,0.875,0,0.062124248,0,0.64,0.1701
0.285714286,0.285714286,1,0.611111111,0,0,2,1,1,0.275941423,0,0,0.333333333,3,0,1,0.699398798,0,0.1375,0.4511
0.571428571,0,0,0.222222222,2,2,2,0,0,0.206694561,0.5,0,0.518518519,19,0,0,0.185370741,2,0.8875,0.3939
0.571428571,0,0,0.222222222,2,2,2,0,0,0.041004184,1,0.67,0.407407407,17,0,1,0.812625251,3,0.9625,0.5137
0.714285714,0.428571429,1,0.833333333,0,1,0,1,1,0.060878661,0.5,1,0.518518519,0,0,0,0.002004008,2,0.485,0.8862
0.714285714,0.428571429,0.285714286,0.555555556,2,1,0,1,1,0.014016736,1,1,0.444444444,16,1,1,0.850701403,3,0.7625,0.7689
0,0,0.857142857,0.333333333,0,0,0,0,0,0.042259414,1,0.33,0.62962963,2,0,0,0.058116232,1,0.9475,0.464
0.857142857,0,0,0.333333333,2,2,2,0,0,0.078451883,0.5,1,0.444444444,16,0,0,0.095190381,1,0.3675,0.7387
0.571428571,0.285714286,0.571428571,0.555555556,2,1,2,1,0.4,0.539330544,0,0.67,0.37037037,22,1,1,0.632264529,3,0.6475,0.7684
1,0.428571429,0.714285714,0.833333333,0,2,0,1,0.8,0.255857741,0,0.67,0.296296296,0,0,1,0.827655311,0,0.495,0.7551
0.571428571,1,1,1,2,1,0,1,0.6,0.057112971,0.5,0,0.481481481,17,0,0,0.114228457,2,0.29,0.3505
0.857142857,0.428571429,0.428571429,0.666666667,0,1,2,1,0.2,0.269037657,0,0,0.407407407,3,0,1,0.495991984,0,0.3425,0.4105
0.428571429,1,0.428571429,0.722222222,1,0,0,1,0.4,0.057112971,0.5,0.33,0.407407407,15,0,1,0.977955912,0,0,0.4343
0.714285714,0.142857143,0.142857143,0.388888889,2,0,0,1,0.2,0.019037657,1,0.33,0.555555556,22,0.5,1,0.455911824,1,0,0.5684
0,0,0.428571429,0.166666667,0,0,0,0,0,0.015481172,1,0.33,0.62962963,6,0,1,0.411823647,4,0.29,0.3675
0.571428571,0,0,0.222222222,2,2,2,0,0,0.032217573,1,0.67,0.37037037,22,0,0,0.098196393,1,0.1025,0.1867
0.571428571,0.714285714,0.571428571,0.722222222,2,1,2,1,0.4,0.025523013,1,0.67,0.37037037,16,1,0,0.036072144,2,0.85,0.9798
0,0,0.571428571,0.222222222,0,0,0,0,0,0.328242678,0,0.67,0.222222222,2,0,0,0.059118236,2,0.2,0.5264
1,0.571428571,0.428571429,0.777777778,2,0,1,1,0.4,0.047698745,0.5,0.33,0.37037037,22,0,1,0.419839679,0,0.5075,0.4941
0.714285714,0.571428571,0.714285714,0.777777778,1,2,2,1,0.4,0.272803347,0,0.67,0.518518519,8,0.75,1,0.736472946,0,1,0.9302
0,0,1,0.388888889,0,0,0,0,0,0.14916318,0.5,0.67,0.555555556,6,0,0,0.194388778,2,0.8475,0.2619
0.857142857,0,0,0.333333333,2,2,2,0,0,0.058577406,0.5,1,0.37037037,20,0,0,0.085170341,1,0.6425,0.1428
0.571428571,1,1,1,2,2,1,1,1,0.223640167,0.5,1,0.555555556,16,0,1,0.741482966,1,0.89,0.8117
0,0,0.714285714,0.277777778,0,0,0,0,0,0.037238494,1,1,0.481481481,0,0,0,0.078156313,2,1,0.7781
0.714285714,0,0,0.277777778,2,2,2,0,0,0.075523013,0.5,1,0.407407407,16,0.625,1,0.843687375,2,0.95,0.9288
0.285714286,1,0.857142857,0.833333333,2,2,1,1,0.4,0.304393305,0,0.67,0.333333333,16,0,1,0.681362725,4,0.845,0.7828
0.285714286,1,0.571428571,0.722222222,2,2,1,1,0.8,0.006485356,1,0,0.407407407,21,0.25,0,0.094188377,3,0.8925,0.5407
0.714285714,0.857142857,0.714285714,0.888888889,2,1,0,1,0.8,0.09916318,0.5,0.33,0.444444444,18,0,0,0.008016032,1,0.0175,0.5108
0.571428571,0.285714286,1,0.722222222,0,2,0,1,0.4,0.150209205,0.5,0,0.518518519,3,0,0,0.103206413,2,0,0.4848
0.571428571,0.285714286,0.285714286,0.444444444,1,2,1,1,1,0.094142259,0.5,0,0.185185185,15,0,1,0.78757515,2,0.43,0.4133
0.428571429,0.714285714,1,0.833333333,0,2,2,1,0.8,0.320920502,0,0.33,0.518518519,2,0,0,0.123246493,2,0.215,0.5855
0.428571429,0,0,0.166666667,2,2,2,0,0,0.121338912,0.5,0.67,0.333333333,23,0,1,0.198396794,0,0.625,0.4748
0,0,1,0.388888889,0,0,0,0,0,0.464644351,0,0.67,0.37037037,0,0.25,1,0.80761523,1,0.0275,0.99
0,0,0.428571429,0.166666667,0,0,0,0,0,0.008158996,1,0.67,0.222222222,1,0.125,0,0.107214429,3,0.795,0.3455
0.857142857,0.857142857,0.428571429,0.833333333,1,2,2,1,0.6,0.009623431,1,1,0.703703704,8,0,1,0.763527054,3,0.255,0.8278
0.285714286,1,0.857142857,0.833333333,1,2,0,1,0.2,0.002719665,1,0.33,0.407407407,9,0,1,0.733466934,1,0.19,0.7533
1,0,0,0.388888889,2,2,2,0,0,0.091631799,0.5,0.33,0.62962963,20,0,0,0.135270541,1,0.19,0.1785
